,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,233,234.0,,,,12.0,10.9,,19.6,,0,,0,,,,,,,,,,,,,,0.8,,,,,,,,,,,1.7,1.5,4.8,,4.4,5.6
2018-01-01 01:40:00,231,227.0,,,,11.3,10.9,,19.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.5,,4.7,,4.8,
2018-01-01 02:40:00,239,254.0,,,,7.7,5.6,,14.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.6,,4.8,,4.6,
2018-01-01 03:40:00,245,248.0,,,,7.3,5.6,,14.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.2,,4.3,,4.0,
2018-01-01 04:40:00,245,257.0,,,,5.9,4.0,,11.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.7,,3.8,,3.4,
2018-01-01 05:40:00,247,246.0,,,,5.7,5.5,,12.5,,0,,0,,,,,,,,,,,,,,0.7,,,,,,,,,,,1.7,,3.5,,3.0,
2018-01-01 06:40:00,249,245.0,,,,5.1,4.3,,10.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.0,,2.7,,2.5,
2018-01-01 07:40:00,246,238.0,,,,4.3,4.8,,9.0,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,1.5,,2.2,,2.5,
2018-01-01 08:40:00,255,255.0,,,,4.2,3.7,,7.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.5,,3.1,,3.4,
2018-01-01 09:40:00,244,230.0,,,,4.3,6.4,,9.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.4,,4.0,,4.2,
2018-01-01 10:40:00,243,255.0,,,,6.8,6.8,,13.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.9,,4.1,,4.1,
2018-01-01 11:40:00,246,228.0,,,,6.1,5.8,,14.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,4.2,,4.5,
2018-01-01 12:40:00,219,227.0,,,,9.9,11.0,,20.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.1,,4.7,,4.7,
2018-01-01 13:40:00,239,232.0,,,,10.9,11.5,,21.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.2,,4.7,,4.9,
2018-01-01 14:40:00,221,228.0,,,,13.0,11.9,,26.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.4,,5.1,,4.8,
2018-01-01 15:40:00,232,236.0,,,,11.1,9.9,,24.4,,0,,0,,,,,,,,,,,,,,0.4,,,,,,,,,,,0.5,,4.0,,3.6,
2018-01-01 16:40:00,244,236.0,,,,10.1,9.9,,17.9,,0,,0,,,,,,,,,,,,,,1.5,,,,,,,,,,,0.9,,3.4,,3.8,
2018-01-01 17:40:00,249,242.0,,,,8.4,8.1,,17.3,,0,,0,,,,,,,,,,,,,,0.5,,,,,,,,,,,1.3,,3.5,,3.9,
2018-01-01 18:40:00,236,235.0,,,,10.2,9.7,,18.5,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,1.7,,4.3,,4.2,
2018-01-01 19:40:00,247,250.0,,,,6.9,5.9,,12.7,,0,,0,,,,,,,,,,,,,,1.1,,,,,,,,,,,2.0,,3.7,,3.4,
2018-01-01 20:40:00,245,228.0,,,,7.8,10.2,,14.0,,0,,0,,,,,,,,,,,,,,0.9,,,,,,,,,,,1.9,,3.6,,3.7,
2018-01-01 21:40:00,232,235.0,,,,9.2,7.8,,19.1,,0,,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.1,,3.5,,2.9,
2018-01-01 22:40:00,227,223.0,,,,9.3,10.3,,15.1,,0,,0,,,,,,,,,,,,,,0.4,,,,,,,,,,,1.0,,3.5,,3.0,
2018-01-01 23:40:00,239,233.0,,,,6.7,7.2,,12.4,,0,,0,,,,,,,,,,,,,,1.4,,,,,,,,,,,0.9,,2.5,,2.6,
2018-01-02 00:40:00,240,243.0,,,,6.8,6.5,,11.6,,0,,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.9,1.4,2.6,,2.1,4.7
2018-01-02 01:40:00,245,242.0,,,,6.8,6.4,,14.4,,0,,0,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.6,,2.5,,2.5,
2018-01-02 02:40:00,244,239.0,,,,6.2,8.6,,12.6,,0,,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.9,,2.2,,2.8,
2018-01-02 03:40:00,241,246.0,,,,6.8,5.9,,12.6,,0,,0,,,,,,,,,,,,,,0.4,,,,,,,,,,,0.9,,2.5,,2.4,
2018-01-02 04:40:00,241,230.0,,,,7.3,8.9,,13.5,,0,,0,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.5,,2.8,,3.0,
2018-01-02 05:40:00,237,231.0,,,,7.2,6.6,,13.1,,0,,0,,,,,,,,,,,,,,0.4,,,,,,,,,,,0.6,,2.9,,2.9,
2018-01-02 06:40:00,243,237.0,,,,6.1,6.6,,12.6,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,0.0,,2.8,,2.9,
