,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,261,257.0,,1,0.1,2.8,4.1,,11.1,,0,,0,,,,,,,1015.9,,,3,,,,1.6,,,,0,,,,,,,4.2,4.7,7.2,,7.0,8.1
2018-01-01 01:40:00,235,215.0,,1,,2.5,1.9,,8.0,,0,,0,,,,,,,1017.1,,,3,,,,0.2,,,,0,,,,,,,3.6,,6.5,,6.1,
2018-01-01 02:40:00,198,176.0,,1,,2.0,1.8,,7.3,,0,,0,,,,,,,1017.5,,,2,,,,0.2,,,,0,,,,,,,3.1,,6.1,,6.1,
2018-01-01 03:40:00,225,249.0,,1,,1.9,1.5,,7.5,,0,,0,,,,,,,1018.1,,,2,,,,0.0,,,,0,,,,,,,2.8,,6.5,,6.5,
2018-01-01 04:40:00,270,236.0,,2,,1.6,0.6,,5.8,,0,,0,,,,,,,1018.0,,,3,,,,0.1,,,,0,,,,,,,3.0,,6.2,,5.9,
2018-01-01 05:40:00,267,290.0,,2,,2.1,3.3,,6.6,,0,,0,,,,,,,1018.9,,,3,,,,0.2,,,,0,,,,,,,3.4,,5.9,,5.3,
2018-01-01 06:40:00,291,336.0,,1,,2.6,2.2,,9.4,,0,,0,,,,,,,1019.4,,,3,,,,0.2,,,,0,,,,,,,3.2,,5.2,,5.2,
2018-01-01 07:40:00,325,5.0,,14,,1.7,1.3,,5.6,,0,,0,,,,,,,1019.6,,,19,,,,0.0,,,,6,,,,,,,3.1,,5.0,,4.8,
2018-01-01 08:40:00,304,295.0,,65,,1.9,2.5,,5.2,,0,,0,,,,,,,1019.2,,,70,,,,0.0,,,,2,,,,,,,3.1,,5.5,,5.6,
2018-01-01 09:40:00,282,270.0,,108,,2.6,1.4,,5.8,,0,,0,,,,,,,1018.8,,,178,,,,0.0,,,,21,,,,,,,2.7,,5.9,,6.3,
2018-01-01 10:40:00,260,231.0,,142,,3.0,2.6,,7.7,,0,,0,,,,,,,1017.1,,,293,,,,0.0,,,,39,,,,,,,2.1,,6.8,,8.1,
2018-01-01 11:40:00,248,254.0,,164,,4.1,3.9,,10.1,,0,,0,,,,,,,1015.6,,,244,,,,0.0,,,,22,,,,,,,0.8,,7.7,,7.4,
2018-01-01 12:40:00,260,263.0,,151,,4.2,4.8,,9.9,,0,,0,,,,,,,1012.9,,,156,,,,0.0,,,,0,,,,,,,1.9,,7.3,,7.2,
2018-01-01 13:40:00,263,261.0,,99,,4.0,3.5,,9.0,,0,,0,,,,,,,1010.7,,,101,,,,0.0,,,,0,,,,,,,1.0,,7.4,,7.4,
2018-01-01 14:40:00,261,253.0,,16,,4.9,4.5,,12.7,,0,,0,,,,,,,1010.4,,,17,,,,0.0,,,,0,,,,,,,1.2,,7.2,,7.0,
2018-01-01 15:40:00,241,239.0,,5,,3.0,2.4,,8.5,,0,,0,,,,,,,1009.1,,,6,,,,0.5,,,,0,,,,,,,2.2,,6.8,,6.1,
2018-01-01 16:40:00,265,278.0,,1,,4.2,5.1,,10.6,,0,,0,,,,,,,1008.9,,,3,,,,1.3,,,,0,,,,,,,3.8,,5.7,,5.4,
2018-01-01 17:40:00,267,266.0,,1,,5.9,4.6,,13.1,,0,,0,,,,,,,1009.9,,,2,,,,0.6,,,,0,,,,,,,3.8,,5.6,,5.7,
2018-01-01 18:40:00,248,243.0,,1,,4.1,3.7,,11.6,,0,,0,,,,,,,1010.5,,,2,,,,0.2,,,,0,,,,,,,2.9,,6.6,,6.9,
