,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,359,8.0,,1,0.1,10.3,11.8,,20.2,,0,,0,,,335,,,,1014.7,,,2,,,,0.8,,,,0,,,2.8,2.9,3.0,3.5,3.8,3.2,8.2,5.8,7.6,9.6
2018-01-01 01:40:00,14,24.0,,0,,10.3,8.3,,17.6,,0,,0,,,335,,,,1017.0,,,2,,,,0.2,,,,0,,,3.0,2.9,3.3,,1.6,,7.1,5.0,7.3,
2018-01-01 02:40:00,325,134.0,,1,,2.6,2.0,,12.8,,0,,0,,,336,,,,1018.7,,,2,,,,0.7,,,,0,,,3.1,3.0,3.3,,3.7,,6.4,4.3,5.3,
2018-01-01 03:40:00,156,182.0,,0,,2.4,3.0,,4.7,,0,,0,,,334,,,,1019.4,,,2,,,,0.7,,,,0,,,3.1,3.0,3.3,,3.7,,5.1,3.9,4.7,
2018-01-01 04:40:00,176,182.0,,0,,3.0,2.6,,5.0,,0,,0,,,313,,0.0,,1019.0,,,2,,,,0.0,,0.0,,0,,,3.1,3.1,3.3,,2.8,,4.4,3.2,4.2,
2018-01-01 05:40:00,163,192.0,,0,,2.1,2.4,,3.8,,0,,0,,,317,,,,1018.8,,,2,,,,0.0,,,,0,,,3.1,3.1,3.2,,2.8,,4.3,2.9,3.8,
2018-01-01 06:40:00,172,357.0,,0,,2.0,2.2,,3.8,,0,,0,,,313,,,,1019.7,,,2,,,,0.0,,,,0,,,3.1,3.1,3.2,,2.8,,4.0,2.8,4.3,
2018-01-01 07:40:00,287,107.0,,9,,2.0,1.3,,4.7,,0,,0,,,286,,,,1019.9,,,10,,,,0.0,,,,0,,,3.1,3.1,3.1,,2.4,,4.8,2.2,4.1,
2018-01-01 08:40:00,141,190.0,,51,,1.7,2.2,,3.4,,0,,0,,,278,,,,1019.8,,,58,,,,0.0,,,,1,,,3.1,3.1,3.1,,2.8,,3.7,3.3,3.9,
2018-01-01 09:40:00,169,183.0,,114,,1.9,1.9,,3.2,,0,,0,,,297,,,,1019.4,,,143,,,,0.0,,,,14,,,3.1,3.1,3.1,,3.6,,5.2,7.0,5.7,
2018-01-01 10:40:00,169,180.0,,77,,1.8,0.8,,4.2,,0,,0,,,263,,,,1017.5,,,365,,,,0.0,,,,60,,,3.1,3.1,3.3,,3.1,,7.0,11.8,8.0,
2018-01-01 11:40:00,170,148.0,,88,,2.4,3.1,,5.3,,0,,0,,,265,,,,1015.6,,,356,,,,0.0,,,,60,,,3.3,3.2,3.6,,2.1,,8.5,10.2,8.6,
2018-01-01 12:40:00,159,168.0,,166,,3.7,4.8,,5.8,,0,,0,,,295,,,,1013.0,,,188,,,,0.0,,,,2,,,3.4,3.2,3.8,,1.5,,8.4,8.1,8.1,
2018-01-01 13:40:00,176,149.0,,129,,2.7,2.0,,6.0,,0,,0,,,291,,,,1010.8,,,134,,,,0.0,,,,0,,,3.5,3.3,3.9,,1.3,,8.2,7.8,8.3,
2018-01-01 14:40:00,189,245.0,,41,,2.8,4.7,,15.0,,0,,0,,,321,,,,1009.9,,,42,,,,0.0,,,,0,,,3.6,3.4,4.0,,-1.7,,8.6,7.9,9.6,
2018-01-01 15:40:00,188,176.0,,12,,3.3,4.8,,10.2,,0,,0,,,330,,,,1009.1,,,13,,,,0.0,,,,0,,,3.7,3.5,4.0,,0.8,,8.2,6.0,7.5,
2018-01-01 16:40:00,156,150.0,,1,,3.7,3.7,,7.1,,0,,0,,,334,,,,1008.8,,,2,,,,0.1,,,,0,,,3.7,3.5,3.9,,1.5,,7.2,5.0,7.0,
2018-01-01 17:40:00,148,155.0,,1,,2.6,2.0,,7.2,,0,,0,,,334,,,,1010.0,,,2,,,,0.5,,,,0,,,3.7,3.6,3.9,,2.4,,6.4,4.4,6.3,
2018-01-01 18:40:00,164,162.0,,1,,3.5,5.4,,7.8,,0,,0,,,332,,,,1011.4,,,2,,,,0.7,,,,0,,,3.8,3.6,3.9,,2.8,,5.6,4.0,5.1,
