,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,286.0,143.0,,,,3.6,2.1,,10.4,,0,,0,,,,,,,,,,,,,,0.7,,,,,,,,,,,-0.8,-1.8,2.4,,1.4,4.0
2018-01-01 01:40:00,156.0,169.0,,,,4.1,4.2,,12.9,,0,,0,,,,,,,,,,,,,,1.2,,,,,,,,,,,-2.0,,0.6,,0.2,
2018-01-01 02:40:00,196.0,194.0,,,,3.9,5.0,,10.0,,0,,0,,,,,,,,,,,,,,1.1,,,,,,,,,,,-1.0,,-0.4,,-0.6,
2018-01-01 03:40:00,194.0,195.0,,,,4.6,3.5,,9.5,,0,,0,,,,,,,,,,,,,,0.9,,,,,,,,,,,-1.5,,-0.8,,-1.0,
2018-01-01 04:40:00,200.0,216.0,,,,4.0,2.5,,9.8,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,-2.6,,-1.2,,-1.4,
2018-01-01 05:40:00,212.0,227.0,,,,3.6,3.0,,7.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.1,,-1.4,,-1.7,
2018-01-01 06:40:00,212.0,210.0,,,,2.8,2.8,,5.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.3,,-1.6,,-1.2,
2018-01-01 07:40:00,209.0,202.0,,,,3.2,2.9,,8.1,,0,,0,,,,,,,,,,,,,,0.6,,,,,,,,,,,-2.6,,-1.2,,-1.2,
2018-01-01 08:40:00,199.0,206.0,,,,2.6,3.3,,7.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.4,,-1.1,,-1.3,
2018-01-01 09:40:00,200.0,185.0,,,,3.6,4.7,,7.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.7,,-1.0,,-0.8,
2018-01-01 10:40:00,207.0,212.0,,,,4.1,3.7,,6.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.8,,-1.0,,-1.2,
2018-01-01 11:40:00,204.0,196.0,,,,4.8,4.1,,8.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.4,,-0.1,,0.0,
2018-01-01 12:40:00,196.0,204.0,,,,5.4,5.0,,9.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.3,,0.0,,-0.2,
2018-01-01 13:40:00,203.0,194.0,,,,5.9,6.0,,9.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-6.7,,0.0,,0.5,
2018-01-01 14:40:00,203.0,206.0,,,,5.5,6.4,,11.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-6.0,,0.3,,0.4,
2018-01-01 15:40:00,197.0,200.0,,,,6.5,6.1,,10.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.2,,-0.1,,-0.9,
2018-01-01 16:40:00,208.0,204.0,,,,5.2,4.5,,8.3,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,-1.5,,-1.3,,-1.1,
2018-01-01 17:40:00,207.0,214.0,,,,5.9,5.6,,9.6,,0,,0,,,,,,,,,,,,,,0.7,,,,,,,,,,,-0.9,,-1.0,,-0.8,
