,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,45,61.0,,,,1.3,2.3,,7.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.3,-2.7,0.4,,0.1,1.0
2018-01-01 01:40:00,54,57.0,,,,1.9,2.1,,3.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.2,,0.1,,-0.3,
2018-01-01 02:40:00,45,270.0,,,,1.3,1.0,,3.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.5,,0.2,,0.5,
2018-01-01 03:40:00,237,241.0,,,,4.7,3.4,,12.4,,0,,0,,,,,,,,,,,,,,0.6,,,,,,,,,,,-2.0,,-1.0,,-1.8,
2018-01-01 04:40:00,247,241.0,,,,2.1,3.5,,4.9,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,-1.7,,-1.7,,-1.6,
2018-01-01 05:40:00,242,315.0,,,,2.3,0.4,,4.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.4,,-1.4,,-1.2,
2018-01-01 06:40:00,270,266.0,,,,1.3,0.2,,5.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.5,,-1.5,,-1.9,
2018-01-01 07:40:00,72,119.0,,,,1.1,0.5,,4.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.0,,-1.2,,-1.1,
2018-01-01 08:40:00,238,253.0,,,,3.5,4.3,,7.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.3,,-1.8,,-1.9,
2018-01-01 09:40:00,252,267.0,,,,1.8,1.5,,5.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.2,,-2.0,,-2.0,
2018-01-01 10:40:00,258,257.0,,,,2.1,3.5,,8.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.9,,-1.9,,-1.6,
2018-01-01 11:40:00,234,250.0,,,,2.0,1.2,,8.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.5,,-1.5,,-1.2,
2018-01-01 12:40:00,231,235.0,,,,0.8,0.6,,2.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.0,,-0.3,,-0.3,
2018-01-01 13:40:00,65,65.0,,,,1.6,2.2,,3.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.4,,-0.9,,-1.5,
2018-01-01 14:40:00,57,64.0,,,,1.7,2.0,,3.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-6.1,,-1.7,,-2.1,
2018-01-01 15:40:00,48,59.0,,,,1.6,2.6,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.2,,-1.8,,-1.9,
2018-01-01 16:40:00,59,67.0,,,,2.2,2.1,,4.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.0,,-1.8,,-2.0,
2018-01-01 17:40:00,247,209.0,,,,1.0,0.7,,2.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.4,,-1.9,,-1.7,
