,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,65,59.0,,,0.3,2.4,2.8,,5.3,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-7.9,-4.8,0.7,0.0,1.0,1.4
2018-01-01 01:40:00,5,321.0,,,,1.6,1.5,,4.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-7.9,,0.1,0.0,-2.0,
2018-01-01 02:40:00,329,332.0,,,,2.3,3.8,,8.4,,0,,0,,,,,,,,,,0,,,,0.7,,,,0,,,,,,,-5.3,,-2.3,0.0,-1.6,
2018-01-01 03:40:00,340,244.0,,,,2.4,0.4,,6.5,,0,,0,,,,,,,,,,0,,,,0.1,,,,0,,,,,,,-4.1,,-2.3,0.0,-2.6,
2018-01-01 04:40:00,252,274.0,,,,0.7,0.4,,2.6,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.5,,-2.9,0.0,-3.5,
2018-01-01 05:40:00,0,358.0,,,,1.0,0.8,,2.8,,0,,0,,,,,,,,,,0,,,,0.1,,,,0,,,,,,,-5.4,,-3.6,-0.1,-3.7,
2018-01-01 06:40:00,74,49.0,,,,1.1,0.9,,2.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-7.6,,-3.6,-0.1,-3.8,
2018-01-01 07:40:00,37,55.0,,,,1.0,1.1,,2.3,,0,,0,,,,,,,,,,7,,,,0.0,,,,0,,,,,,,-8.0,,-4.0,-0.1,-4.2,
2018-01-01 08:40:00,27,80.0,,,,1.4,0.1,,2.9,,0,,0,,,,,,,,,,117,,,,0.0,,,,20,,,,,,,-7.4,,-3.8,-0.1,-3.4,
2018-01-01 09:40:00,27,31.0,,,,1.4,1.7,,3.8,,0,,0,,,,,,,,,,275,,,,0.0,,,,60,,,,,,,-6.7,,-2.6,-0.1,-2.9,
2018-01-01 10:40:00,18,351.0,,,,0.9,0.5,,2.3,,0,,0,,,,,,,,,,357,,,,0.0,,,,51,,,,,,,-6.3,,-2.4,-0.1,-2.8,
2018-01-01 11:40:00,139,165.0,,,,1.3,2.1,,3.3,,0,,0,,,,,,,,,,412,,,,0.0,,,,60,,,,,,,-9.3,,-1.9,-0.1,-1.1,
2018-01-01 12:40:00,153,158.0,,,,1.9,1.4,,3.7,,0,,0,,,,,,,,,,372,,,,0.0,,,,53,,,,,,,-10.6,,-1.4,-0.1,-1.6,
2018-01-01 13:40:00,129,65.0,,,,1.8,2.1,,4.0,,0,,0,,,,,,,,,,178,,,,0.0,,,,0,,,,,,,-11.9,,-1.7,-0.1,-1.9,
2018-01-01 14:40:00,13,335.0,,,,1.7,1.7,,4.3,,0,,0,,,,,,,,,,100,,,,0.0,,,,0,,,,,,,-10.0,,-1.5,-0.1,-2.1,
2018-01-01 15:40:00,27,109.0,,,,1.0,0.9,,2.6,,0,,0,,,,,,,,,,14,,,,0.0,,,,0,,,,,,,-11.2,,-2.1,-0.1,-1.7,
2018-01-01 16:40:00,85,44.0,,,,1.5,1.6,,3.6,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-8.8,,-1.8,-0.1,-1.9,
2018-01-01 17:40:00,309,120.0,,,,1.9,1.5,,5.8,,0,,0,,,,,,,,,,0,,,,0.8,,,,0,,,,,,,-5.5,,-3.9,-0.1,-4.1,
2018-01-01 18:40:00,146,225.0,,,,1.2,0.4,,2.8,,0,,0,,,,,,,,,,0,,,,0.6,,,,0,,,,,,,-6.2,,-4.4,-0.1,-4.3,
2018-01-01 19:40:00,76,54.0,,,,1.4,0.4,,3.6,,0,,0,,,,,,,,,,0,,,,0.2,,,,0,,,,,,,-5.0,,-4.0,-0.1,-3.3,
2018-01-01 20:40:00,342,343.0,,,,0.9,0.6,,2.9,,0,,0,,,,,,,,,,0,,,,0.7,,,,0,,,,,,,-5.1,,-3.0,-0.1,-3.3,
2018-01-01 21:40:00,329,327.0,,,,2.3,2.6,,10.6,,0,,0,,,,,,,,,,0,,,,0.2,,,,0,,,,,,,-5.5,,-3.2,-0.1,-3.8,
2018-01-01 22:40:00,346,317.0,,,,5.8,2.2,,15.7,,0,,0,,,,,,,,,,0,,,,1.0,,,,0,,,,,,,-4.7,,-3.2,-0.1,-3.9,
2018-01-01 23:40:00,354,320.0,,,,4.5,1.9,,12.3,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-6.1,,-3.3,-0.1,-4.2,
2018-01-02 00:40:00,353,346.0,,,0.1,4.0,3.7,,9.7,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-9.6,-6.2,-3.7,-0.1,-4.0,3.0
2018-01-02 01:40:00,352,359.0,,,,5.7,4.5,,13.0,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-11.2,,-4.2,-0.1,-4.2,
2018-01-02 02:40:00,355,340.0,,,,4.2,2.9,,8.4,,0,,0,,,,,,,,,,0,,,,0.1,,,,0,,,,,,,-7.8,,-4.9,-0.2,-6.2,
2018-01-02 03:40:00,331,336.0,,,,2.5,1.7,,7.4,,0,,0,,,,,,,,,,0,,,,0.1,,,,0,,,,,,,-7.4,,-5.5,-0.2,-6.0,
2018-01-02 04:40:00,5,8.0,,,,4.0,4.7,,8.6,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-8.9,,-4.9,-0.2,-4.4,
2018-01-02 05:40:00,354,5.0,,,,4.4,4.7,,10.3,,0,,0,,,,,,,,,,0,,,,0.1,,,,0,,,,,,,-9.6,,-4.8,-0.2,-4.6,
