,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,100,71.0,,1.0,0.1,1.7,1.2,,3.8,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-1.6,-0.6,-0.2,-0.1,-0.1,4.7
2018-01-01 01:40:00,45,90.0,,1.0,,1.4,0.9,,4.1,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.7,,0.9,-0.1,1.2,
2018-01-01 02:40:00,277,263.0,,1.0,,6.7,4.4,,16.2,,0,,0,,,,,,,,,,0,,,,0.9,,,,0,,,,,,,0.8,,2.4,-0.1,2.5,
2018-01-01 03:40:00,271,275.0,,1.0,,7.2,6.9,,12.3,,0,,0,,,,,,,,,,0,,,,0.7,,,,0,,,,,,,1.3,,2.9,-0.1,3.4,
2018-01-01 04:40:00,282,284.0,,1.0,,6.3,6.0,,10.2,,0,,0,,,,,0.0,,,,,0,,,,0.1,,24.0,,0,,,,,,,0.6,,4.0,-0.1,4.3,
2018-01-01 05:40:00,283,280.0,,1.0,,5.2,4.9,,13.0,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,0.4,,4.0,-0.1,3.8,
2018-01-01 06:40:00,258,267.0,,1.0,,4.3,5.0,,9.4,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,0.2,,3.5,-0.1,4.0,
2018-01-01 07:40:00,260,247.0,,8.0,,3.1,1.7,,9.0,,0,,0,,,,,,,,,,9,,,,0.0,,,,0,,,,,,,0.1,,3.5,-0.1,3.0,
2018-01-01 08:40:00,243,247.0,,37.0,,2.8,2.2,,5.6,,0,,0,,,,,,,,,,45,,,,0.0,,,,0,,,,,,,-0.1,,3.4,0.0,3.5,
2018-01-01 09:40:00,259,270.0,,42.0,,5.1,8.1,,12.0,,0,,0,,,,,,,,,,56,,,,0.0,,,,0,,,,,,,-0.2,,3.5,0.0,3.4,
2018-01-01 10:40:00,267,267.0,,59.0,,5.6,4.7,,12.0,,0,,0,,,,,,,,,,76,,,,0.0,,,,0,,,,,,,-0.3,,3.4,0.0,3.5,
2018-01-01 11:40:00,260,263.0,,48.0,,5.3,5.7,,9.1,,0,,0,,,,,,,,,,65,,,,0.0,,,,0,,,,,,,-0.4,,3.5,0.0,3.7,
2018-01-01 12:40:00,256,251.0,,35.0,,5.0,4.2,,8.1,,0,,0,,,,,,,,,,52,,,,0.0,,,,0,,,,,,,-1.2,,4.0,0.0,4.4,
2018-01-01 13:40:00,250,259.0,,57.0,,3.9,2.5,,7.0,,0,,0,,,,,,,,,,68,,,,0.0,,,,0,,,,,,,-2.1,,4.4,0.0,4.6,
2018-01-01 14:40:00,90,130.0,,70.0,,1.5,0.9,,4.3,,0,,0,,,,,,,,,,72,,,,0.0,,,,0,,,,,,,-1.8,,3.5,0.0,3.9,
2018-01-01 15:40:00,117,137.0,,12.0,,0.7,0.5,,1.8,,0,,0,,,,,,,,,,12,,,,0.0,,,,0,,,,,,,-1.2,,3.2,0.0,2.2,
2018-01-01 16:40:00,122,101.0,,2.0,,1.3,1.3,,3.0,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.8,,2.8,0.0,1.7,
2018-01-01 17:40:00,282,271.0,,1.0,,1.7,2.5,,4.8,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-1.2,,2.7,-0.1,3.4,
2018-01-01 18:40:00,272,279.0,,2.0,,2.6,1.8,,4.8,,0,,0,,,,,,,,,,0,,,,0.8,,,,0,,,,,,,0.4,,2.4,-0.1,1.6,
