,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,,,,0,0.2,,,,,,0,,0,,,237,,,,,,,0,,,,0.0,,,,0,,,,,,,-4.5,-3.8,-0.7,-3.1,-0.4,0.8
2018-01-01 01:40:00,,,,0,,,,,,,0,,0,,,270,,,,,,,0,,,,0.0,,,,0,,,,,,,-4.1,,0.2,-3.0,0.6,
2018-01-01 02:40:00,,,,0,,,,,,,0,,0,,,286,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.9,,-0.3,-2.6,-1.2,
2018-01-01 03:40:00,,,,0,,,,,,,0,,0,,,305,,,,,,,0,,,,0.0,,,,0,,,,,,,-5.0,,-0.7,-2.0,0.5,
2018-01-01 04:40:00,,,,0,,,,,,,0,,0,,,297,,0.0,,,,,0,,,,0.0,,38.0,,0,,,,,,,-3.7,,-0.8,-1.6,-0.7,
2018-01-01 05:40:00,,,,0,,,,,,,0,,0,,,286,,,,,,,0,,,,0.0,,,,0,,,,,,,-6.1,,-0.5,-1.5,-0.6,
2018-01-01 06:40:00,,,,0,,,,,,,0,,0,,,265,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.6,,-2.1,-1.5,-2.5,
2018-01-01 07:40:00,,,,7,,,,,,,0,,0,,,242,,,,,,,7,,,,0.0,,,,0,,,,,,,-4.8,,-2.5,-1.8,-2.4,
2018-01-01 08:40:00,,,,29,,,,,,,0,,0,,,222,,,,,,,34,,,,0.0,,,,0,,,,,,,-5.1,,-2.5,-2.2,-2.7,
2018-01-01 09:40:00,,,,38,,,,,,,0,,0,,,213,,,,,,,51,,,,0.0,,,,0,,,,,,,-7.2,,-2.7,-2.6,-2.6,
2018-01-01 10:40:00,,,,35,,,,,,,0,,0,,,211,,,,,,,68,,,,0.0,,,,4,,,,,,,-6.5,,-2.5,-2.9,-2.2,
2018-01-01 11:40:00,,,,42,,,,,,,0,,0,,,210,,,,,,,388,,,,0.0,,,,60,,,,,,,-6.4,,-1.2,-2.8,-0.5,
2018-01-01 12:40:00,,,,45,,,,,,,0,,0,,,213,,,,,,,361,,,,0.0,,,,60,,,,,,,-6.7,,-0.8,-2.5,-0.8,
2018-01-01 13:40:00,,,,56,,,,,,,0,,0,,,220,,,,,,,195,,,,0.0,,,,44,,,,,,,-7.9,,-0.9,-2.4,-1.3,
2018-01-01 14:40:00,,,,65,,,,,,,0,,0,,,244,,,,,,,64,,,,0.0,,,,0,,,,,,,-9.2,,-1.0,-2.7,-0.8,
2018-01-01 15:40:00,,,,12,,,,,,,0,,0,,,289,,,,,,,10,,,,0.0,,,,0,,,,,,,-8.9,,-1.1,-2.9,-0.8,
2018-01-01 16:40:00,,,,0,,,,,,,0,,0,,,286,,,,,,,0,,,,0.0,,,,0,,,,,,,-7.4,,-1.2,-2.7,-1.6,
2018-01-01 17:40:00,,,,0,,,,,,,0,,0,,,294,,,,,,,0,,,,0.0,,,,0,,,,,,,-5.5,,-1.8,-2.6,-2.5,
2018-01-01 18:40:00,,,,0,,,,,,,0,,0,,,294,,,,,,,0,,,,0.1,,,,0,,,,,,,-4.0,,-3.4,-2.4,-3.7,
2018-01-01 19:40:00,,,,0,,,,,,,0,,0,,,293,,,,,,,0,,,,0.1,,,,0,,,,,,,-4.3,,-3.5,-2.2,-3.5,
2018-01-01 20:40:00,,,,0,,,,,,,0,,0,,,293,,,,,,,0,,,,0.0,,,,0,,,,,,,-4.1,,-3.6,-2.1,-3.4,
2018-01-01 21:40:00,,,,0,,,,,,,0,,0,,,299,,,,,,,0,,,,0.2,,,,0,,,,,,,-3.5,,-3.1,-2.1,-2.0,
2018-01-01 22:40:00,,,,0,,,,,,,0,,0,,,300,,,,,,,0,,,,0.4,,,,0,,,,,,,-3.0,,-1.8,-2.0,-2.5,
2018-01-01 23:40:00,,,,0,,,,,,,0,,0,,,282,,,,,,,0,,,,0.0,,,,0,,,,,,,-9.6,,-1.1,-1.8,-0.4,
2018-01-02 00:40:00,,,,0,0.1,,,,,,0,,0,,,266,,,,,,,0,,,,0.0,,,,0,,,,,,,-11.1,-4.9,-1.0,-1.8,-0.3,-0.1
2018-01-02 01:40:00,,,,0,,,,,,,0,,0,,,270,,,,,,,0,,,,0.0,,,,0,,,,,,,-9.9,,-1.2,-1.9,-1.7,
2018-01-02 02:40:00,,,,0,,,,,,,0,,0,,,274,,,,,,,0,,,,0.0,,,,0,,,,,,,-10.6,,-1.6,-2.0,-1.6,
2018-01-02 03:40:00,,,,0,,,,,,,0,,0,,,286,,,,,,,0,,,,0.0,,,,0,,,,,,,-6.9,,-2.0,-2.1,-3.5,
2018-01-02 04:40:00,,,,0,,,,,,,0,,0,,,285,,1.0,,,,,0,,,,0.0,,38.0,,0,,,,,,,-10.6,,-1.7,-2.2,-2.2,
2018-01-02 05:40:00,,,,0,,,,,,,0,,0,,,291,,,,,,,0,,,,0.1,,,,0,,,,,,,-9.6,,-2.4,-2.3,-2.0,
2018-01-02 06:40:00,,,,0,,,,,,,0,,0,,,284,,,,,,,0,,,,0.0,,,,0,,,,,,,-11.2,,-1.4,-2.2,-1.5,
2018-01-02 07:40:00,,,,13,,,,,,,0,,0,,,270,,,,,,,10,,,,0.0,,,,0,,,,,,,-12.3,,-1.2,-2.2,-1.3,
2018-01-02 08:40:00,,,,65,,,,,,,0,,0,,,266,,,,,,,63,,,,0.0,,,,0,,,,,,,-12.8,,-1.2,-2.1,-1.2,
2018-01-02 09:40:00,,,,104,,,,,,,0,,0,,,249,,,,,,,106,,,,0.0,,,,0,,,,,,,-14.0,,-1.1,-2.0,-0.9,
2018-01-02 10:40:00,,,,166,,,,,,,0,,0,,,247,,,,,,,161,,,,0.0,,,,0,,,,,,,-13.8,,-1.0,-1.9,-1.4,
2018-01-02 11:40:00,,,,179,,,,,,,0,,0,,,238,,,,,,,184,,,,0.0,,,,0,,,,,,,-16.2,,-0.9,-1.7,-0.6,
2018-01-02 12:40:00,,,,138,,,,,,,0,,0,,,265,,,,,,,138,,,,0.0,,,,0,,,,,,,-16.3,,-0.8,-1.7,-0.9,
2018-01-02 13:40:00,,,,109,,,,,,,0,,0,,,267,,,,,,,107,,,,0.0,,,,0,,,,,,,-11.8,,-1.6,-1.7,-1.5,
2018-01-02 14:40:00,,,,44,,,,,,,0,,0,,,277,,,,,,,44,,,,0.0,,,,0,,,,,,,-11.9,,-2.2,-1.7,-1.2,
2018-01-02 15:40:00,,,,5,,,,,,,0,,0,,,284,,,,,,,4,,,,0.0,,,,0,,,,,,,-8.8,,-2.1,-1.8,-2.5,
2018-01-02 16:40:00,,,,0,,,,,,,0,,0,,,283,,,,,,,0,,,,0.0,,,,0,,,,,,,-9.1,,-3.0,-1.9,-2.9,
2018-01-02 17:40:00,,,,0,,,,,,,0,,0,,,287,,,,,,,0,,,,0.0,,,,0,,,,,,,-7.1,,-3.3,-1.9,-3.9,
2018-01-02 18:40:00,,,,0,,,,,,,0,,0,,,289,,,,,,,0,,,,0.2,,,,0,,,,,,,-5.9,,-4.6,-1.9,-4.4,
2018-01-02 19:40:00,,,,0,,,,,,,0,,0,,,290,,,,,,,0,,,,0.4,,,,0,,,,,,,-5.8,,-4.7,-1.9,-4.7,
2018-01-02 20:40:00,,,,0,,,,,,,0,,0,,,292,,,,,,,0,,,,0.9,,,,0,,,,,,,-5.5,,-4.8,-1.9,-4.9,
2018-01-02 21:40:00,,,,0,,,,,,,0,,0,,,293,,,,,,,0,,,,1.3,,,,0,,,,,,,-5.5,,-4.6,-1.9,-4.2,
2018-01-02 22:40:00,,,,0,,,,,,,0,,0,,,296,,,,,,,0,,,,1.0,,,,0,,,,,,,-5.4,,-4.5,-1.9,-4.4,
