,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,312,297.0,,,0.3,5.1,10.4,,17.2,,0,,0,,,,,,,1013.3,,,0,,,,0.0,,,,0,,,,,,,3.1,1.7,5.4,,6.2,9.8
2018-01-01 01:40:00,323,16.0,,,,6.0,4.6,,12.8,,0,,0,,,,,,,1015.9,,,0,,,,0.6,,,,0,,,,,,,2.1,,5.7,,5.5,
2018-01-01 02:40:00,347,348.0,,,,3.6,2.5,,9.8,,0,,0,,,,,,,1016.7,,,0,,,,0.1,,,,0,,,,,,,2.1,,5.6,,4.8,
2018-01-01 03:40:00,263,281.0,,,,1.3,0.9,,3.9,,0,,0,,,,,,,1017.6,,,0,,,,0.0,,,,0,,,,,,,2.5,,4.1,,4.1,
2018-01-01 04:40:00,143,176.0,,,,0.9,0.8,,2.5,,0,,0,,,,,,,1018.1,,,0,,,,0.0,,,,0,,,,,,,2.1,,3.3,,3.2,
2018-01-01 05:40:00,158,174.0,,,,3.3,2.6,,7.9,,0,,0,,,,,,,1017.0,,,0,,,,0.0,,,,0,,,,,,,1.0,,3.8,,4.6,
2018-01-01 06:40:00,146,357.0,,,,2.7,2.0,,6.5,,0,,0,,,,,,,1018.1,,,0,,,,0.0,,,,0,,,,,,,1.4,,4.6,,4.5,
2018-01-01 07:40:00,34,111.0,,,,1.2,0.9,,3.1,,0,,0,,,,,,,1018.7,,,5,,,,0.0,,,,0,,,,,,,0.7,,3.3,,2.5,
2018-01-01 08:40:00,158,67.0,,,,1.6,1.3,,3.4,,0,,0,,,,,,,1017.8,,,100,,,,0.0,,,,30,,,,,,,0.8,,2.9,,5.3,
2018-01-01 09:40:00,63,3.0,,,,1.6,1.2,,5.2,,0,,0,,,,,,,1017.3,,,270,,,,0.0,,,,60,,,,,,,0.7,,6.5,,6.7,
2018-01-01 10:40:00,223,214.0,,,,2.7,3.1,,10.8,,0,,0,,,,,,,1015.2,,,344,,,,0.0,,,,60,,,,,,,-2.5,,7.9,,8.4,
2018-01-01 11:40:00,228,222.0,,,,4.7,6.4,,11.4,,0,,0,,,,,,,1013.2,,,359,,,,0.0,,,,60,,,,,,,-2.9,,8.5,,8.7,
2018-01-01 12:40:00,207,193.0,,,,4.5,3.0,,10.8,,0,,0,,,,,,,1010.8,,,310,,,,0.0,,,,60,,,,,,,-6.0,,9.1,,9.3,
2018-01-01 13:40:00,155,258.0,,,,3.2,2.4,,11.2,,0,,0,,,,,,,1008.3,,,148,,,,0.0,,,,12,,,,,,,-8.1,,9.5,,9.8,
2018-01-01 14:40:00,117,34.0,,,,2.2,2.0,,6.1,,0,,0,,,,,,,1007.6,,,54,,,,0.0,,,,0,,,,,,,-1.5,,8.1,,7.3,
2018-01-01 15:40:00,288,232.0,,,,3.3,4.3,,13.2,,0,,0,,,,,,,1006.5,,,8,,,,0.0,,,,0,,,,,,,-2.0,,7.1,,8.1,
2018-01-01 16:40:00,206,247.0,,,,4.3,1.4,,13.6,,0,,0,,,,,,,1006.6,,,0,,,,0.2,,,,0,,,,,,,1.5,,7.3,,6.5,
2018-01-01 17:40:00,39,340.0,,,,2.5,3.2,,6.7,,0,,0,,,,,,,1007.6,,,0,,,,0.0,,,,0,,,,,,,0.8,,6.3,,5.2,
2018-01-01 18:40:00,252,205.0,,,,1.6,1.9,,4.3,,0,,0,,,,,,,1009.1,,,0,,,,0.0,,,,0,,,,,,,2.0,,4.6,,4.1,
2018-01-01 19:40:00,115,111.0,,,,3.7,3.0,,10.5,,0,,0,,,,,,,1008.5,,,0,,,,0.0,,,,0,,,,,,,1.4,,5.9,,6.9,
2018-01-01 20:40:00,49,261.0,,,,3.4,3.7,,10.6,,0,,0,,,,,,,1011.0,,,0,,,,0.0,,,,0,,,,,,,0.8,,7.3,,7.3,
2018-01-01 21:40:00,269,279.0,,,,6.0,7.1,,16.1,,0,,0,,,,,,,1013.2,,,0,,,,0.2,,,,0,,,,,,,0.0,,7.0,,6.3,
2018-01-01 22:40:00,243,106.0,,,,4.3,1.6,,16.9,,0,,0,,,,,,,1014.3,,,0,,,,0.1,,,,0,,,,,,,-0.2,,5.6,,5.8,
2018-01-01 23:40:00,319,339.0,,,,2.6,2.0,,10.0,,0,,0,,,,,,,1015.7,,,0,,,,0.0,,,,0,,,,,,,0.7,,4.2,,3.8,
2018-01-02 00:40:00,268,255.0,,,0.2,4.0,5.8,,13.0,,0,,0,,,,,,,1015.8,,,0,,,,0.0,,,,0,,,,,,,-1.8,1.6,4.4,,4.9,7.2
2018-01-02 01:40:00,157,350.0,,,,2.5,1.2,,7.4,,0,,0,,,,,,,1016.0,,,0,,,,0.0,,,,0,,,,,,,-1.8,,4.8,,5.2,
2018-01-02 02:40:00,326,20.0,,,,1.9,1.3,,4.5,,0,,0,,,,,,,1017.7,,,0,,,,0.0,,,,0,,,,,,,0.5,,3.4,,2.8,
2018-01-02 03:40:00,135,343.0,,,,1.7,1.3,,4.8,,0,,0,,,,,,,1018.4,,,0,,,,0.2,,,,0,,,,,,,0.1,,2.0,,1.6,
2018-01-02 04:40:00,270,271.0,,,,2.7,3.3,,10.1,,0,,0,,,,,,,1018.1,,,0,,,,0.0,,,,0,,,,,,,-1.6,,3.7,,5.0,
2018-01-02 05:40:00,270,275.0,,,,4.1,5.0,,11.6,,0,,0,,,,,,,1018.4,,,0,,,,0.0,,,,0,,,,,,,-2.7,,5.1,,5.2,
2018-01-02 06:40:00,282,287.0,,,,4.0,4.2,,9.2,,0,,0,,,,,,,1019.3,,,0,,,,0.0,,,,0,,,,,,,-2.5,,5.2,,5.3,
2018-01-02 07:40:00,284,306.0,,,,3.6,2.7,,10.6,,0,,0,,,,,,,1020.4,,,4,,,,0.0,,,,0,,,,,,,-2.2,,5.1,,4.8,
2018-01-02 08:40:00,279,264.0,,,,3.4,4.0,,10.6,,0,,0,,,,,,,1021.0,,,48,,,,0.0,,,,1,,,,,,,-3.0,,5.1,,5.4,
2018-01-02 09:40:00,292,306.0,,,,3.8,4.7,,8.4,,0,,0,,,,,,,1021.5,,,145,,,,0.0,,,,25,,,,,,,-3.1,,6.0,,6.2,
2018-01-02 10:40:00,279,288.0,,,,4.8,5.1,,11.7,,0,,0,,,,,,,1020.9,,,269,,,,0.0,,,,48,,,,,,,-4.9,,6.6,,6.9,
2018-01-02 11:40:00,304,115.0,,,,2.0,0.5,,7.7,,0,,0,,,,,,,1020.1,,,211,,,,0.0,,,,23,,,,,,,-5.7,,6.9,,7.0,
2018-01-02 12:40:00,86,178.0,,,,2.0,1.4,,5.1,,0,,0,,,,,,,1019.6,,,118,,,,0.0,,,,0,,,,,,,-4.6,,6.8,,6.7,
2018-01-02 13:40:00,231,49.0,,,,2.4,1.3,,8.3,,0,,0,,,,,,,1019.8,,,106,,,,0.0,,,,0,,,,,,,-4.3,,6.7,,6.8,
