,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,233.0,216.0,,,0.1,5.8,4.1,,11.4,,0,,0,,,,,,,,,,0,,,,0.7,,,,0,,,,,,,3.0,1.8,7.6,,6.1,8.6
2018-01-01 01:40:00,198.0,239.0,,,,3.9,2.5,,10.6,,0,,0,,,,,,,,,,0,,,,1.9,,,,0,,,,,,,1.7,,4.4,,3.4,
2018-01-01 02:40:00,244.0,261.0,,,,4.1,4.1,,9.1,,0,,0,,,,,,,,,,0,,,,1.4,,,,0,,,,,,,1.7,,3.1,,2.8,
2018-01-01 03:40:00,258.0,246.0,,,,5.0,4.5,,8.5,,0,,0,,,,,,,,,,0,,,,0.6,,,,0,,,,,,,1.4,,2.8,,2.7,
2018-01-01 04:40:00,258.0,262.0,,,,5.1,4.2,,8.7,,0,,0,,,,,,,,,,0,,,,0.1,,,,0,,,,,,,0.6,,2.9,,2.9,
2018-01-01 05:40:00,253.0,237.0,,,,3.2,3.0,,6.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,0.1,,2.6,,2.7,
2018-01-01 06:40:00,230.0,251.0,,,,4.1,4.7,,8.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,0.0,,2.5,,3.1,
2018-01-01 07:40:00,237.0,248.0,,,,4.4,3.6,,7.6,,0,,0,,,,,,,,,,3,,,,0.0,,,,0,,,,,,,0.7,,2.9,,2.4,
2018-01-01 08:40:00,228.0,217.0,,,,4.5,4.2,,8.3,,0,,0,,,,,,,,,,30,,,,0.0,,,,0,,,,,,,-0.1,,2.0,,2.1,
2018-01-01 09:40:00,220.0,234.0,,,,4.6,5.1,,7.6,,0,,0,,,,,,,,,,102,,,,0.0,,,,0,,,,,,,0.1,,3.0,,4.1,
2018-01-01 10:40:00,242.0,246.0,,,,5.1,5.3,,8.9,,0,,0,,,,,,,,,,242,,,,0.0,,,,20,,,,,,,-1.0,,4.8,,5.5,
2018-01-01 11:40:00,242.0,255.0,,,,5.5,5.0,,8.9,,0,,0,,,,,,,,,,363,,,,0.0,,,,60,,,,,,,-1.7,,5.8,,5.9,
2018-01-01 12:40:00,247.0,246.0,,,,5.9,5.8,,9.1,,0,,0,,,,,,,,,,265,,,,0.0,,,,31,,,,,,,-2.9,,5.8,,5.4,
2018-01-01 13:40:00,206.0,204.0,,,,5.1,4.8,,9.2,,0,,0,,,,,,,,,,129,,,,0.0,,,,0,,,,,,,-2.9,,5.4,,5.3,
2018-01-01 14:40:00,207.0,213.0,,,,3.8,4.9,,6.5,,0,,0,,,,,,,,,,57,,,,0.0,,,,0,,,,,,,-0.7,,4.5,,4.3,
2018-01-01 15:40:00,235.0,244.0,,,,7.5,7.0,,13.7,,0,,0,,,,,,,,,,6,,,,0.0,,,,0,,,,,,,-1.3,,5.3,,4.8,
2018-01-01 16:40:00,246.0,252.0,,,,6.0,4.1,,9.7,,0,,0,,,,,,,,,,0,,,,0.4,,,,0,,,,,,,1.1,,4.4,,3.6,
2018-01-01 17:40:00,254.0,263.0,,,,5.5,7.8,,11.2,,0,,0,,,,,,,,,,0,,,,0.5,,,,0,,,,,,,1.6,,3.2,,3.2,
2018-01-01 18:40:00,253.0,252.0,,,,7.2,7.0,,12.1,,0,,0,,,,,,,,,,0,,,,0.5,,,,0,,,,,,,1.7,,3.3,,3.4,
2018-01-01 19:40:00,255.0,258.0,,,,7.0,7.0,,10.3,,0,,0,,,,,,,,,,0,,,,0.1,,,,0,,,,,,,1.6,,3.5,,3.5,
