,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,81.0,58.0,,0.0,0.1,1.1,2.4,,3.2,,0,,0,,,,,,,1014.7,,,1.0,,,,0.0,,,,0.0,,,,,,,1.0,0.4,0.9,0.0,1.2,6.3
2018-01-01 01:40:00,231.0,151.0,,0.0,,2.0,1.2,,10.0,,0,,0,,,,,,,1015.7,,,1.0,,,,2.0,,,,0.0,,,,,,,4.5,,3.7,3.4,6.0,
2018-01-01 02:40:00,189.0,227.0,,0.0,,2.4,3.1,,8.5,,0,,0,,,,,,,1017.3,,,1.0,,,,1.6,,,,0.0,,,,,,,2.2,,5.0,2.5,3.8,
2018-01-01 03:40:00,221.0,221.0,,0.0,,3.3,3.2,,5.5,,0,,0,,,,,,,1017.6,,,1.0,,,,1.0,,,,0.0,,,,,,,2.6,,3.6,2.7,3.5,
2018-01-01 04:40:00,229.0,272.0,,0.0,,3.0,1.9,,6.3,,0,,0,,,,,,,1018.1,,,1.0,,,,0.9,,,,0.0,,,,,,,2.4,,3.8,2.4,3.4,
2018-01-01 05:40:00,213.0,218.0,,0.0,,2.8,3.2,,5.1,,0,,0,,,,,,,1017.7,,,1.0,,,,0.0,,,,0.0,,,,,,,2.0,,3.2,1.5,2.9,
2018-01-01 06:40:00,224.0,236.0,,0.0,,3.2,3.1,,5.9,,0,,0,,,,,,,1017.8,,,1.0,,,,0.0,,,,0.0,,,,,,,2.1,,3.3,2.2,3.5,
2018-01-01 07:40:00,207.0,202.0,,4.0,,2.1,2.8,,4.6,,0,,0,,,,,,,1018.3,,,5.0,,,,0.0,,,,0.0,,,,,,,1.9,,3.3,1.4,3.2,
2018-01-01 08:40:00,236.0,200.0,,33.0,,2.4,0.5,,5.7,,0,,0,,,,,,,1018.6,,,36.0,,,,0.0,,,,0.0,,,,,,,1.5,,2.9,0.7,2.5,
2018-01-01 09:40:00,213.0,213.0,,32.0,,2.2,4.8,,6.2,,0,,0,,,,,,,1017.8,,,147.0,,,,0.0,,,,31.0,,,,,,,2.6,,3.7,5.8,4.2,
2018-01-01 10:40:00,203.0,196.0,,39.0,,5.8,5.8,,9.8,,0,,0,,,,,,,1016.1,,,314.0,,,,0.0,,,,60.0,,,,,,,2.1,,4.5,7.0,4.7,
2018-01-01 11:40:00,207.0,202.0,,39.0,,5.5,7.0,,9.8,,0,,0,,,,,,,1014.3,,,342.0,,,,0.0,,,,60.0,,,,,,,1.4,,4.9,7.1,4.8,
2018-01-01 12:40:00,193.0,190.0,,40.0,,2.9,1.6,,9.4,,0,,0,,,,,,,1012.5,,,316.0,,,,0.0,,,,60.0,,,,,,,1.0,,5.1,8.4,4.4,
2018-01-01 13:40:00,204.0,209.0,,101.0,,2.1,2.6,,4.4,,0,,0,,,,,,,1010.2,,,178.0,,,,0.0,,,,21.0,,,,,,,0.9,,4.3,4.4,4.2,
2018-01-01 14:40:00,201.0,208.0,,51.0,,2.5,2.7,,5.1,,0,,0,,,,,,,1009.3,,,53.0,,,,0.0,,,,0.0,,,,,,,0.6,,4.3,3.1,4.2,
2018-01-01 15:40:00,170.0,66.0,,9.0,,1.7,0.2,,5.9,,0,,0,,,,,,,1008.3,,,10.0,,,,0.0,,,,0.0,,,,,,,0.8,,3.9,2.4,3.8,
2018-01-01 16:40:00,188.0,109.0,,0.0,,1.8,0.7,,4.7,,0,,0,,,,,,,1007.9,,,2.0,,,,0.0,,,,0.0,,,,,,,1.0,,3.3,2.1,2.7,
2018-01-01 17:40:00,219.0,244.0,,0.0,,1.7,2.2,,5.4,,0,,0,,,,,,,1008.2,,,1.0,,,,0.0,,,,0.0,,,,,,,0.5,,3.4,2.8,3.7,
2018-01-01 18:40:00,233.0,241.0,,0.0,,1.2,1.7,,3.4,,0,,0,,,,,,,1009.8,,,2.0,,,,0.2,,,,0.0,,,,,,,1.6,,3.4,2.3,3.1,
2018-01-01 19:40:00,222.0,126.0,,0.0,,1.9,0.9,,5.2,,0,,0,,,,,,,1010.9,,,1.0,,,,0.5,,,,0.0,,,,,,,1.6,,3.2,2.1,2.9,
2018-01-01 20:40:00,180.0,105.0,,0.0,,0.8,0.2,,2.1,,0,,0,,,,,,,1012.5,,,1.0,,,,0.4,,,,0.0,,,,,,,2.3,,2.9,2.4,3.1,
2018-01-01 21:40:00,225.0,255.0,,0.0,,1.1,1.0,,2.8,,0,,0,,,,,,,1013.8,,,1.0,,,,1.0,,,,0.0,,,,,,,2.9,,3.3,2.7,4.0,
2018-01-01 22:40:00,223.0,173.0,,0.0,,2.9,1.4,,14.7,,0,,0,,,,,,,1015.0,,,1.0,,,,0.7,,,,0.0,,,,,,,1.5,,5.1,2.2,4.7,
2018-01-01 23:40:00,217.0,231.0,,0.0,,3.0,4.1,,7.1,,0,,0,,,,,,,1015.1,,,1.0,,,,0.1,,,,0.0,,,,,,,1.6,,3.8,2.3,4.0,
2018-01-02 00:40:00,226.0,219.0,,0.0,0.1,4.3,2.3,,9.7,,0,,0,,,,,,,1016.2,,,1.0,,,,0.6,,,,0.0,,,,,,,1.0,1.9,4.1,2.2,4.5,6.5
2018-01-02 01:40:00,211.0,202.0,,0.0,,2.4,2.0,,6.9,,0,,0,,,,,,,1016.5,,,1.0,,,,0.0,,,,0.0,,,,,,,1.3,,3.9,1.4,2.7,
2018-01-02 02:40:00,225.0,235.0,,0.0,,2.9,4.3,,10.5,,0,,0,,,,,,,1017.7,,,1.0,,,,0.1,,,,0.0,,,,,,,-0.2,,3.6,1.9,3.8,
2018-01-02 03:40:00,246.0,244.0,,0.0,,2.3,1.8,,8.4,,0,,0,,,,,,,1018.2,,,2.0,,,,0.1,,,,0.0,,,,,,,0.3,,3.1,0.6,2.6,
2018-01-02 04:40:00,275.0,234.0,,0.0,,1.5,1.1,,5.3,,0,,0,,,,,,,1018.4,,,1.0,,,,0.0,,,,0.0,,,,,,,0.2,,3.3,1.7,3.9,
2018-01-02 05:40:00,276.0,285.0,,0.0,,2.7,3.2,,7.0,,0,,0,,,,,,,1018.7,,,1.0,,,,0.1,,,,0.0,,,,,,,0.0,,3.9,1.9,4.0,
2018-01-02 06:40:00,232.0,259.0,,0.0,,2.0,2.3,,5.8,,0,,0,,,,,,,1019.5,,,1.0,,,,0.1,,,,0.0,,,,,,,0.1,,3.6,1.2,3.8,
2018-01-02 07:40:00,241.0,216.0,,3.0,,2.6,2.3,,8.7,,0,,0,,,,,,,1020.3,,,5.0,,,,0.0,,,,0.0,,,,,,,0.0,,3.6,1.9,3.5,
2018-01-02 08:40:00,204.0,216.0,,36.0,,2.7,3.8,,6.4,,0,,0,,,,,,,1021.2,,,40.0,,,,0.0,,,,0.0,,,,,,,0.9,,3.4,2.6,3.2,
2018-01-02 09:40:00,201.0,183.0,,75.0,,2.4,2.7,,6.4,,0,,0,,,,,,,1021.8,,,82.0,,,,0.0,,,,1.0,,,,,,,-0.6,,4.4,4.0,4.8,
2018-01-02 10:40:00,200.0,201.0,,114.0,,2.6,2.8,,6.5,,0,,0,,,,,,,1021.0,,,156.0,,,,0.0,,,,11.0,,,,,,,-0.2,,5.2,6.6,5.5,
2018-01-02 11:40:00,225.0,247.0,,129.0,,2.4,2.4,,6.1,,0,,0,,,,,,,1020.3,,,255.0,,,,0.0,,,,36.0,,,,,,,-3.3,,6.2,6.3,6.4,
2018-01-02 12:40:00,228.0,240.0,,140.0,,2.9,2.3,,6.0,,0,,0,,,,,,,1020.0,,,152.0,,,,0.0,,,,0.0,,,,,,,-1.2,,5.3,5.1,5.7,
2018-01-02 13:40:00,218.0,222.0,,93.0,,2.8,2.6,,4.2,,0,,0,,,,,,,1020.4,,,96.0,,,,0.0,,,,0.0,,,,,,,0.3,,4.8,4.5,5.1,
2018-01-02 14:40:00,212.0,208.0,,61.0,,2.8,3.9,,5.1,,0,,0,,,,,,,1020.6,,,62.0,,,,0.0,,,,0.0,,,,,,,1.2,,4.9,3.3,4.1,
2018-01-02 15:40:00,215.0,236.0,,8.0,,4.2,4.1,,7.9,,0,,0,,,,,,,1020.7,,,9.0,,,,0.0,,,,0.0,,,,,,,-2.1,,4.2,3.3,4.8,
2018-01-02 16:40:00,211.0,220.0,,0.0,,5.0,4.5,,10.0,,0,,0,,,,,,,1019.7,,,1.0,,,,0.0,,,,0.0,,,,,,,-3.1,,5.0,3.5,4.9,
2018-01-02 17:40:00,127.0,118.0,,0.0,,1.8,1.0,,4.2,,0,,0,,,,,,,1020.5,,,2.0,,,,0.0,,,,0.0,,,,,,,-2.0,,4.3,2.3,4.1,
2018-01-02 18:40:00,210.0,220.0,,0.0,,1.7,2.1,,3.2,,0,,0,,,,,,,1020.9,,,2.0,,,,0.0,,,,0.0,,,,,,,-1.0,,3.5,2.2,3.4,
