,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,207,195.0,,0,0.3,5.0,3.4,,14.3,,0,,0,,,,,,,,,,4,,,,0.0,,,14.0,0,,,,,,,-1.9,-0.6,6.1,4.2,5.8,6.3
2018-01-01 01:40:00,80,235.0,,2,,3.9,1.7,,8.8,,0,,0,,,,,,,,,,8,,,,0.8,,,14.0,0,,,,,,,-0.5,,2.2,0.0,1.1,
2018-01-01 02:40:00,191,201.0,,0,,4.1,5.4,,10.6,,0,,0,,,,,,,,,,5,,,,0.4,,,15.0,0,,,,,,,-2.0,,1.1,0.0,1.2,
2018-01-01 03:40:00,202,195.0,,0,,3.3,4.3,,8.0,,0,,0,,,,,,,,,,5,,,,0.2,,,16.0,0,,,,,,,-1.5,,0.6,-0.1,0.6,
2018-01-01 04:40:00,191,190.0,,0,,5.2,4.2,,11.9,,0,,0,,,,,2.0,,,,,5,,,,0.0,,28.0,16.0,0,,,,,,,-4.0,,0.9,-1.0,0.6,
2018-01-01 05:40:00,214,211.0,,0,,5.5,5.2,,12.3,,0,,0,,,,,,,,,,5,,,,0.0,,,16.0,0,,,,,,,-5.5,,0.8,-1.2,0.8,
2018-01-01 06:40:00,207,205.0,,0,,5.4,5.4,,10.9,,0,,0,,,,,,,,,,5,,,,0.0,,,16.0,0,,,,,,,-5.4,,1.1,-0.8,1.0,
2018-01-01 07:40:00,212,211.0,,7,,4.8,3.7,,13.1,,0,,0,,,,,,,,,,13,,,,0.0,,,16.0,0,,,,,,,-4.9,,1.0,-0.5,1.1,
2018-01-01 08:40:00,207,208.0,,43,,5.3,4.5,,10.8,,0,,0,,,,,,,,,,50,,,,0.1,,,16.0,0,,,,,,,-5.4,,0.6,-1.0,0.6,
2018-01-01 09:40:00,197,195.0,,79,,4.3,4.5,,8.9,,0,,0,,,,,,,,,,117,,,,0.0,,,16.0,13,,,,,,,-6.6,,0.8,0.8,1.3,
2018-01-01 10:40:00,194,187.0,,101,,4.9,3.2,,9.7,,0,,0,,,,,,,,,,358,,,,0.0,,,16.0,52,,,,,,,-6.7,,2.2,3.0,2.6,
2018-01-01 11:40:00,183,222.0,,56,,4.3,3.9,,9.0,,0,,0,,,,,,,,,,397,,,,0.0,,,16.0,60,,,,,,,-9.8,,3.0,4.8,3.4,
2018-01-01 12:40:00,229,233.0,,72,,7.1,8.6,,14.0,,0,,0,,,,,,,,,,341,,,,0.0,,,15.0,60,,,,,,,-10.1,,3.9,3.2,3.4,
2018-01-01 13:40:00,239,233.0,,155,,7.1,5.1,,14.6,,0,,0,,,,,,,,,,195,,,,0.0,,,15.0,5,,,,,,,-10.0,,3.7,3.5,4.3,
2018-01-01 14:40:00,235,206.0,,75,,5.6,4.1,,11.0,,0,,0,,,,,,,,,,82,,,,0.0,,,15.0,0,,,,,,,-8.1,,4.6,3.5,4.5,
