,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,266,314.0,,,,3.7,3.3,,6.1,,0,,0,,2983.1,,,,,,,,0,,,,,,,,0.0,,,,,,,-9.9,-11.8,-7.6,,-7.2,-6.4
2018-01-01 01:40:00,295,276.0,,,,1.8,1.6,,5.7,,0,,0,,2977.8,,,,,,,,0,,,,,,,,0.0,,,,,,,-9.4,,-6.8,,-6.5,
2018-01-01 02:40:00,197,189.0,,,,3.4,4.3,,6.6,,0,,0,,2975.3,,,,,,,,0,,,,,,,,0.0,,,,,,,-7.4,,-7.2,,-7.4,
2018-01-01 03:40:00,270,312.0,,,,2.4,4.2,,7.2,,0,,0,,2978.2,,,,,,,,0,,,,,,,,0.0,,,,,,,-9.5,,-8.6,,-8.9,
2018-01-01 04:40:00,316,273.0,,,,6.2,4.7,,12.2,,0,,0,,2980.0,,,,,,,,0,,,,,,,,0.0,,,,,,,-10.6,,-9.5,,-10.0,
2018-01-01 05:40:00,272,289.0,,,,6.0,5.8,,14.8,,0,,0,,2981.3,,,,,,,,0,,,,,,,,0.0,,,,,,,-13.4,,-9.9,,-9.3,
2018-01-01 06:40:00,264,264.0,,,,6.3,5.0,,13.0,,0,,0,,2978.8,,,,,,,,0,,,,,,,,0.0,,,,,,,-14.9,,-10.6,,-10.4,
2018-01-01 07:40:00,268,272.0,,,,6.6,6.3,,12.6,,0,,0,,2975.1,,,,,,,,12,,,,,,,,0.0,,,,,,,-13.4,,-11.1,,-11.8,
2018-01-01 08:40:00,287,313.0,,,,6.1,9.4,,14.3,,0,,0,,2977.9,,,,,,,,124,,,,,,,,30.0,,,,,,,-15.8,,-10.3,,-9.8,
2018-01-01 09:40:00,300,295.0,,,,8.0,7.1,,15.5,,0,,0,,2977.7,,,,,,,,301,,,,,,,,60.0,,,,,,,-14.8,,-10.0,,-10.2,
2018-01-01 10:40:00,286,278.0,,,,8.2,6.4,,15.0,,0,,0,,2971.2,,,,,,,,384,,,,,,,,60.0,,,,,,,-14.9,,-10.0,,-10.1,
