,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,41.0,65.0,,2.0,,1.5,1.3,,5.0,,0,,0,,2985.1,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 01:40:00,74.0,88.0,,2.0,,1.7,1.1,,4.9,,0,,0,,2981.3,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 02:40:00,90.0,285.0,,2.0,,1.5,1.5,,5.2,,0,,0,,2974.9,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 03:40:00,250.0,272.0,,2.0,,3.4,4.6,,9.4,,0,,0,,2979.6,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 04:40:00,257.0,267.0,,2.0,,1.4,1.5,,4.0,,0,,0,,2984.7,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 05:40:00,270.0,254.0,,2.0,,1.8,3.5,,5.9,,0,,0,,2988.7,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 06:40:00,214.0,209.0,,2.0,,4.0,2.7,,8.0,,0,,0,,2986.6,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 07:40:00,135.0,104.0,,17.0,,1.0,0.7,,3.4,,0,,0,,2984.3,,,,,,,,21.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 08:40:00,185.0,183.0,,41.0,,1.6,2.1,,5.5,,0,,0,,2987.4,,,,,,,,49.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 09:40:00,80.0,66.0,,26.0,,2.3,2.5,,6.5,,0,,0,,2988.6,,,,,,,,31.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 10:40:00,48.0,88.0,,26.0,,3.2,3.7,,8.5,,0,,0,,2984.2,,,,,,,,29.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 11:40:00,77.0,63.0,,34.0,,4.9,5.6,,12.9,,0,,0,,2982.7,,,,,,,,187.0,,,,,,,,24.0,,,,,,,,,,,,
2018-01-01 12:40:00,167.0,228.0,,53.0,,4.2,2.6,,10.5,,0,,0,,2972.3,,,,,,,,420.0,,,,,,,,60.0,,,,,,,,,,,,
2018-01-01 13:40:00,146.0,75.0,,72.0,,2.6,4.7,,7.0,,0,,0,,0.0,,,,,,,,264.0,,,,,,,,49.0,,,,,,,,,,,,
2018-01-01 14:40:00,93.0,89.0,,54.0,,2.7,2.7,,9.3,,0,,0,,2949.3,,,,,,,,61.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 15:40:00,63.0,74.0,,28.0,,1.4,1.6,,4.8,,0,,0,,2945.9,,,,,,,,32.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 16:40:00,54.0,14.0,,2.0,,3.0,1.9,,5.1,,0,,0,,2935.7,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 17:40:00,158.0,204.0,,2.0,,1.9,3.7,,8.8,,0,,0,,2935.7,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 18:40:00,18.0,25.0,,2.0,,1.0,0.8,,8.7,,0,,0,,2937.8,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 19:40:00,65.0,148.0,,2.0,,2.2,1.3,,3.9,,0,,0,,2942.2,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 20:40:00,198.0,203.0,,2.0,,2.4,1.6,,6.6,,0,,0,,2937.7,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 21:40:00,225.0,228.0,,2.0,,3.9,3.6,,12.1,,0,,0,,2939.8,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 22:40:00,256.0,248.0,,2.0,,4.3,3.9,,11.6,,0,,0,,2942.9,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-01 23:40:00,257.0,250.0,,2.0,,5.1,4.1,,13.7,,0,,0,,2953.6,,,,,,,,5.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 00:40:00,292.0,282.0,,3.0,,4.5,4.7,,11.8,,0,,0,,2956.7,,,,,,,,5.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 01:40:00,290.0,309.0,,3.0,,5.3,4.4,,19.3,,0,,0,,2948.9,,,,,,,,5.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 02:40:00,283.0,264.0,,2.0,,2.3,0.4,,7.5,,0,,0,,2944.6,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 03:40:00,246.0,231.0,,3.0,,4.1,5.8,,21.3,,0,,0,,2945.6,,,,,,,,5.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 04:40:00,279.0,,,3.0,,8.3,,,22.7,,0,,0,,,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 05:40:00,281.0,,,,,7.5,,,15.6,,0,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2018-01-02 06:40:00,272.0,,,,,6.7,,,14.1,,0,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2018-01-02 07:40:00,261.0,,,,,6.1,,,12.0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 08:40:00,255.0,,,,,6.0,,,10.9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 09:40:00,274.0,279.0,,98.0,,5.1,6.7,,12.9,,0,,0,,2997.5,,,,,,,,104.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 10:40:00,297.0,330.0,,209.0,,4.8,3.3,,14.1,,0,,0,,3002.2,,,,,,,,217.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 11:40:00,262.0,280.0,,233.0,,2.9,3.6,,10.1,,0,,0,,3002.3,,,,,,,,246.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 12:40:00,277.0,286.0,,132.0,,3.7,2.1,,10.0,,0,,0,,2999.2,,,,,,,,149.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 13:40:00,262.0,278.0,,107.0,,4.8,7.4,,15.0,,0,,0,,3002.4,,,,,,,,111.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 14:40:00,255.0,222.0,,44.0,,4.3,1.8,,15.5,,0,,0,,3010.3,,,,,,,,47.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 15:40:00,227.0,81.0,,9.0,,2.2,0.4,,6.5,,0,,0,,3011.3,,,,,,,,13.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 16:40:00,198.0,173.0,,2.0,,3.3,4.1,,11.0,,0,,0,,3006.7,,,,,,,,5.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 17:40:00,184.0,180.0,,2.0,,3.7,3.3,,7.8,,0,,0,,3009.8,,,,,,,,4.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 18:40:00,188.0,202.0,,2.0,,3.4,3.4,,13.4,,0,,0,,3014.6,,,,,,,,5.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 19:40:00,195.0,,,2.0,,4.3,,,10.0,,0,,0,,,,,,,,,,3.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-02 20:40:00,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2018-01-02 21:40:00,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2018-01-02 22:40:00,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2018-01-02 23:40:00,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2018-01-03 00:40:00,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2018-01-03 01:40:00,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2018-01-03 02:40:00,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2018-01-03 03:40:00,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2018-01-03 04:40:00,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2018-01-03 05:40:00,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2018-01-03 06:40:00,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2018-01-03 07:40:00,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 08:40:00,,277.0,,,,,7.1,,,,0,,0,,2973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 09:40:00,270.0,267.0,,52.0,,8.3,11.3,,30.0,,0,,0,,2962.7,,,,,,,,55.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-03 10:40:00,294.0,296.0,,69.0,,8.0,7.2,,23.6,,0,,0,,2950.1,,,,,,,,73.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-03 11:40:00,289.0,326.0,,61.0,,8.5,4.3,,25.4,,0,,0,,2929.7,,,,,,,,64.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-03 12:40:00,282.0,280.0,,67.0,,11.2,6.8,,28.8,,0,,0,,2914.9,,,,,,,,70.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-03 13:40:00,285.0,280.0,,41.0,,8.8,5.7,,29.0,,0,,0,,2912.6,,,,,,,,44.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-03 14:40:00,265.0,,,31.0,,6.9,,,21.1,,0,,0,,,,,,,,,,34.0,,,,,,,,0.0,,,,,,,,,,,,
2018-01-03 15:40:00,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 16:40:00,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 17:40:00,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 18:40:00,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 19:40:00,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 20:40:00,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 21:40:00,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 22:40:00,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 23:40:00,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
