,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,229.0,224.0,,2.0,0.2,1.3,1.3,,2.2,,0,,0,,,,,,,,,,3.0,,,,0.0,,,73.0,0.0,,,,,,,-5.2,-3.8,-3.0,-0.1,-3.3,0.4
2018-01-01 01:40:00,222.0,222.0,,2.0,,1.2,0.9,,2.1,,0,,0,,,,,,,,,,3.0,,,,0.0,,,73.0,0.0,,,,,,,-5.5,,-3.0,-0.1,-3.2,
2018-01-01 02:40:00,243.0,51.0,,2.0,,0.9,0.3,,2.6,,0,,0,,,,,,,,,,3.0,,,,0.0,,,72.0,0.0,,,,,,,-4.9,,-1.9,-0.1,-2.2,
2018-01-01 03:40:00,14.0,345.0,,2.0,,1.5,0.9,,7.5,,0,,0,,,,,,,,,,3.0,,,,0.1,,,71.0,0.0,,,,,,,-3.2,,-2.5,-0.1,-2.3,
2018-01-01 04:40:00,214.0,237.0,,2.0,,0.6,0.1,,2.1,,0,,0,,,,,1.0,,,,,3.0,,,,0.3,,61.0,71.0,0.0,,,,,,,-3.2,,-2.3,-0.1,-2.5,
2018-01-01 05:40:00,27.0,10.0,,2.0,,1.0,0.8,,3.9,,0,,0,,,,,,,,,,3.0,,,,0.0,,,66.0,0.0,,,,,,,-3.0,,-2.1,-0.1,-1.9,
2018-01-01 06:40:00,243.0,228.0,,2.0,,0.8,1.0,,2.3,,0,,0,,,,,,,,,,3.0,,,,0.0,,,71.0,0.0,,,,,,,-3.5,,-2.1,-0.1,-2.5,
2018-01-01 07:40:00,30.0,216.0,,14.0,,1.2,0.3,,4.3,,0,,0,,,,,,,,,,16.0,,,,0.0,,,71.0,0.0,,,,,,,-3.9,,-2.5,-0.1,-2.8,
2018-01-01 08:40:00,27.0,190.0,,35.0,,0.7,0.8,,2.7,,0,,0,,,,,,,,,,37.0,,,,0.0,,,70.0,0.0,,,,,,,-4.1,,-2.4,-0.1,-2.5,
2018-01-01 09:40:00,43.0,54.0,,90.0,,1.6,0.7,,4.6,,0,,0,,,,,,,,,,115.0,,,,0.0,,,71.0,6.0,,,,,,,-4.6,,-2.6,-0.1,-2.6,
2018-01-01 10:40:00,205.0,211.0,,91.0,,2.0,3.1,,4.9,,0,,0,,,,,,,,,,354.0,,,,0.0,,,69.0,52.0,,,,,,,-6.4,,-1.3,-0.1,-0.8,
2018-01-01 11:40:00,52.0,145.0,,64.0,,2.6,0.8,,6.7,,0,,0,,,,,,,,,,411.0,,,,0.0,,,70.0,60.0,,,,,,,-5.3,,-0.6,-0.1,0.2,
2018-01-01 12:40:00,207.0,56.0,,61.0,,1.9,1.7,,3.4,,0,,0,,,,,,,,,,377.0,,,,0.0,,,69.0,60.0,,,,,,,-6.4,,0.0,-0.1,-0.5,
