,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,315.0,286.0,,0.0,0.3,0.2,0.2,,0.8,,0,,0,,,,,,,,,,0.0,,,,0.3,,,,0.0,,,0.6,0.9,0.6,0.6,-2.8,-4.6,-2.5,-0.1,-2.3,-0.6
2018-01-01 01:40:00,360.0,35.0,,0.0,,0.2,0.3,,1.0,,0,,0,,,,,,,,,,0.0,,,,0.1,,,,0.0,,,0.6,0.9,0.6,,-2.9,,-2.2,-0.1,-2.2,
2018-01-01 02:40:00,360.0,300.0,,0.0,,0.3,0.1,,1.2,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.6,0.9,0.6,,-3.1,,-1.9,-0.1,-1.9,
2018-01-01 03:40:00,45.0,359.0,,0.0,,0.5,0.4,,3.2,,0,,0,,,,,,,,,,0.0,,,,0.2,,,,0.0,,,0.6,0.9,0.6,,-4.2,,-1.5,-0.1,-1.0,
2018-01-01 04:40:00,11.0,16.0,,0.0,,3.6,4.4,,10.1,,0,,0,,,,,,,,,,1.0,,,,0.2,,,,0.0,,,0.6,0.9,0.6,,-7.1,,-1.2,-0.1,-1.6,
2018-01-01 05:40:00,8.0,34.0,,0.0,,4.3,3.8,,9.8,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.6,0.9,0.6,,-6.6,,-1.8,-0.1,-2.1,
2018-01-01 06:40:00,19.0,8.0,,0.0,,3.8,3.0,,8.8,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.6,0.9,0.6,,-8.6,,-2.2,-0.1,-2.1,
2018-01-01 07:40:00,4.0,354.0,,8.0,,5.0,5.5,,12.0,,0,,0,,,,,,,,,,11.0,,,,0.0,,,,0.0,,,0.6,0.9,0.6,,-10.1,,-2.2,-0.2,-2.6,
2018-01-01 08:40:00,354.0,329.0,,76.0,,5.3,4.9,,12.5,,0,,0,,,,,,,,,,81.0,,,,0.1,,,,0.0,,,0.7,0.9,0.6,,-9.2,,-2.7,-0.2,-2.8,
2018-01-01 09:40:00,357.0,8.0,,181.0,,4.8,4.0,,12.5,,0,,0,,,,,,,,,,309.0,,,,0.0,,,,29.0,,,0.6,0.9,0.6,,-10.0,,-2.3,-0.2,-2.1,
2018-01-01 10:40:00,311.0,276.0,,142.0,,2.9,0.9,,8.9,,0,,0,,,,,,,,,,425.0,,,,0.0,,,,59.0,,,0.6,0.9,0.6,,-10.4,,-1.8,-0.2,-1.7,
2018-01-01 11:40:00,13.0,33.0,,286.0,,2.7,2.5,,9.8,,0,,0,,,,,,,,,,537.0,,,,0.0,,,,55.0,,,0.7,0.9,0.6,,-10.4,,-1.9,-0.1,-1.8,
2018-01-01 12:40:00,16.0,341.0,,74.0,,4.3,4.6,,12.8,,0,,0,,,,,,,,,,392.0,,,,0.0,,,,60.0,,,0.7,0.9,0.6,,-12.1,,-1.7,-0.1,-1.5,
2018-01-01 13:40:00,304.0,255.0,,49.0,,3.9,2.7,,9.0,,0,,0,,,,,,,,,,204.0,,,,0.0,,,,44.0,,,0.7,0.9,0.6,,-13.0,,-2.6,-0.1,-3.5,
2018-01-01 14:40:00,254.0,253.0,,27.0,,2.4,4.7,,7.6,,0,,0,,,,,,,,,,34.0,,,,0.0,,,,0.0,,,0.7,0.9,0.6,,-13.4,,-3.9,-0.1,-3.2,
2018-01-01 15:40:00,304.0,106.0,,14.0,,1.6,0.2,,6.9,,0,,0,,,,,,,,,,17.0,,,,0.0,,,,0.0,,,0.7,0.9,0.6,,-13.2,,-2.9,-0.1,-2.4,
2018-01-01 16:40:00,333.0,328.0,,0.0,,1.7,1.8,,5.1,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,-15.0,0.9,0.6,,-9.2,,-1.8,-0.1,-1.3,
2018-01-01 17:40:00,247.0,325.0,,0.0,,2.2,1.4,,5.9,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,-14.3,0.9,0.6,,-10.9,,-2.0,-0.1,-2.2,
2018-01-01 18:40:00,284.0,268.0,,0.0,,0.6,1.0,,2.8,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,-14.7,0.9,0.6,,-12.9,,-2.6,-0.1,-1.8,
2018-01-01 19:40:00,34.0,359.0,,0.0,,1.1,1.0,,4.1,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,-14.3,0.9,0.6,,-11.8,,-2.5,-0.1,-2.2,
2018-01-01 20:40:00,336.0,4.0,,0.0,,5.7,3.3,,11.8,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,-1.1,0.9,0.6,,-8.1,,-2.0,-0.1,-2.0,
2018-01-01 21:40:00,358.0,4.0,,0.0,,2.7,1.2,,6.4,,0,,0,,,,,,,,,,0.0,,,,0.1,,,,0.0,,,-5.5,1.0,0.6,,-5.6,,-2.7,-0.1,-3.0,
2018-01-01 22:40:00,27.0,193.0,,0.0,,1.6,0.7,,5.3,,0,,0,,,,,,,,,,0.0,,,,2.0,,,,0.0,,,0.2,1.0,0.6,,-5.3,,-3.6,-0.1,-4.0,
2018-01-01 23:40:00,72.0,342.0,,0.0,,2.4,0.2,,6.1,,0,,0,,,,,,,,,,0.0,,,,0.6,,,,0.0,,,-6.0,1.0,0.6,,-9.9,,-4.0,-0.1,-3.8,
2018-01-02 00:40:00,14.0,35.0,,0.0,0.1,2.1,0.9,,7.6,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.7,1.0,0.6,0.6,-10.3,-6.5,-4.1,-0.1,-3.7,-3.6
2018-01-02 01:40:00,27.0,22.0,,0.0,,2.2,0.3,,9.6,,0,,0,,,,,,,,,,0.0,,,,0.1,,,,0.0,,,-10.8,1.0,0.6,,-9.2,,-4.2,-0.1,-4.5,
2018-01-02 02:40:00,330.0,346.0,,0.0,,3.1,1.9,,13.7,,0,,0,,,,,,,,,,0.0,,,,0.1,,,,0.0,,,0.6,1.0,0.6,,-9.5,,-4.9,-0.1,-5.4,
2018-01-02 03:40:00,9.0,6.0,,0.0,,1.8,1.9,,7.1,,0,,0,,,,,,,,,,0.0,,,,0.3,,,,0.0,,,0.7,1.0,0.6,,-9.6,,-5.2,-0.1,-5.0,
2018-01-02 04:40:00,360.0,122.0,,0.0,,1.6,1.5,,8.3,,0,,0,,,,,,,,,,0.0,,,,0.1,,,,0.0,,,0.6,1.0,0.6,,-9.2,,-5.3,-0.1,-5.6,
2018-01-02 05:40:00,124.0,127.0,,0.0,,1.3,0.4,,4.3,,0,,0,,,,,,,,,,0.0,,,,0.5,,,,0.0,,,0.7,1.0,0.6,,-7.8,,-5.9,-0.1,-6.1,
2018-01-02 06:40:00,144.0,118.0,,0.0,,1.5,1.0,,6.9,,0,,0,,,,,,,,,,0.0,,,,0.3,,,,0.0,,,0.7,1.0,0.6,,-7.9,,-5.8,-0.1,-5.9,
2018-01-02 07:40:00,135.0,30.0,,7.0,,1.5,0.9,,7.4,,0,,0,,,,,,,,,,11.0,,,,0.1,,,,0.0,,,0.7,1.0,0.6,,-11.1,,-5.4,-0.1,-5.0,
2018-01-02 08:40:00,135.0,80.0,,65.0,,1.4,0.8,,9.2,,0,,0,,,,,,,,,,70.0,,,,0.2,,,,0.0,,,0.7,1.0,0.6,,-9.3,,-5.6,-0.1,-5.9,
2018-01-02 09:40:00,215.0,205.0,,145.0,,2.0,1.4,,6.3,,0,,0,,,,,,,,,,149.0,,,,0.1,,,,0.0,,,0.7,1.0,0.6,,-10.2,,-5.2,-0.1,-5.6,
2018-01-02 10:40:00,197.0,170.0,,177.0,,1.3,1.3,,4.0,,0,,0,,,,,,,,,,181.0,,,,0.1,,,,0.0,,,0.7,1.0,0.6,,-9.0,,-5.8,-0.1,-5.9,
2018-01-02 11:40:00,207.0,230.0,,209.0,,1.2,0.5,,5.2,,0,,0,,,,,,,,,,224.0,,,,0.0,,,,0.0,,,0.7,1.0,0.6,,-12.1,,-5.3,-0.1,-4.6,
2018-01-02 12:40:00,270.0,83.0,,201.0,,1.4,0.2,,7.8,,0,,0,,,,,,,,,,286.0,,,,0.0,,,,29.0,,,0.7,1.0,0.6,,-14.1,,-4.5,-0.1,-5.1,
2018-01-02 13:40:00,233.0,238.0,,152.0,,1.8,0.8,,5.9,,0,,0,,,,,,,,,,255.0,,,,0.0,,,,28.0,,,0.7,1.0,0.6,,-15.8,,-4.3,-0.1,-4.4,
2018-01-02 14:40:00,288.0,287.0,,99.0,,1.7,1.9,,6.8,,0,,0,,,,,,,,,,105.0,,,,0.0,,,,0.0,,,0.7,1.0,0.6,,-17.6,,-4.0,-0.1,-3.8,
2018-01-02 15:40:00,296.0,325.0,,16.0,,2.9,3.8,,8.9,,0,,0,,,,,,,,,,20.0,,,,0.0,,,,0.0,,,0.7,1.0,0.6,,-17.3,,-4.2,-0.1,-4.0,
2018-01-02 16:40:00,327.0,346.0,,0.0,,5.6,4.3,,11.4,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.7,1.0,0.6,,-12.4,,-4.6,-0.1,-4.9,
2018-01-02 17:40:00,333.0,334.0,,0.0,,5.3,6.2,,10.9,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.7,1.0,0.6,,-11.0,,-5.0,-0.1,-5.0,
2018-01-02 18:40:00,344.0,350.0,,0.0,,5.0,5.0,,9.7,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.7,1.0,0.6,,-10.5,,-4.7,-0.1,-4.4,
2018-01-02 19:40:00,11.0,176.0,,0.0,,3.2,2.0,,8.1,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.7,1.0,0.6,,-7.8,,-4.3,-0.1,-4.5,
2018-01-02 20:40:00,288.0,324.0,,0.0,,0.6,0.8,,2.3,,0,,0,,,,,,,,,,0.0,,,,0.3,,,,0.0,,,0.7,1.0,0.6,,-6.7,,-5.3,-0.1,-5.5,
2018-01-02 21:40:00,34.0,32.0,,0.0,,0.5,0.3,,1.4,,0,,0,,,,,,,,,,0.0,,,,2.1,,,,0.0,,,0.7,1.0,0.6,,-5.9,,-5.3,-0.1,-5.0,
2018-01-02 22:40:00,27.0,40.0,,0.0,,0.3,0.3,,0.8,,0,,0,,,,,,,,,,0.0,,,,3.4,,,,0.0,,,0.7,1.0,0.6,,-5.4,,-4.9,-0.1,-4.4,
2018-01-02 23:40:00,360.0,35.0,,0.0,,0.6,0.9,,1.9,,0,,0,,,,,,,,,,0.0,,,,2.2,,,,0.0,,,0.7,1.0,0.6,,-5.3,,-4.5,-0.1,-4.4,
2018-01-03 00:40:00,14.0,4.0,,0.0,0.0,0.7,0.8,,2.1,,0,,0,,,,,,,,,,0.0,,,,0.6,,,,0.0,,,0.7,1.0,0.6,0.6,-3.8,-6.0,-3.7,-0.1,-2.8,0.4
2018-01-03 01:40:00,18.0,279.0,,0.0,,0.5,0.1,,1.6,,0,,0,,,,,,,,,,0.0,,,,0.5,,,,0.0,,,0.7,1.0,0.6,,-2.9,,-2.2,-0.1,-2.6,
