,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,14,280.0,,0,0.0,1.2,0.1,,4.3,,0,,0,,,,,,,1016.8,,,0,,,,0.1,,,,0,,,,,,,1.6,0.5,1.9,,2.1,4.0
2018-01-01 01:40:00,225,214.0,,0,,1.4,1.9,,4.0,,0,,0,,,,,,,1016.5,,,1,,,,0.0,,,,0,,,,,,,1.4,,1.9,,1.9,
2018-01-01 02:40:00,0,333.0,,0,,1.1,0.6,,3.8,,0,,0,,,,,,,1016.0,,,1,,,,0.0,,,,0,,,,,,,1.4,,1.7,,1.8,
2018-01-01 03:40:00,360,346.0,,0,,0.7,0.3,,3.2,,0,,0,,,,,,,1015.4,,,1,,,,0.0,,,,0,,,,,,,1.3,,1.5,,1.6,
2018-01-01 04:40:00,354,329.0,,0,,1.5,2.1,,4.7,,0,,0,,,,,,,1015.6,,,0,,,,1.0,,,,0,,,,,,,1.6,,1.5,,1.9,
2018-01-01 05:40:00,6,13.0,,0,,2.1,2.6,,6.2,,0,,0,,,,,,,1014.6,,,0,,,,0.0,,,,0,,,,,,,1.5,,2.0,,2.1,
2018-01-01 06:40:00,211,141.0,,0,,1.7,0.6,,5.9,,0,,0,,,,,,,1015.0,,,1,,,,0.0,,,,0,,,,,,,1.1,,2.1,,1.5,
2018-01-01 07:40:00,9,130.0,,3,,1.0,0.2,,3.4,,0,,0,,,,,,,1014.5,,,6,,,,0.0,,,,0,,,,,,,1.1,,1.5,,1.4,
2018-01-01 08:40:00,315,234.0,,47,,1.3,1.4,,4.4,,0,,0,,,,,,,1014.2,,,53,,,,0.0,,,,1,,,,,,,1.5,,1.8,,1.8,
2018-01-01 09:40:00,90,239.0,,100,,1.1,0.7,,3.6,,0,,0,,,,,,,1013.8,,,180,,,,0.0,,,,35,,,,,,,2.0,,1.8,,2.2,
