,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,297,32.0,,0,0.1,0.7,0.1,,2.0,,0,,0,,,314,,,,,,,1,,,,0.1,,,63.0,0,,,,,,,0.4,-2.4,1.1,0.3,1.1,4.6
2018-01-01 01:40:00,180,251.0,,0,,0.5,0.2,,1.2,,0,,0,,,311,,,,,,,1,,,,0.0,,,63.0,0,,,,,,,0.1,,1.1,0.1,0.9,
2018-01-01 02:40:00,72,41.0,,0,,0.4,0.2,,1.1,,0,,0,,,305,,,,,,,1,,,,0.0,,,63.0,0,,,,,,,0.2,,1.0,0.2,0.9,
2018-01-01 03:40:00,315,79.0,,1,,0.6,0.6,,1.9,,0,,0,,,307,,,,,,,1,,,,0.0,,,63.0,0,,,,,,,0.3,,1.0,0.2,1.2,
2018-01-01 04:40:00,326,280.0,,0,,1.4,4.0,,7.4,,0,,0,,,317,,,,,,,1,,,,0.4,,,63.0,0,,,,,,,0.5,,1.8,1.3,3.0,
2018-01-01 05:40:00,288,311.0,,1,,2.2,1.2,,5.2,,0,,0,,,302,,,,,,,2,,,,0.0,,,62.0,0,,,,,,,0.2,,2.3,0.7,2.1,
2018-01-01 06:40:00,306,298.0,,0,,1.9,2.1,,4.5,,0,,0,,,293,,,,,,,1,,,,0.0,,,62.0,0,,,,,,,-1.0,,2.6,1.3,2.6,
2018-01-01 07:40:00,304,246.0,,13,,1.4,1.5,,3.8,,0,,0,,,285,,,,,,,14,,,,0.0,,,62.0,0,,,,,,,-0.6,,1.7,0.7,1.7,
2018-01-01 08:40:00,280,286.0,,65,,4.7,3.8,,8.4,,0,,0,,,273,,,,,,,67,,,,0.0,,,62.0,0,,,,,,,-2.6,,2.5,2.0,2.5,
2018-01-01 09:40:00,292,295.0,,29,,3.8,2.3,,8.6,,0,,0,,,242,,,,,,,31,,,,0.0,,,62.0,0,,,,,,,-4.0,,3.1,1.8,1.1,
2018-01-01 10:40:00,275,277.0,,25,,4.8,5.9,,10.8,,0,,0,,,237,,,,,,,26,,,,0.0,,,62.0,0,,,,,,,-6.5,,3.0,2.3,3.7,
2018-01-01 11:40:00,279,276.0,,31,,6.7,6.7,,10.4,,0,,0,,,240,,,,,,,32,,,,0.0,,,62.0,0,,,,,,,-6.5,,4.4,3.0,3.8,
2018-01-01 12:40:00,274,277.0,,29,,4.6,3.9,,9.2,,0,,0,,,237,,,,,,,30,,,,0.0,,,62.0,0,,,,,,,-4.8,,1.6,-0.3,0.4,
2018-01-01 13:40:00,281,288.0,,22,,3.3,2.6,,7.0,,0,,0,,,234,,,,,,,23,,,,0.0,,,61.0,0,,,,,,,-6.8,,-0.1,-1.3,0.4,
2018-01-01 14:40:00,278,274.0,,32,,3.2,2.5,,5.7,,0,,0,,,241,,,,,,,33,,,,0.0,,,61.0,0,,,,,,,-5.7,,0.2,-0.8,0.4,
2018-01-01 15:40:00,280,253.0,,12,,1.3,0.3,,3.1,,0,,0,,,242,,,,,,,14,,,,0.0,,,61.0,0,,,,,,,-6.3,,-0.7,-4.1,-2.2,
2018-01-01 16:40:00,285,279.0,,0,,1.3,1.1,,4.1,,0,,0,,,272,,,,,,,1,,,,0.0,,,61.0,0,,,,,,,-5.6,,-0.5,-2.4,0.2,
2018-01-01 17:40:00,90,131.0,,0,,1.4,0.4,,4.9,,0,,0,,,284,,,,,,,1,,,,0.0,,,61.0,0,,,,,,,-5.3,,-0.2,-1.6,-0.4,
2018-01-01 18:40:00,301,49.0,,0,,1.3,0.1,,3.3,,0,,0,,,280,,,,,,,1,,,,0.0,,,61.0,0,,,,,,,-4.9,,-0.7,-2.0,-1.6,
2018-01-01 19:40:00,297,71.0,,0,,0.9,0.4,,3.2,,0,,0,,,272,,,,,,,1,,,,0.0,,,61.0,0,,,,,,,-4.2,,-0.9,-3.0,-0.6,
2018-01-01 20:40:00,297,281.0,,0,,0.6,0.6,,1.8,,0,,0,,,282,,,,,,,1,,,,0.0,,,61.0,0,,,,,,,-4.1,,-1.6,-3.1,-1.2,
2018-01-01 21:40:00,287,279.0,,0,,1.2,4.6,,6.4,,0,,0,,,301,,,,,,,1,,,,0.0,,,61.0,0,,,,,,,-3.0,,-0.6,0.3,1.6,
2018-01-01 22:40:00,284,286.0,,1,,2.2,1.6,,5.3,,0,,0,,,316,,,,,,,2,,,,0.4,,,61.0,0,,,,,,,-0.2,,1.4,0.3,1.5,
2018-01-01 23:40:00,288,290.0,,0,,2.3,1.6,,4.3,,0,,0,,,297,,,,,,,1,,,,0.0,,,61.0,0,,,,,,,-0.6,,1.5,0.3,1.5,
2018-01-02 00:40:00,288,275.0,,0,0.1,2.5,3.7,,5.8,,0,,0,,,279,,,,,,,1,,,,0.0,,,61.0,0,,,,,,,-1.9,-0.9,1.2,-0.6,0.5,2.8
2018-01-02 01:40:00,283,279.0,,0,,3.9,4.8,,6.9,,0,,0,,,253,,,,,,,1,,,,0.0,,,61.0,0,,,,,,,-4.1,,0.8,-1.1,1.0,
2018-01-02 02:40:00,280,340.0,,0,,4.3,1.3,,7.9,,0,,0,,,279,,,,,,,1,,,,0.0,,,61.0,0,,,,,,,-5.1,,1.2,0.7,2.2,
2018-01-02 03:40:00,294,295.0,,1,,1.9,1.2,,5.3,,0,,0,,,305,,,,,,,2,,,,0.0,,,61.0,0,,,,,,,-3.3,,1.2,0.0,0.8,
2018-01-02 04:40:00,297,109.0,,1,,1.5,1.7,,3.8,,0,,0,,,301,,,,,,,1,,,,0.0,,,61.0,0,,,,,,,-2.7,,0.5,-0.3,0.3,
2018-01-02 05:40:00,306,287.0,,0,,1.5,0.5,,4.0,,0,,0,,,301,,,,,,,1,,,,0.0,,,61.0,0,,,,,,,-2.1,,0.4,-0.6,0.0,
2018-01-02 06:40:00,45,344.0,,0,,0.5,0.3,,1.4,,0,,0,,,301,,,,,,,1,,,,0.2,,,61.0,0,,,,,,,-1.4,,-0.3,-1.1,-0.2,
2018-01-02 07:40:00,297,335.0,,10,,0.4,0.4,,1.3,,0,,0,,,297,,,,,,,11,,,,0.0,,,61.0,0,,,,,,,-1.3,,-0.5,-0.9,0.0,
2018-01-02 08:40:00,90,299.0,,33,,0.5,0.2,,1.3,,0,,0,,,298,,,,,,,34,,,,0.0,,,61.0,0,,,,,,,-1.6,,0.0,-0.3,0.3,
2018-01-02 09:40:00,279,255.0,,67,,2.6,1.1,,6.1,,0,,0,,,301,,,,,,,69,,,,0.1,,,61.0,0,,,,,,,-2.0,,0.7,1.4,0.2,
2018-01-02 10:40:00,275,267.0,,104,,3.8,4.6,,7.1,,0,,0,,,299,,,,,,,105,,,,0.0,,,61.0,0,,,,,,,-3.2,,1.1,1.3,0.9,
2018-01-02 11:40:00,280,272.0,,155,,4.2,3.1,,6.6,,0,,0,,,289,,,,,,,161,,,,0.0,,,61.0,0,,,,,,,-4.0,,1.5,2.6,1.1,
2018-01-02 12:40:00,277,278.0,,158,,5.2,5.1,,8.0,,0,,0,,,255,,,,,,,168,,,,0.0,,,61.0,0,,,,,,,-5.1,,1.7,2.0,2.0,
2018-01-02 13:40:00,279,283.0,,96,,5.0,4.1,,8.1,,0,,0,,,244,,,,,,,100,,,,0.0,,,60.0,0,,,,,,,-7.2,,1.8,1.4,1.7,
2018-01-02 14:40:00,274,269.0,,84,,5.8,6.4,,8.5,,0,,0,,,270,,,,,,,86,,,,0.0,,,60.0,0,,,,,,,-6.7,,2.2,1.3,2.0,
2018-01-02 15:40:00,271,268.0,,20,,5.7,5.9,,7.8,,0,,0,,,282,,,,,,,21,,,,0.0,,,60.0,0,,,,,,,-6.8,,1.8,0.5,1.5,
