,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,339,349.0,,0,0.1,1.1,1.6,,2.2,,0,,0,,,,,,,1017.2,,,1,,,,0.0,,,,0,,,,,,,1.5,0.1,1.2,1.1,1.5,9.3
2018-01-01 01:40:00,328,220.0,,0,,1.4,1.2,,2.7,,0,,0,,,,,,,1016.3,,,1,,,,0.0,,,,0,,,,,,,1.7,,1.4,1.2,1.7,
2018-01-01 02:40:00,281,328.0,,0,,0.9,1.4,,2.3,,0,,0,,,,,,,1015.7,,,1,,,,0.0,,,,0,,,,,,,1.3,,1.4,0.9,1.3,
2018-01-01 03:40:00,315,5.0,,0,,1.2,1.1,,3.1,,0,,0,,,,,,,1015.0,,,1,,,,0.0,,,,0,,,,,,,1.3,,1.3,0.8,1.3,
2018-01-01 04:40:00,347,337.0,,0,,1.5,1.6,,3.6,,0,,0,,,,,,,1015.1,,,1,,,,0.4,,,,0,,,,,,,1.9,,1.5,1.3,1.9,
2018-01-01 05:40:00,27,338.0,,0,,2.1,3.1,,4.4,,0,,0,,,,,,,1015.2,,,1,,,,0.1,,,,0,,,,,,,1.1,,1.5,0.9,1.1,
2018-01-01 06:40:00,324,334.0,,0,,2.4,0.9,,5.1,,0,,0,,,,,,,1015.1,,,1,,,,0.0,,,,0,,,,,,,1.6,,1.9,1.2,1.6,
2018-01-01 07:40:00,339,336.0,,11,,1.6,2.0,,2.9,,0,,0,,,,,,,1014.2,,,13,,,,0.0,,,,0,,,,,,,2.0,,1.7,1.6,2.0,
2018-01-01 08:40:00,330,342.0,,66,,1.8,2.1,,3.6,,0,,0,,,,,,,1014.0,,,69,,,,0.0,,,,0,,,,,,,2.6,,2.4,2.4,2.7,
2018-01-01 09:40:00,329,327.0,,73,,1.5,2.2,,3.8,,0,,0,,,,,,,1012.9,,,196,,,,0.0,,,,37,,,,,,,2.7,,3.4,6.6,4.4,
2018-01-01 10:40:00,338,152.0,,47,,2.9,2.2,,9.0,,0,,0,,,,,,,1012.0,,,288,,,,0.0,,,,60,,,,,,,1.9,,6.5,8.7,5.6,
2018-01-01 11:40:00,155,155.0,,49,,2.1,3.0,,5.8,,0,,0,,,,,,,1011.4,,,383,,,,0.0,,,,60,,,,,,,1.7,,5.6,6.4,5.3,
2018-01-01 12:40:00,156,155.0,,45,,3.0,3.5,,6.2,,0,,0,,,,,,,1011.6,,,315,,,,0.0,,,,54,,,,,,,2.1,,4.4,4.4,3.4,
2018-01-01 13:40:00,160,135.0,,19,,3.0,1.3,,7.5,,0,,0,,,,,,,1011.7,,,21,,,,0.0,,,,0,,,,,,,2.3,,2.5,2.1,2.3,
2018-01-01 14:40:00,176,339.0,,9,,2.0,1.7,,4.7,,0,,0,,,,,,,1012.4,,,11,,,,0.0,,,,0,,,,,,,2.0,,2.0,1.8,2.0,
2018-01-01 15:40:00,309,205.0,,6,,1.7,1.4,,3.0,,0,,0,,,,,,,1011.0,,,8,,,,0.0,,,,0,,,,,,,1.6,,1.7,1.4,1.6,
2018-01-01 16:40:00,210,233.0,,0,,1.6,1.1,,4.5,,0,,0,,,,,,,1010.6,,,1,,,,0.0,,,,0,,,,,,,1.5,,1.6,1.2,1.5,
2018-01-01 17:40:00,215,207.0,,0,,1.7,1.6,,5.3,,0,,0,,,,,,,1010.2,,,1,,,,0.0,,,,0,,,,,,,1.2,,1.3,1.1,1.3,
2018-01-01 18:40:00,360,136.0,,0,,1.3,0.6,,4.1,,0,,0,,,,,,,1010.7,,,1,,,,0.0,,,,0,,,,,,,0.5,,1.0,0.4,0.9,
2018-01-01 19:40:00,330,335.0,,0,,1.8,0.9,,2.8,,0,,0,,,,,,,1010.6,,,1,,,,0.0,,,,0,,,,,,,-0.4,,0.6,-0.3,0.1,
2018-01-01 20:40:00,339,41.0,,0,,2.0,0.7,,3.8,,0,,0,,,,,,,1009.7,,,1,,,,0.0,,,,0,,,,,,,-1.4,,0.6,-0.3,0.3,
2018-01-01 21:40:00,329,339.0,,0,,2.1,2.6,,4.5,,0,,0,,,,,,,1010.0,,,1,,,,0.0,,,,0,,,,,,,-1.3,,0.6,0.3,0.8,
2018-01-01 22:40:00,325,339.0,,0,,2.1,2.7,,4.3,,0,,0,,,,,,,1010.4,,,1,,,,0.0,,,,0,,,,,,,-1.9,,1.7,1.4,2.2,
2018-01-01 23:40:00,336,319.0,,0,,2.4,0.8,,4.4,,0,,0,,,,,,,1010.7,,,1,,,,0.0,,,,0,,,,,,,-2.4,,2.8,1.9,3.2,
2018-01-02 00:40:00,321,322.0,,0,0.4,1.6,1.7,,4.8,,0,,0,,,,,,,1011.3,,,1,,,,0.0,,,,0,,,,,,,-1.1,1.3,2.0,1.0,2.1,7.7
2018-01-02 01:40:00,331,340.0,,0,,1.4,0.9,,5.9,,0,,0,,,,,,,1011.1,,,1,,,,0.0,,,,0,,,,,,,-2.8,,3.0,1.6,3.3,
2018-01-02 02:40:00,328,338.0,,0,,3.6,2.5,,8.1,,0,,0,,,,,,,1011.3,,,1,,,,0.0,,,,0,,,,,,,-2.9,,5.1,2.9,4.5,
2018-01-02 03:40:00,322,296.0,,0,,4.8,5.5,,11.5,,0,,0,,,,,,,1011.7,,,1,,,,0.0,,,,0,,,,,,,-5.8,,6.1,6.0,6.8,
2018-01-02 04:40:00,312,344.0,,0,,4.5,2.8,,10.1,,0,,0,,,,,,,1013.2,,,1,,,,0.0,,,,0,,,,,,,-4.8,,6.0,4.7,5.7,
2018-01-02 05:40:00,325,298.0,,0,,2.4,3.0,,7.1,,0,,0,,,,,,,1013.6,,,1,,,,0.0,,,,0,,,,,,,-3.9,,4.9,3.8,5.1,
2018-01-02 06:40:00,320,337.0,,0,,2.7,2.0,,7.1,,0,,0,,,,,,,1015.4,,,1,,,,0.0,,,,0,,,,,,,-2.7,,5.0,3.3,4.3,
2018-01-02 07:40:00,193,153.0,,11,,1.5,1.4,,3.7,,0,,0,,,,,,,1017.0,,,13,,,,0.0,,,,0,,,,,,,-1.8,,3.4,2.4,3.0,
2018-01-02 08:40:00,323,330.0,,80,,1.4,2.3,,3.2,,0,,0,,,,,,,1017.7,,,112,,,,0.0,,,,15,,,,,,,-1.8,,3.6,4.5,4.0,
2018-01-02 09:40:00,345,2.0,,96,,2.1,1.8,,4.3,,0,,0,,,,,,,1018.1,,,267,,,,0.0,,,,49,,,,,,,-2.8,,5.1,9.6,6.0,
2018-01-02 10:40:00,346,336.0,,124,,3.3,3.5,,9.2,,0,,0,,,,,,,1017.7,,,328,,,,0.0,,,,45,,,,,,,-7.2,,7.0,9.8,7.3,
2018-01-02 11:40:00,338,339.0,,85,,5.0,4.4,,10.6,,0,,0,,,,,,,1017.3,,,399,,,,0.0,,,,60,,,,,,,-7.5,,7.5,8.3,7.5,
2018-01-02 12:40:00,343,348.0,,95,,3.9,4.9,,9.8,,0,,0,,,,,,,1017.3,,,309,,,,0.0,,,,55,,,,,,,-8.6,,7.6,7.9,7.4,
2018-01-02 13:40:00,341,331.0,,60,,4.5,3.4,,9.0,,0,,0,,,,,,,1017.2,,,65,,,,0.0,,,,0,,,,,,,-8.4,,7.0,5.7,6.5,
2018-01-02 14:40:00,306,308.0,,56,,2.8,2.4,,6.3,,0,,0,,,,,,,1018.1,,,58,,,,0.0,,,,0,,,,,,,-6.1,,5.0,3.7,4.8,
2018-01-02 15:40:00,300,337.0,,11,,2.0,0.9,,5.3,,0,,0,,,,,,,1018.6,,,13,,,,0.0,,,,0,,,,,,,-6.1,,4.3,2.9,4.3,
2018-01-02 16:40:00,320,13.0,,0,,1.1,0.8,,2.9,,0,,0,,,,,,,1019.2,,,1,,,,0.0,,,,0,,,,,,,-3.7,,2.8,0.5,1.9,
2018-01-02 17:40:00,326,311.0,,0,,2.7,3.3,,5.0,,0,,0,,,,,,,1018.7,,,1,,,,0.0,,,,0,,,,,,,-5.7,,2.9,2.7,3.9,
2018-01-02 18:40:00,309,168.0,,0,,2.5,2.4,,4.6,,0,,0,,,,,,,1018.9,,,1,,,,0.0,,,,0,,,,,,,-6.7,,3.7,3.4,4.4,
2018-01-02 19:40:00,331,313.0,,0,,1.5,2.5,,4.4,,0,,0,,,,,,,1019.5,,,1,,,,0.0,,,,0,,,,,,,-3.2,,3.3,2.3,3.5,
2018-01-02 20:40:00,298,284.0,,0,,1.6,2.0,,4.6,,0,,0,,,,,,,1019.0,,,1,,,,0.0,,,,0,,,,,,,-2.6,,3.4,2.5,3.5,
2018-01-02 21:40:00,319,318.0,,0,,1.1,1.4,,3.0,,0,,0,,,,,,,1019.5,,,1,,,,0.0,,,,0,,,,,,,-2.3,,2.8,2.3,3.3,
2018-01-02 22:40:00,289,350.0,,0,,2.1,1.3,,6.3,,0,,0,,,,,,,1021.0,,,1,,,,0.1,,,,0,,,,,,,0.2,,3.1,1.2,2.2,
2018-01-02 23:40:00,315,338.0,,0,,1.1,1.4,,2.4,,0,,0,,,,,,,1020.9,,,1,,,,0.9,,,,0,,,,,,,0.7,,1.5,0.7,1.4,
