,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,27,134.0,,0,0.0,0.8,0.9,,2.5,,0,,0,,,,,,,1017.0,,,1,,,,0.0,,,,0,,,,,,,1.1,-0.2,1.4,1.4,1.2,3.4
2018-01-01 01:40:00,191,278.0,,0,,1.3,0.5,,2.8,,0,,0,,,,,,,1017.1,,,1,,,,0.1,,,,0,,,,,,,1.2,,1.3,1.4,1.3,
2018-01-01 02:40:00,15,19.0,,1,,3.1,4.6,,6.3,,0,,0,,,,,,,1015.7,,,2,,,,0.3,,,,0,,,,,,,1.9,,1.5,1.4,2.0,
2018-01-01 03:40:00,17,182.0,,0,,1.9,1.0,,5.7,,0,,0,,,,,,,1014.9,,,0,,,,0.0,,,,0,,,,,,,1.6,,2.0,1.4,1.7,
2018-01-01 04:40:00,180,222.0,,0,,1.3,0.4,,3.8,,0,,0,,,,,,,1015.3,,,1,,,,0.0,,,,0,,,,,,,1.5,,1.8,1.4,1.6,
2018-01-01 05:40:00,14,11.0,,0,,1.8,3.2,,4.4,,0,,0,,,,,,,1015.3,,,2,,,,1.6,,,,0,,,,,,,1.8,,1.6,1.4,1.9,
2018-01-01 06:40:00,15,7.0,,0,,2.6,3.1,,5.4,,0,,0,,,,,,,1015.0,,,1,,,,0.2,,,,0,,,,,,,2.0,,2.1,1.4,2.1,
2018-01-01 07:40:00,15,27.0,,7,,1.7,0.6,,5.1,,0,,0,,,,,,,1014.1,,,8,,,,0.0,,,,0,,,,,,,1.9,,2.2,1.4,2.0,
2018-01-01 08:40:00,360,55.0,,40,,1.3,0.3,,2.9,,0,,0,,,,,,,1014.2,,,42,,,,0.0,,,,0,,,,,,,1.9,,2.0,1.4,2.0,
2018-01-01 09:40:00,360,341.0,,61,,0.8,0.6,,2.3,,0,,0,,,,,,,1013.3,,,63,,,,0.0,,,,0,,,,,,,2.6,,2.4,1.4,2.7,
2018-01-01 10:40:00,180,33.0,,31,,0.9,0.8,,2.7,,0,,0,,,,,,,1013.5,,,34,,,,0.0,,,,0,,,,,,,1.1,,1.9,1.4,1.2,
2018-01-01 11:40:00,191,256.0,,30,,1.1,0.8,,2.4,,0,,0,,,,,,,1012.7,,,32,,,,0.0,,,,0,,,,,,,1.3,,1.1,1.4,1.4,
2018-01-01 12:40:00,169,173.0,,83,,2.2,1.4,,5.7,,0,,0,,,,,,,1012.7,,,86,,,,0.0,,,,0,,,,,,,3.3,,2.5,1.4,3.4,
2018-01-01 13:40:00,90,78.0,,63,,0.3,0.3,,1.0,,0,,0,,,,,,,1012.2,,,65,,,,0.0,,,,0,,,,,,,1.9,,2.6,1.4,2.0,
2018-01-01 14:40:00,27,23.0,,30,,0.2,0.8,,1.5,,0,,0,,,,,,,1011.9,,,32,,,,0.0,,,,0,,,,,,,2.1,,2.1,1.4,2.2,
2018-01-01 15:40:00,191,161.0,,8,,0.9,1.0,,2.3,,0,,0,,,,,,,1011.2,,,10,,,,0.0,,,,0,,,,,,,2.2,,2.4,1.4,2.3,
2018-01-01 16:40:00,360,251.0,,0,,0.6,0.2,,1.9,,0,,0,,,,,,,1010.8,,,1,,,,0.0,,,,0,,,,,,,1.6,,1.9,1.4,1.7,
2018-01-01 17:40:00,14,21.0,,0,,0.8,1.3,,2.3,,0,,0,,,,,,,1010.2,,,1,,,,0.0,,,,0,,,,,,,1.4,,1.5,1.4,1.5,
2018-01-01 18:40:00,31,184.0,,0,,1.7,1.5,,3.6,,0,,0,,,,,,,1010.4,,,1,,,,0.0,,,,0,,,,,,,1.8,,2.3,1.4,2.0,
2018-01-01 19:40:00,0,120.0,,0,,0.8,0.2,,2.7,,0,,0,,,,,,,1010.4,,,1,,,,0.0,,,,0,,,,,,,0.9,,1.5,1.4,1.0,
2018-01-01 20:40:00,8,349.0,,0,,1.0,0.9,,2.6,,0,,0,,,,,,,1009.8,,,1,,,,0.0,,,,0,,,,,,,0.9,,1.0,1.4,1.0,
2018-01-01 21:40:00,45,42.0,,0,,0.8,1.0,,2.7,,0,,0,,,,,,,1009.9,,,1,,,,0.0,,,,0,,,,,,,0.2,,0.5,1.4,0.3,
2018-01-01 22:40:00,22,0.0,,0,,0.8,0.0,,3.0,,0,,0,,,,,,,1010.5,,,1,,,,0.0,,,,0,,,,,,,-0.1,,0.4,1.4,0.0,
2018-01-01 23:40:00,360,289.0,,1,,0.9,0.6,,2.7,,0,,0,,,,,,,1011.6,,,2,,,,0.0,,,,0,,,,,,,-0.2,,-0.1,1.4,-0.1,
2018-01-02 00:40:00,18,2.0,,1,0.1,1.6,1.0,,4.9,,0,,0,,,,,,,1011.6,,,1,,,,0.0,,,,0,,,,,,,0.2,-1.7,0.3,1.4,0.3,5.1
2018-01-02 01:40:00,16,335.0,,0,,1.7,0.3,,4.9,,0,,0,,,,,,,1011.9,,,1,,,,0.0,,,,0,,,,,,,-0.9,,0.4,1.4,0.1,
2018-01-02 02:40:00,23,44.0,,1,,1.5,1.1,,4.8,,0,,0,,,,,,,1012.2,,,1,,,,0.0,,,,0,,,,,,,-0.5,,-0.3,1.4,0.4,
2018-01-02 03:40:00,360,34.0,,1,,1.4,0.5,,4.2,,0,,0,,,,,,,1012.9,,,1,,,,0.0,,,,0,,,,,,,-0.9,,-0.1,1.4,-0.1,
2018-01-02 04:40:00,63,168.0,,0,,1.1,0.2,,4.2,,0,,0,,,,,,,1014.3,,,1,,,,0.0,,,,0,,,,,,,-2.0,,-0.4,1.4,-1.0,
2018-01-02 05:40:00,14,339.0,,0,,1.4,0.6,,3.1,,0,,0,,,,,,,1014.9,,,1,,,,0.0,,,,0,,,,,,,-1.0,,-0.6,1.4,-0.1,
2018-01-02 06:40:00,27,30.0,,0,,0.8,0.8,,1.8,,0,,0,,,,,,,1016.1,,,0,,,,0.0,,,,0,,,,,,,-0.5,,0.4,1.4,0.8,
2018-01-02 07:40:00,18,357.0,,27,,0.9,0.9,,2.9,,0,,0,,,,,,,1017.5,,,29,,,,0.0,,,,0,,,,,,,-0.3,,0.8,1.4,0.9,
2018-01-02 08:40:00,16,353.0,,38,,1.0,1.3,,2.4,,0,,0,,,,,,,1018.2,,,41,,,,0.0,,,,0,,,,,,,-0.9,,0.9,1.4,0.6,
2018-01-02 09:40:00,360,219.0,,41,,1.0,0.9,,3.0,,0,,0,,,,,,,1019.4,,,46,,,,0.0,,,,0,,,,,,,-1.3,,0.2,1.4,-0.3,
2018-01-02 10:40:00,360,20.0,,32,,1.3,0.7,,2.9,,0,,0,,,,,,,1019.2,,,34,,,,0.0,,,,0,,,,,,,-1.2,,0.1,1.4,-0.3,
2018-01-02 11:40:00,27,80.0,,40,,1.1,0.4,,2.7,,0,,0,,,,,,,1018.4,,,47,,,,0.0,,,,0,,,,,,,-0.6,,0.8,1.4,1.1,
2018-01-02 12:40:00,153,145.0,,40,,0.9,0.5,,2.3,,0,,0,,,,,,,1017.7,,,161,,,,0.0,,,,34,,,,,,,-0.6,,1.9,1.4,3.0,
2018-01-02 13:40:00,180,238.0,,46,,0.8,0.4,,2.8,,0,,0,,,,,,,1016.9,,,258,,,,0.0,,,,60,,,,,,,-0.5,,3.9,1.4,4.4,
2018-01-02 14:40:00,180,67.0,,38,,1.4,0.8,,3.5,,0,,0,,,,,,,1018.0,,,80,,,,0.0,,,,21,,,,,,,-1.0,,4.0,1.4,3.3,
2018-01-02 15:40:00,18,22.0,,11,,0.5,0.5,,2.3,,0,,0,,,,,,,1019.0,,,12,,,,0.0,,,,0,,,,,,,-1.0,,1.4,1.4,1.1,
2018-01-02 16:40:00,27,12.0,,0,,1.2,0.9,,2.7,,0,,0,,,,,,,1018.9,,,1,,,,0.0,,,,0,,,,,,,-1.7,,1.2,1.4,1.2,
2018-01-02 17:40:00,8,8.0,,0,,1.2,1.8,,2.7,,0,,0,,,,,,,1019.3,,,1,,,,0.0,,,,0,,,,,,,-2.7,,0.0,1.4,-0.7,
2018-01-02 18:40:00,11,5.0,,0,,1.4,2.4,,3.8,,0,,0,,,,,,,1019.6,,,1,,,,0.0,,,,0,,,,,,,-1.9,,-0.3,1.4,0.2,
2018-01-02 19:40:00,10,357.0,,0,,1.8,2.2,,3.5,,0,,0,,,,,,,1019.7,,,1,,,,0.0,,,,0,,,,,,,-1.9,,1.1,1.4,1.0,
2018-01-02 20:40:00,32,60.0,,0,,1.2,0.4,,3.4,,0,,0,,,,,,,1019.9,,,1,,,,0.0,,,,0,,,,,,,-2.0,,1.2,1.4,0.4,
2018-01-02 21:40:00,23,312.0,,0,,1.0,0.2,,2.5,,0,,0,,,,,,,1019.9,,,0,,,,0.0,,,,0,,,,,,,-1.4,,0.8,1.4,0.7,
2018-01-02 22:40:00,9,9.0,,1,,1.9,1.5,,3.7,,0,,0,,,,,,,1019.8,,,2,,,,0.0,,,,0,,,,,,,-1.1,,1.5,1.4,1.9,
