,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,63.0,53.0,,,0.0,0.5,1.2,,1.9,,0,,0,,,328.0,,,,1016.8,,,0.0,,,,0.0,,,,0.0,,,3.9,4.5,3.5,3.6,3.0,2.2,2.9,2.3,3.0,4.6
2018-01-01 01:40:00,67.0,59.0,,,,0.9,1.0,,1.9,,0,,0,,,328.0,,,,1016.8,,,0.0,,,,0.2,,,,0.0,,,3.9,4.5,3.5,,2.8,,3.0,2.3,3.0,
2018-01-01 02:40:00,56.0,335.0,,,,0.6,0.5,,1.8,,0,,0,,,328.0,,,,1015.7,,,0.0,,,,0.1,,,,0.0,,,3.9,4.5,3.5,,2.6,,3.1,2.4,3.4,
2018-01-01 03:40:00,279.0,300.0,,,,0.7,0.3,,1.6,,0,,0,,,326.0,,,,1015.2,,,0.0,,,,0.0,,,,0.0,,,3.9,4.5,3.5,,3.0,,3.5,2.5,3.5,
2018-01-01 04:40:00,27.0,333.0,,,,0.5,0.3,,1.9,,0,,0,,,327.0,,0.0,,1015.1,,,0.0,,,,0.1,,4.0,,0.0,,,3.9,4.5,3.5,,2.6,,3.3,2.3,3.5,
2018-01-01 05:40:00,45.0,21.0,,,,0.7,0.2,,2.3,,0,,0,,,333.0,,,,1014.8,,,0.0,,,,0.5,,,,0.0,,,3.9,4.5,3.5,,2.9,,3.1,2.3,3.0,
2018-01-01 06:40:00,34.0,51.0,,,,0.6,1.1,,2.0,,0,,0,,,326.0,,,,1014.7,,,0.0,,,,0.0,,,,0.0,,,3.9,4.5,3.5,,2.7,,2.9,2.1,2.7,
2018-01-01 07:40:00,24.0,4.0,,,,1.4,0.2,,3.8,,0,,0,,,310.0,,,,1014.1,,,10.0,,,,0.0,,,,0.0,,,3.9,4.5,3.5,,2.8,,3.0,2.2,3.0,
2018-01-01 08:40:00,45.0,189.0,,,,0.6,0.3,,1.6,,0,,0,,,282.0,,,,1014.2,,,59.0,,,,0.0,,,,0.0,,,3.9,4.5,3.5,,2.7,,3.3,2.5,3.2,
2018-01-01 09:40:00,304.0,292.0,,,,0.5,0.1,,1.5,,0,,0,,,316.0,,,,1013.5,,,99.0,,,,0.0,,,,4.0,,,3.9,4.5,3.5,,3.6,,3.7,4.5,4.4,
2018-01-01 10:40:00,216.0,208.0,,,,1.1,0.9,,2.7,,0,,0,,,314.0,,,,1013.2,,,222.0,,,,0.0,,,,12.0,,,3.9,4.5,3.6,,3.2,,4.3,3.8,4.3,
2018-01-01 11:40:00,229.0,254.0,,,,1.2,1.3,,3.1,,0,,0,,,327.0,,,,1013.0,,,101.0,,,,0.0,,,,0.0,,,4.0,4.5,3.8,,3.1,,4.1,3.7,4.1,
2018-01-01 12:40:00,239.0,224.0,,,,1.9,1.5,,4.2,,0,,0,,,328.0,,,,1012.7,,,46.0,,,,0.0,,,,0.0,,,4.0,4.5,3.9,,3.2,,4.0,3.3,4.0,
2018-01-01 13:40:00,260.0,283.0,,,,1.9,1.3,,4.1,,0,,0,,,327.0,,,,1012.0,,,43.0,,,,0.0,,,,0.0,,,4.0,4.5,3.9,,2.7,,4.1,3.2,3.9,
2018-01-01 14:40:00,281.0,256.0,,,,1.1,1.3,,3.4,,0,,0,,,326.0,,,,1011.8,,,23.0,,,,0.0,,,,0.0,,,4.1,4.5,3.9,,2.2,,3.9,3.1,3.8,
2018-01-01 15:40:00,39.0,30.0,,,,0.8,0.7,,2.5,,0,,0,,,325.0,,,,1011.0,,,7.0,,,,0.0,,,,0.0,,,4.1,4.5,3.9,,2.3,,3.6,2.7,3.6,
2018-01-01 16:40:00,9.0,99.0,,,,1.0,0.6,,3.8,,0,,0,,,325.0,,,,1010.6,,,0.0,,,,0.0,,,,0.0,,,4.1,4.5,3.8,,2.2,,3.5,2.5,3.4,
