,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,99,92.0,,,0.0,0.8,1.1,,2.0,,0,,0,,,326,317,,,1016.9,,,0,,-4,,0.0,,,,0,,,2.1,2.6,1.8,1.9,1.6,0.3,1.8,0.4,2.0,5.4
2018-01-01 01:40:00,90,104.0,,,,1.0,1.3,,2.8,,0,,0,,,327,317,,,1016.8,,,0,,-4,,0.3,,,,0,,,2.1,2.6,1.8,,1.4,,2.0,0.5,1.7,
2018-01-01 02:40:00,56,265.0,,,,0.9,1.5,,2.8,,0,,0,,,327,317,,,1015.7,,,0,,-4,,0.3,,,,0,,,2.1,2.6,1.8,,1.6,,2.0,0.6,2.0,
2018-01-01 03:40:00,135,22.0,,,,0.6,0.6,,2.0,,0,,0,,,325,317,,,1015.4,,,0,,-4,,0.0,,,,0,,,2.1,2.6,1.8,,1.2,,1.6,0.4,1.4,
2018-01-01 04:40:00,153,118.0,,,,1.1,1.3,,2.5,,0,,0,,,326,317,,,1015.3,,,0,,-4,,0.0,,,,0,,,2.1,2.6,1.8,,1.6,,1.7,0.6,1.8,
2018-01-01 05:40:00,72,82.0,,,,1.3,0.9,,2.5,,0,,0,,,329,316,,,1014.8,,,0,,-4,,0.9,,,,0,,,2.1,2.6,1.8,,1.4,,1.6,0.5,1.6,
2018-01-01 06:40:00,72,304.0,,,,1.0,1.7,,2.9,,0,,0,,,328,317,,,1014.9,,,0,,-4,,0.5,,,,0,,,2.1,2.6,1.8,,1.1,,2.0,0.6,1.7,
2018-01-01 07:40:00,84,102.0,,,,1.1,1.2,,2.8,,0,,0,,,298,317,,,1013.7,,,7,,5,,0.0,,,,0,,,2.1,2.6,1.8,,2.1,,2.5,0.7,3.3,
2018-01-01 08:40:00,225,282.0,,,,0.6,0.4,,1.6,,0,,0,,,287,317,,,1014.2,,,52,,36,,0.0,,,,0,,,2.1,2.6,1.8,,1.2,,2.2,1.2,1.4,
2018-01-01 09:40:00,214,134.0,,,,0.9,0.7,,1.9,,0,,0,,,276,317,,,1013.6,,,113,,79,,0.0,,,,0,,,2.1,2.6,1.8,,2.3,,2.6,2.0,3.0,
2018-01-01 10:40:00,153,195.0,,,,0.5,0.9,,1.8,,0,,0,,,263,318,,,1013.3,,,293,,198,,0.0,,,,44,,,2.1,2.6,1.8,,2.4,,3.2,3.5,3.4,
2018-01-01 11:40:00,202,252.0,,,,0.7,1.0,,2.3,,0,,0,,,303,320,,,1012.6,,,219,,150,,0.0,,,,7,,,2.1,2.6,1.9,,2.6,,4.1,3.6,4.7,
