,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,262,313.0,,,0.0,0.9,0.3,,3.2,,0,,0,,,328,,,,1016.6,,,0,,,,0.1,,,,0,,,,,,,3.3,2.3,4.0,3.5,4.0,5.1
2018-01-01 01:40:00,360,7.0,,,,0.7,1.4,,2.4,,0,,0,,,335,,,,1016.8,,,0,,,,0.7,,,,0,,,,,,,3.5,,4.1,3.6,4.0,
2018-01-01 02:40:00,63,144.0,,,,0.7,0.8,,2.3,,0,,0,,,336,,,,1015.6,,,0,,,,0.5,,,,0,,,,,,,3.3,,3.9,3.5,3.8,
2018-01-01 03:40:00,194,206.0,,,,0.9,0.8,,2.4,,0,,0,,,330,,,,1015.0,,,0,,,,0.1,,,,0,,,,,,,3.2,,4.2,3.5,4.1,
2018-01-01 04:40:00,215,204.0,,,,1.4,2.0,,4.4,,0,,0,,,334,,0.0,,1015.2,,,0,,,,0.6,,0.0,,0,,,,,,,3.4,,4.2,3.7,4.3,
2018-01-01 05:40:00,315,20.0,,,,0.8,0.3,,2.7,,0,,0,,,329,,,,1014.5,,,0,,,,0.2,,,,0,,,,,,,3.3,,3.9,3.0,3.7,
2018-01-01 06:40:00,243,259.0,,,,1.0,1.4,,3.5,,0,,0,,,318,,,,1014.0,,,0,,,,0.0,,,,0,,,,,,,3.1,,4.0,3.2,3.9,
2018-01-01 07:40:00,207,193.0,,,,1.8,4.8,,7.8,,0,,0,,,320,,,,1014.0,,,5,,,,0.0,,,,0,,,,,,,3.0,,4.1,3.6,4.3,
2018-01-01 08:40:00,202,193.0,,,,2.3,1.3,,6.5,,0,,0,,,328,,,,1013.9,,,15,,,,0.0,,,,0,,,,,,,2.9,,4.3,3.7,4.0,
2018-01-01 09:40:00,211,197.0,,,,0.8,0.8,,3.3,,0,,0,,,329,,,,1013.6,,,56,,,,0.0,,,,0,,,,,,,3.0,,4.2,4.3,4.3,
2018-01-01 10:40:00,194,202.0,,,,0.5,0.1,,2.5,,0,,0,,,329,,,,1013.6,,,49,,,,0.0,,,,0,,,,,,,3.0,,4.2,4.8,4.2,
2018-01-01 11:40:00,189,195.0,,,,1.4,1.9,,3.7,,0,,0,,,330,,,,1013.0,,,57,,,,0.0,,,,0,,,,,,,3.6,,4.7,4.6,4.8,
2018-01-01 12:40:00,205,213.0,,,,2.0,0.9,,5.9,,0,,0,,,329,,,,1012.5,,,49,,,,0.0,,,,0,,,,,,,3.1,,4.9,4.8,5.0,
2018-01-01 13:40:00,247,316.0,,,,1.0,0.8,,3.3,,0,,0,,,329,,,,1011.8,,,45,,,,0.0,,,,0,,,,,,,2.5,,4.9,4.6,4.7,
2018-01-01 14:40:00,11,22.0,,,,1.1,1.4,,2.8,,0,,0,,,329,,,,1011.5,,,28,,,,0.0,,,,0,,,,,,,2.4,,4.6,4.2,4.4,
2018-01-01 15:40:00,32,35.0,,,,1.5,1.2,,3.5,,0,,0,,,326,,,,1010.7,,,10,,,,0.0,,,,0,,,,,,,2.4,,4.3,3.6,4.2,
2018-01-01 16:40:00,346,32.0,,,,0.8,0.4,,2.9,,0,,0,,,325,,,,1010.6,,,0,,,,0.0,,,,0,,,,,,,2.3,,4.1,3.5,4.0,
2018-01-01 17:40:00,16,356.0,,,,1.8,1.8,,4.0,,0,,0,,,322,,,,1009.6,,,0,,,,0.0,,,,0,,,,,,,1.8,,3.7,3.0,3.4,
2018-01-01 18:40:00,3,11.0,,,,1.8,1.8,,3.0,,0,,0,,,296,,,,1009.7,,,0,,,,0.0,,,,0,,,,,,,1.6,,3.3,1.8,3.2,
2018-01-01 19:40:00,9,9.0,,,,1.4,1.6,,2.5,,0,,0,,,272,,,,1009.6,,,0,,,,0.0,,,,0,,,,,,,1.3,,2.8,0.9,2.8,
2018-01-01 20:40:00,7,352.0,,,,1.8,1.1,,3.4,,0,,0,,,288,,,,1009.0,,,0,,,,0.0,,,,0,,,,,,,1.2,,2.7,1.5,2.5,
2018-01-01 21:40:00,4,10.0,,,,1.5,1.8,,3.3,,0,,0,,,280,,,,1009.3,,,0,,,,0.0,,,,0,,,,,,,0.9,,2.6,1.1,2.5,
2018-01-01 22:40:00,351,338.0,,,,1.3,0.8,,2.3,,0,,0,,,275,,,,1009.8,,,0,,,,0.0,,,,0,,,,,,,0.9,,2.6,0.5,2.4,
2018-01-01 23:40:00,351,327.0,,,,1.4,0.6,,3.3,,0,,0,,,283,,,,1010.5,,,0,,,,0.0,,,,0,,,,,,,1.1,,2.6,1.1,2.7,
2018-01-02 00:40:00,346,348.0,,,0.4,1.8,2.4,,3.8,,0,,0,,,278,,,,1010.4,,,0,,,,0.0,,,,0,,,,,,,0.8,1.1,2.7,0.5,2.5,11.9
2018-01-02 01:40:00,337,349.0,,,,1.4,1.7,,3.3,,0,,0,,,238,,,,1010.9,,,0,,,,0.0,,,,0,,,,,,,0.5,,2.2,-0.4,2.1,
2018-01-02 02:40:00,337,352.0,,,,1.7,2.3,,4.3,,0,,0,,,237,,,,1011.3,,,0,,,,0.0,,,,0,,,,,,,0.3,,1.9,-0.3,1.6,
2018-01-02 03:40:00,343,330.0,,,,1.7,1.1,,3.9,,0,,0,,,236,,,,1012.1,,,0,,,,0.0,,,,0,,,,,,,0.1,,1.8,-1.0,1.8,
2018-01-02 04:40:00,328,323.0,,,,1.5,0.5,,3.3,,0,,0,,,235,,0.0,,1012.9,,,0,,,,0.0,,0.0,,0,,,,,,,-0.2,,1.5,-0.9,1.6,
2018-01-02 05:40:00,257,274.0,,,,1.1,1.3,,2.9,,0,,0,,,239,,,,1013.9,,,0,,,,0.0,,,,0,,,,,,,-0.6,,2.5,-0.6,2.3,
2018-01-02 06:40:00,319,313.0,,,,1.1,0.9,,2.6,,0,,0,,,247,,,,1015.1,,,0,,,,0.0,,,,0,,,,,,,-0.1,,2.4,-1.2,2.4,
