,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,211,221.0,,0,0.0,1.2,1.1,,2.6,,0,,0,,,324,,,,1017.1,,,2,,,,0.4,,,,0,,,,,,,2.1,-0.2,2.7,1.9,2.8,3.6
2018-01-01 01:40:00,210,209.0,,0,,0.8,0.9,,2.3,,0,,0,,,328,,,,1017.2,,,2,,,,1.6,,,,0,,,,,,,1.6,,2.5,1.7,2.2,
2018-01-01 02:40:00,214,0.0,,0,,0.5,0.0,,1.7,,0,,0,,,324,,,,1015.9,,,2,,,,0.8,,,,0,,,,,,,1.5,,2.2,1.5,2.1,
2018-01-01 03:40:00,219,221.0,,0,,0.7,1.5,,2.5,,0,,0,,,323,,,,1015.5,,,2,,,,0.4,,,,0,,,,,,,1.5,,2.0,1.4,2.1,
2018-01-01 04:40:00,246,121.0,,0,,1.0,0.1,,3.3,,0,,0,,,325,,,,1015.4,,,1,,,,0.5,,,,0,,,,,,,1.5,,2.2,1.4,2.1,
2018-01-01 05:40:00,45,294.0,,0,,0.4,0.2,,2.5,,0,,0,,,321,,,,1014.6,,,1,,,,0.4,,,,0,,,,,,,1.6,,2.2,1.5,2.2,
2018-01-01 06:40:00,221,196.0,,0,,1.1,1.0,,2.5,,0,,0,,,318,,,,1014.7,,,2,,,,0.0,,,,0,,,,,,,1.5,,2.2,1.5,2.3,
2018-01-01 07:40:00,153,104.0,,2,,0.9,0.6,,2.9,,0,,0,,,318,,,,1014.4,,,4,,,,0.0,,,,0,,,,,,,1.6,,2.3,1.7,2.4,
2018-01-01 08:40:00,214,196.0,,23,,0.5,0.4,,1.4,,0,,0,,,317,,,,1013.9,,,25,,,,0.0,,,,0,,,,,,,1.7,,2.3,2.5,2.3,
2018-01-01 09:40:00,238,246.0,,39,,1.3,1.1,,2.7,,0,,0,,,319,,,,1013.8,,,41,,,,0.0,,,,0,,,,,,,2.3,,2.7,2.9,2.9,
2018-01-01 10:40:00,207,241.0,,44,,0.9,0.8,,2.1,,0,,0,,,320,,,,1013.8,,,45,,,,0.0,,,,0,,,,,,,1.7,,2.9,3.2,3.0,
2018-01-01 11:40:00,243,268.0,,49,,0.9,0.9,,2.3,,0,,0,,,322,,,,1013.3,,,50,,,,0.0,,,,0,,,,,,,2.4,,3.3,3.2,3.5,
2018-01-01 12:40:00,256,332.0,,59,,0.9,0.2,,2.7,,0,,0,,,322,,,,1012.8,,,61,,,,0.0,,,,0,,,,,,,2.4,,3.5,3.7,3.5,
2018-01-01 13:40:00,239,235.0,,50,,0.7,1.5,,2.6,,0,,0,,,322,,,,1012.1,,,52,,,,0.0,,,,0,,,,,,,2.1,,3.5,3.1,3.2,
2018-01-01 14:40:00,198,262.0,,24,,0.5,0.1,,2.0,,0,,0,,,322,,,,1011.4,,,25,,,,0.0,,,,0,,,,,,,2.4,,3.4,3.0,3.3,
2018-01-01 15:40:00,108,101.0,,8,,0.6,0.5,,2.0,,0,,0,,,321,,,,1010.6,,,9,,,,0.0,,,,0,,,,,,,2.2,,3.1,2.3,3.0,
2018-01-01 16:40:00,135,252.0,,1,,0.8,1.1,,1.9,,0,,0,,,321,,,,1010.7,,,2,,,,0.0,,,,0,,,,,,,1.5,,2.8,2.0,2.7,
2018-01-01 17:40:00,243,290.0,,0,,0.3,0.1,,1.3,,0,,0,,,319,,,,1009.4,,,2,,,,0.0,,,,0,,,,,,,1.8,,2.6,1.8,2.6,
2018-01-01 18:40:00,246,265.0,,0,,1.1,0.3,,3.5,,0,,0,,,319,,,,1009.6,,,2,,,,0.0,,,,0,,,,,,,1.8,,2.8,1.8,2.7,
2018-01-01 19:40:00,14,20.0,,1,,0.6,0.3,,2.2,,0,,0,,,299,,,,1009.2,,,2,,,,0.0,,,,0,,,,,,,1.4,,2.6,0.5,2.1,
2018-01-01 20:40:00,27,25.0,,0,,0.3,0.5,,1.2,,0,,0,,,285,,,,1008.6,,,2,,,,0.0,,,,0,,,,,,,0.5,,1.7,0.0,1.4,
2018-01-01 21:40:00,231,224.0,,0,,0.8,1.5,,2.5,,0,,0,,,281,,,,1009.2,,,2,,,,0.0,,,,0,,,,,,,0.3,,1.2,-0.3,1.6,
2018-01-01 22:40:00,212,204.0,,0,,1.2,0.4,,3.0,,0,,0,,,279,,,,1010.0,,,2,,,,0.0,,,,0,,,,,,,0.3,,1.6,-0.3,1.0,
2018-01-01 23:40:00,231,231.0,,0,,0.7,0.3,,1.8,,0,,0,,,268,,,,1010.5,,,1,,,,0.0,,,,0,,,,,,,0.0,,0.4,-1.2,0.5,
2018-01-02 00:40:00,225,225.0,,0,0.2,0.9,1.7,,3.0,,0,,0,,,252,,,,1010.4,,,1,,,,0.0,,,,0,,,,,,,-0.8,-2.2,-0.3,-1.8,0.0,11.1
