,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,248,224.0,,,,2.1,1.4,,6.9,,0,,0,,,249,,,,,,,,,,,0.0,,,,,,,,,,,-5.0,-7.2,0.6,,0.1,1.9
2018-01-01 01:40:00,301,62.0,,,,1.6,0.9,,6.0,,0,,0,,,300,,,,,,,,,,,0.0,,,,,,,,,,,-4.4,,0.5,,0.8,
2018-01-01 02:40:00,180,157.0,,,,1.8,1.8,,6.0,,0,,0,,,307,,,,,,,,,,,0.1,,,,,,,,,,,-3.6,,1.6,,1.8,
2018-01-01 03:40:00,194,263.0,,,,2.1,2.1,,5.4,,0,,0,,,306,,,,,,,,,,,0.0,,,,,,,,,,,-3.8,,1.3,,0.2,
2018-01-01 04:40:00,252,260.0,,,,2.0,1.9,,6.1,,0,,0,,,302,,5.0,,,,,,,,,0.0,,69.0,,,,,,,,,-3.1,,-0.6,,-0.9,
2018-01-01 05:40:00,269,257.0,,,,6.1,4.6,,12.8,,0,,0,,,304,,,,,,,,,,,0.8,,,,,,,,,,,-3.6,,-2.1,,-2.6,
2018-01-01 06:40:00,262,258.0,,,,4.4,4.4,,9.4,,0,,0,,,302,,,,,,,,,,,0.7,,,,,,,,,,,-4.0,,-3.0,,-3.2,
2018-01-01 07:40:00,269,270.0,,,,4.2,3.7,,7.6,,0,,0,,,294,,,,,,,,,,,0.3,,,,,,,,,,,-4.2,,-3.3,,-3.5,
2018-01-01 08:40:00,263,326.0,,,,1.9,0.4,,4.8,,0,,0,,,287,,,,,,,,,,,0.0,,,,,,,,,,,-4.2,,-3.4,,-3.2,
2018-01-01 09:40:00,270,222.0,,,,1.3,1.6,,2.7,,0,,0,,,288,,,,,,,,,,,0.0,,,,,,,,,,,-4.2,,-3.2,,-2.9,
2018-01-01 10:40:00,282,275.0,,,,2.5,3.6,,5.2,,0,,0,,,280,,,,,,,,,,,0.0,,,,,,,,,,,-4.6,,-2.9,,-2.9,
2018-01-01 11:40:00,272,278.0,,,,2.9,3.1,,5.2,,0,,0,,,253,,,,,,,,,,,0.0,,,,,,,,,,,-5.9,,-3.1,,-3.4,
2018-01-01 12:40:00,106,111.0,,,,1.5,0.7,,3.2,,0,,0,,,242,,,,,,,,,,,0.0,,,,,,,,,,,-8.2,,-4.3,,-5.3,
2018-01-01 13:40:00,106,98.0,,,,2.0,2.6,,4.9,,0,,0,,,224,,,,,,,,,,,0.0,,,,,,,,,,,-9.0,,-4.7,,-4.7,
2018-01-01 14:40:00,99,120.0,,,,2.7,1.4,,6.5,,0,,0,,,205,,,,,,,,,,,0.0,,,,,,,,,,,-11.6,,-6.0,,-6.5,
2018-01-01 15:40:00,101,122.0,,,,1.7,1.1,,4.7,,0,,0,,,202,,,,,,,,,,,0.0,,,,,,,,,,,-15.0,,-6.5,,-6.2,
2018-01-01 16:40:00,85,99.0,,,,2.7,0.4,,6.2,,0,,0,,,226,,,,,,,,,,,0.0,,,,,,,,,,,-16.4,,-4.0,,-2.9,
2018-01-01 17:40:00,81,91.0,,,,2.9,2.5,,7.8,,0,,0,,,236,,,,,,,,,,,0.0,,,,,,,,,,,-14.0,,-1.7,,0.0,
2018-01-01 18:40:00,203,111.0,,,,1.9,1.0,,7.5,,0,,0,,,217,,,,,,,,,,,0.0,,,,,,,,,,,-13.4,,-2.2,,-3.8,
2018-01-01 19:40:00,200,207.0,,,,3.6,3.4,,7.8,,0,,0,,,227,,,,,,,,,,,0.0,,,,,,,,,,,-12.4,,-2.3,,-2.2,
2018-01-01 20:40:00,184,112.0,,,,2.4,2.5,,6.5,,0,,0,,,264,,,,,,,,,,,0.0,,,,,,,,,,,-11.6,,-1.8,,-2.3,
2018-01-01 21:40:00,90,95.0,,,,1.5,1.7,,4.2,,0,,0,,,263,,,,,,,,,,,0.0,,,,,,,,,,,-10.8,,-2.5,,-3.1,
2018-01-01 22:40:00,273,269.0,,,,2.8,5.6,,9.9,,0,,0,,,264,,,,,,,,,,,0.0,,,,,,,,,,,-8.6,,-3.7,,-4.3,
2018-01-01 23:40:00,259,229.0,,,,3.2,1.6,,7.5,,0,,0,,,289,,,,,,,,,,,0.9,,,,,,,,,,,-6.3,,-4.6,,-5.1,
2018-01-02 00:40:00,265,319.0,,,,1.7,0.3,,5.3,,0,,0,,,269,,,,,,,,,,,0.4,,,,,,,,,,,-7.1,-10.9,-5.1,,-5.7,-3.2
2018-01-02 01:40:00,237,226.0,,,,2.5,3.2,,7.0,,0,,0,,,270,,,,,,,,,,,0.1,,,,,,,,,,,-6.8,,-5.1,,-4.9,
