,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,302.0,89.0,,1.0,0.1,1.6,0.7,,6.7,,0,,0,,,,,,,,,,3,,,,0.0,,,,0,,,,,,,-5.9,-15.3,-5.5,,-5.2,-2.3
2018-01-01 01:40:00,149.0,188.0,,2.0,,0.9,0.6,,2.2,,0,,0,,,,,,,,,,4,,,,0.0,,,,0,,,,,,,-6.0,,-5.2,,-5.3,
2018-01-01 02:40:00,90.0,217.0,,2.0,,0.8,0.2,,2.1,,0,,0,,,,,,,,,,3,,,,0.0,,,,0,,,,,,,-5.4,,-4.7,,-4.7,
2018-01-01 03:40:00,198.0,227.0,,2.0,,0.7,0.6,,2.0,,0,,0,,,,,,,,,,4,,,,0.0,,,,0,,,,,,,-5.4,,-5.2,,-4.9,
2018-01-01 04:40:00,124.0,168.0,,2.0,,0.7,0.7,,2.4,,0,,0,,,,,4.0,,,,,4,,,,0.2,,96.0,,0,,,,,,,-5.3,,-4.7,,-4.7,
2018-01-01 05:40:00,135.0,280.0,,2.0,,0.6,0.3,,1.4,,0,,0,,,,,,,,,,4,,,,0.8,,,,0,,,,,,,-4.8,,-4.4,,-4.3,
2018-01-01 06:40:00,307.0,312.0,,2.0,,1.7,1.7,,5.7,,0,,0,,,,,,,,,,3,,,,1.0,,,,0,,,,,,,-4.4,,-3.8,,-3.7,
2018-01-01 07:40:00,301.0,299.0,,7.0,,2.0,1.8,,6.1,,0,,0,,,,,,,,,,8,,,,0.1,,,,0,,,,,,,-5.1,,-4.0,,-4.1,
2018-01-01 08:40:00,135.0,123.0,,49.0,,1.0,0.5,,4.1,,0,,0,,,,,,,,,,50,,,,0.1,,,,0,,,,,,,-5.4,,-4.2,,-4.2,
2018-01-01 09:40:00,128.0,128.0,,94.0,,1.4,1.4,,4.1,,0,,0,,,,,,,,,,96,,,,0.0,,,,0,,,,,,,-5.8,,-3.7,,-3.3,
2018-01-01 10:40:00,127.0,120.0,,172.0,,1.3,2.9,,4.4,,0,,0,,,,,,,,,,175,,,,0.0,,,,0,,,,,,,-5.7,,-3.1,,-2.9,
2018-01-01 11:40:00,129.0,179.0,,198.0,,1.5,0.9,,4.3,,0,,0,,,,,,,,,,202,,,,0.0,,,,0,,,,,,,-6.8,,-2.9,,-3.2,
2018-01-01 12:40:00,286.0,291.0,,189.0,,1.7,1.8,,3.6,,0,,0,,,,,,,,,,203,,,,0.0,,,,1,,,,,,,-7.2,,-2.8,,-2.9,
2018-01-01 13:40:00,287.0,93.0,,69.0,,1.4,0.5,,2.9,,0,,0,,,,,,,,,,205,,,,0.0,,,,38,,,,,,,-9.4,,-3.6,,-6.1,
2018-01-01 14:40:00,117.0,117.0,,21.0,,1.0,1.1,,2.5,,0,,0,,,,,,,,,,23,,,,0.0,,,,0,,,,,,,-11.3,,-8.1,,-9.0,
2018-01-01 15:40:00,131.0,150.0,,14.0,,1.0,1.2,,2.6,,0,,0,,,,,,,,,,16,,,,0.0,,,,0,,,,,,,-13.8,,-10.8,,-12.4,
2018-01-01 16:40:00,120.0,144.0,,3.0,,1.1,1.0,,3.2,,0,,0,,,,,,,,,,5,,,,0.0,,,,0,,,,,,,-14.4,,-12.4,,-13.1,
2018-01-01 17:40:00,140.0,131.0,,3.0,,0.9,0.5,,2.1,,0,,0,,,,,,,,,,4,,,,0.0,,,,0,,,,,,,-15.8,,-14.0,,-14.5,
2018-01-01 18:40:00,135.0,160.0,,2.0,,1.0,0.8,,2.0,,0,,0,,,,,,,,,,4,,,,0.0,,,,0,,,,,,,-14.8,,-13.5,,-13.5,
2018-01-01 19:40:00,130.0,133.0,,3.0,,1.0,0.8,,2.3,,0,,0,,,,,,,,,,5,,,,0.0,,,,0,,,,,,,-16.1,,-14.2,,-14.8,
2018-01-01 20:40:00,129.0,136.0,,2.0,,0.9,0.8,,2.1,,0,,0,,,,,,,,,,4,,,,0.0,,,,0,,,,,,,-14.7,,-14.2,,-13.3,
2018-01-01 21:40:00,135.0,146.0,,1.0,,0.8,0.8,,2.4,,0,,0,,,,,,,,,,3,,,,0.0,,,,0,,,,,,,-12.7,,-11.8,,-11.3,
2018-01-01 22:40:00,124.0,137.0,,2.0,,1.0,0.8,,2.6,,0,,0,,,,,,,,,,4,,,,0.0,,,,0,,,,,,,-11.7,,-10.6,,-10.4,
2018-01-01 23:40:00,117.0,78.0,,2.0,,0.8,0.9,,2.3,,0,,0,,,,,,,,,,3,,,,0.5,,,,0,,,,,,,-10.3,,-10.0,,-9.1,
2018-01-02 00:40:00,135.0,179.0,,1.0,0.1,0.9,0.4,,3.3,,0,,0,,,,,,,,,,3,,,,1.3,,,,0,,,,,,,-8.6,-14.0,-8.2,,-7.6,-4.7
2018-01-02 01:40:00,8.0,311.0,,1.0,,1.6,1.2,,12.0,,0,,0,,,,,,,,,,3,,,,0.0,,,,0,,,,,,,-10.2,,-6.7,,-5.6,
2018-01-02 02:40:00,360.0,55.0,,2.0,,1.0,0.6,,3.6,,0,,0,,,,,,,,,,4,,,,0.0,,,,0,,,,,,,-10.1,,-7.1,,-7.8,
2018-01-02 03:40:00,344.0,325.0,,2.0,,1.5,1.3,,5.2,,0,,0,,,,,,,,,,3,,,,0.0,,,,0,,,,,,,-9.4,,-6.7,,-5.9,
2018-01-02 04:40:00,293.0,297.0,,2.0,,3.7,6.6,,14.4,,0,,0,,,,,6.0,,,,,3,,,,0.0,,96.0,,0,,,,,,,-11.6,,-5.6,,-5.4,
2018-01-02 05:40:00,314.0,339.0,,2.0,,3.9,2.3,,18.1,,0,,0,,,,,,,,,,4,,,,0.0,,,,0,,,,,,,-11.6,,-5.4,,-5.8,
2018-01-02 06:40:00,307.0,153.0,,3.0,,1.6,0.8,,7.3,,0,,0,,,,,,,,,,4,,,,0.4,,,,0,,,,,,,-8.5,,-6.2,,-6.9,
2018-01-02 07:40:00,104.0,98.0,,30.0,,0.9,0.7,,1.9,,0,,0,,,,,,,,,,31,,,,0.3,,,,0,,,,,,,-7.9,,-6.9,,-6.7,
2018-01-02 08:40:00,90.0,342.0,,44.0,,0.9,0.4,,3.3,,0,,0,,,,,,,,,,45,,,,0.9,,,,0,,,,,,,-7.6,,-6.4,,-6.4,
