,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,199.0,203.0,,0.0,0.2,5.4,5.9,,11.0,,0,,0,,,260.0,,,,,,,0,,,,0.0,,,,0,,,,,,,-2.2,-11.7,-1.2,-2.8,-1.3,-0.4
2018-01-01 01:40:00,196.0,188.0,,0.0,,3.9,1.1,,8.9,,0,,0,,,286.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-3.3,,-0.8,-2.9,-0.9,
2018-01-01 02:40:00,208.0,210.0,,0.0,,2.2,2.3,,7.1,,0,,0,,,304.0,,,,,,,1,,,,0.2,,,,0,,,,,,,-2.1,,-1.3,-2.9,-1.1,
2018-01-01 03:40:00,225.0,248.0,,0.0,,2.3,1.2,,5.8,,0,,0,,,310.0,,,,,,,2,,,,0.5,,,,0,,,,,,,-2.1,,-1.2,-2.8,-1.4,
2018-01-01 04:40:00,243.0,77.0,,0.0,,1.4,2.4,,4.6,,0,,0,,,310.0,,3.0,,,,,1,,,,0.6,,76.0,,0,,,,,,,-2.6,,-1.6,-2.7,-1.8,
2018-01-01 05:40:00,77.0,86.0,,0.0,,2.7,2.9,,4.6,,0,,0,,,307.0,,,,,,,1,,,,0.7,,,,0,,,,,,,-3.3,,-2.2,-2.6,-2.2,
2018-01-01 06:40:00,106.0,151.0,,0.0,,2.3,1.4,,5.2,,0,,0,,,306.0,,,,,,,1,,,,0.6,,,,0,,,,,,,-3.7,,-2.0,-2.5,-1.9,
2018-01-01 07:40:00,94.0,77.0,,8.0,,4.6,6.2,,10.1,,0,,0,,,294.0,,,,,,,12,,,,0.0,,,,0,,,,,,,-4.2,,-1.9,-2.5,-2.3,
2018-01-01 08:40:00,90.0,104.0,,50.0,,5.7,4.1,,10.0,,0,,0,,,277.0,,,,,,,57,,,,0.0,,,,0,,,,,,,-4.5,,-2.4,-2.4,-2.1,
2018-01-01 09:40:00,88.0,95.0,,98.0,,4.7,4.3,,8.4,,0,,0,,,273.0,,,,,,,111,,,,0.0,,,,0,,,,,,,-5.0,,-2.1,-2.3,-1.9,
2018-01-01 10:40:00,89.0,83.0,,220.0,,5.4,5.5,,9.6,,0,,0,,,259.0,,,,,,,240,,,,0.0,,,,0,,,,,,,-5.6,,-2.0,-2.1,-2.0,
2018-01-01 11:40:00,51.0,42.0,,213.0,,4.7,4.4,,8.3,,0,,0,,,249.0,,,,,,,265,,,,0.0,,,,11,,,,,,,-9.4,,-1.5,-2.0,-1.1,
2018-01-01 12:40:00,72.0,104.0,,71.0,,3.8,3.1,,7.7,,0,,0,,,215.0,,,,,,,377,,,,0.0,,,,60,,,,,,,-8.5,,-1.3,-1.8,-1.3,
2018-01-01 13:40:00,135.0,199.0,,46.0,,2.5,3.9,,6.4,,0,,0,,,210.0,,,,,,,281,,,,0.0,,,,60,,,,,,,-11.4,,-2.0,-1.9,-2.0,
2018-01-01 14:40:00,164.0,91.0,,36.0,,1.5,1.7,,4.6,,0,,0,,,207.0,,,,,,,111,,,,0.0,,,,32,,,,,,,-10.5,,-4.4,-2.0,-6.0,
2018-01-01 15:40:00,162.0,182.0,,16.0,,1.1,0.6,,3.8,,0,,0,,,204.0,,,,,,,20,,,,0.0,,,,0,,,,,,,-13.0,,-6.7,-2.5,-7.8,
2018-01-01 16:40:00,127.0,137.0,,0.0,,1.5,1.8,,3.6,,0,,0,,,217.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-11.9,,-8.5,-3.1,-7.8,
2018-01-01 17:40:00,90.0,75.0,,0.0,,1.9,2.1,,5.8,,0,,0,,,234.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-11.0,,-8.5,-3.8,-8.8,
2018-01-01 18:40:00,104.0,99.0,,0.0,,2.1,1.4,,5.2,,0,,0,,,206.0,,,,,,,0,,,,0.0,,,,0,,,,,,,-11.9,,-9.5,-4.3,-9.4,
2018-01-01 19:40:00,216.0,219.0,,0.0,,1.4,0.9,,3.1,,0,,0,,,224.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-12.3,,-10.4,-4.8,-9.8,
2018-01-01 20:40:00,253.0,254.0,,0.0,,2.5,2.9,,4.3,,0,,0,,,265.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-11.5,,-8.3,-5.3,-8.1,
2018-01-01 21:40:00,97.0,71.0,,0.0,,2.2,1.3,,6.6,,0,,0,,,260.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-10.6,,-6.8,-5.6,-7.1,
2018-01-01 22:40:00,78.0,83.0,,0.0,,2.6,2.5,,5.9,,0,,0,,,256.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-10.4,,-7.4,-5.6,-7.3,
2018-01-01 23:40:00,135.0,255.0,,0.0,,2.0,2.5,,4.9,,0,,0,,,281.0,,,,,,,1,,,,0.1,,,,0,,,,,,,-8.1,,-6.9,-5.7,-7.1,
2018-01-02 00:40:00,202.0,246.0,,0.0,0.2,1.9,0.6,,4.1,,0,,0,,,267.0,,,,,,,1,,,,0.1,,,,0,,,,,,,-8.3,-10.9,-6.7,-5.7,-7.0,-2.1
2018-01-02 01:40:00,88.0,97.0,,0.0,,4.1,3.3,,12.2,,0,,0,,,259.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-8.8,,-3.7,-5.5,-3.5,
2018-01-02 02:40:00,93.0,101.0,,0.0,,2.6,3.0,,6.5,,0,,0,,,249.0,,,,,,,0,,,,0.0,,,,0,,,,,,,-8.4,,-4.6,-5.4,-3.9,
2018-01-02 03:40:00,92.0,107.0,,0.0,,5.6,5.1,,22.0,,0,,0,,,244.0,,,,,,,0,,,,0.0,,,,0,,,,,,,-8.5,,-3.6,-5.3,-4.5,
2018-01-02 04:40:00,97.0,113.0,,0.0,,3.8,5.3,,9.6,,0,,0,,,259.0,,0.0,,,,,0,,,,0.0,,73.0,,0,,,,,,,-9.4,,-4.8,-5.3,-4.6,
2018-01-02 05:40:00,95.0,101.0,,0.0,,4.8,2.9,,11.3,,0,,0,,,264.0,,,,,,,0,,,,0.0,,,,0,,,,,,,-8.9,,-4.6,-5.3,-4.7,
2018-01-02 06:40:00,88.0,103.0,,0.0,,3.5,2.7,,7.7,,0,,0,,,260.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-9.8,,-4.9,-5.2,-5.2,
2018-01-02 07:40:00,117.0,247.0,,10.0,,2.0,1.1,,4.7,,0,,0,,,276.0,,,,,,,15,,,,0.0,,,,0,,,,,,,-10.7,,-5.3,-5.2,-5.4,
2018-01-02 08:40:00,22.0,140.0,,45.0,,1.2,0.3,,2.7,,0,,0,,,290.0,,,,,,,55,,,,1.0,,,,0,,,,,,,-7.2,,-5.9,-5.1,-5.9,
2018-01-02 09:40:00,257.0,234.0,,122.0,,1.8,1.9,,4.2,,0,,0,,,282.0,,,,,,,137,,,,0.0,,,,0,,,,,,,-6.8,,-5.4,-4.9,-5.0,
2018-01-02 10:40:00,225.0,277.0,,140.0,,2.6,3.0,,7.5,,0,,0,,,287.0,,,,,,,165,,,,0.3,,,,0,,,,,,,-8.1,,-5.0,-4.7,-4.6,
2018-01-02 11:40:00,86.0,93.0,,206.0,,2.8,3.8,,11.6,,0,,0,,,273.0,,,,,,,254,,,,0.0,,,,5,,,,,,,-11.2,,-3.9,-4.3,-3.3,
2018-01-02 12:40:00,87.0,97.0,,199.0,,6.2,7.2,,15.1,,0,,0,,,262.0,,,,,,,349,,,,0.0,,,,35,,,,,,,-14.2,,-3.2,-4.0,-3.5,
2018-01-02 13:40:00,83.0,94.0,,149.0,,5.1,5.8,,11.7,,0,,0,,,245.0,,,,,,,302,,,,0.0,,,,51,,,,,,,-12.9,,-3.2,-3.8,-3.4,
2018-01-02 14:40:00,87.0,147.0,,100.0,,5.2,0.9,,15.3,,0,,0,,,227.0,,,,,,,152,,,,0.0,,,,21,,,,,,,-15.4,,-3.7,-3.8,-4.0,
2018-01-02 15:40:00,72.0,74.0,,23.0,,3.0,1.7,,7.7,,0,,0,,,209.0,,,,,,,32,,,,0.0,,,,13,,,,,,,-16.2,,-4.4,-3.9,-5.3,
2018-01-02 16:40:00,212.0,140.0,,0.0,,1.7,0.6,,6.1,,0,,0,,,203.0,,,,,,,0,,,,0.0,,,,0,,,,,,,-14.7,,-7.5,-4.1,-8.3,
2018-01-02 17:40:00,124.0,94.0,,0.0,,1.5,1.8,,3.7,,0,,0,,,204.0,,,,,,,0,,,,0.0,,,,0,,,,,,,-14.0,,-9.3,-4.6,-9.8,
2018-01-02 18:40:00,76.0,107.0,,0.0,,1.0,0.7,,3.7,,0,,0,,,233.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-13.7,,-10.1,-5.1,-9.6,
2018-01-02 19:40:00,121.0,100.0,,0.0,,0.8,0.6,,1.8,,0,,0,,,271.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-12.6,,-9.2,-5.6,-8.8,
2018-01-02 20:40:00,96.0,87.0,,0.0,,1.4,1.0,,3.4,,0,,0,,,274.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-11.9,,-8.3,-5.8,-8.4,
2018-01-02 21:40:00,75.0,76.0,,0.0,,3.0,3.1,,5.2,,0,,0,,,283.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-10.9,,-7.6,-5.8,-7.3,
2018-01-02 22:40:00,69.0,100.0,,0.0,,2.4,1.2,,5.7,,0,,0,,,287.0,,,,,,,1,,,,0.2,,,,0,,,,,,,-8.6,,-7.5,-5.7,-7.4,
2018-01-02 23:40:00,257.0,256.0,,0.0,,1.4,2.0,,3.7,,0,,0,,,287.0,,,,,,,2,,,,0.9,,,,0,,,,,,,-10.5,,-7.5,-5.7,-7.4,
2018-01-03 00:40:00,261.0,62.0,,0.0,0.1,2.3,0.9,,4.7,,0,,0,,,291.0,,,,,,,2,,,,0.9,,,,0,,,,,,,-8.4,-7.3,-6.9,-5.6,-6.7,-0.4
2018-01-03 01:40:00,77.0,54.0,,0.0,,1.5,1.2,,3.6,,0,,0,,,292.0,,,,,,,2,,,,0.1,,,,0,,,,,,,-8.3,,-6.9,-5.5,-6.9,
2018-01-03 02:40:00,259.0,260.0,,0.0,,2.0,2.8,,4.7,,0,,0,,,290.0,,,,,,,2,,,,0.0,,,,0,,,,,,,-9.7,,-6.5,-5.4,-5.6,
2018-01-03 03:40:00,252.0,281.0,,0.0,,2.7,2.2,,5.4,,0,,0,,,287.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-7.7,,-5.3,-5.3,-5.6,
2018-01-03 04:40:00,261.0,254.0,,0.0,,3.3,4.1,,7.3,,0,,0,,,289.0,,4.0,,,,,1,,,,0.1,,73.0,,0,,,,,,,-6.5,,-4.0,-5.2,-3.5,
2018-01-03 05:40:00,235.0,270.0,,0.0,,4.9,4.1,,9.6,,0,,0,,,250.0,,,,,,,0,,,,0.0,,,,0,,,,,,,-7.5,,-3.5,-5.1,-4.3,
2018-01-03 06:40:00,249.0,230.0,,0.0,,4.3,5.0,,7.8,,0,,0,,,253.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-6.5,,-4.4,-5.0,-3.3,
2018-01-03 07:40:00,211.0,204.0,,33.0,,5.1,4.8,,8.4,,0,,0,,,272.0,,,,,,,35,,,,0.0,,,,0,,,,,,,-6.7,,-2.7,-4.9,-2.7,
2018-01-03 08:40:00,221.0,229.0,,42.0,,5.8,7.9,,12.5,,0,,0,,,296.0,,,,,,,51,,,,0.0,,,,0,,,,,,,-6.3,,-2.9,-4.8,-2.9,
2018-01-03 09:40:00,228.0,227.0,,100.0,,8.8,7.6,,14.5,,0,,0,,,302.0,,,,,,,116,,,,0.4,,,,0,,,,,,,-5.4,,-3.5,-4.6,-3.2,
2018-01-03 10:40:00,222.0,212.0,,68.0,,8.5,7.8,,14.5,,0,,0,,,302.0,,,,,,,84,,,,0.4,,,,0,,,,,,,-6.1,,-3.6,-4.4,-3.8,
2018-01-03 11:40:00,226.0,243.0,,45.0,,6.1,4.1,,13.2,,0,,0,,,301.0,,,,,,,60,,,,1.5,,,,0,,,,,,,-5.7,,-3.7,-4.3,-3.6,
2018-01-03 12:40:00,240.0,287.0,,50.0,,4.1,4.4,,10.2,,0,,0,,,300.0,,,,,,,63,,,,0.4,,,,0,,,,,,,-5.6,,-3.6,-4.1,-3.5,
2018-01-03 13:40:00,100.0,80.0,,22.0,,4.4,5.1,,13.5,,0,,0,,,310.0,,,,,,,30,,,,1.4,,,,0,,,,,,,-2.5,,-1.7,-4.0,-1.4,
2018-01-03 14:40:00,83.0,87.0,,17.0,,5.9,7.4,,15.4,,0,,0,,,306.0,,,,,,,21,,,,0.6,,,,0,,,,,,,-5.4,,-1.8,-3.9,-2.2,
2018-01-03 15:40:00,86.0,95.0,,2.0,,8.1,6.5,,20.5,,0,,0,,,298.0,,,,,,,2,,,,0.0,,,,0,,,,,,,-8.4,,-2.6,-3.8,-2.8,
2018-01-03 16:40:00,88.0,104.0,,0.0,,6.2,4.9,,17.5,,0,,0,,,293.0,,,,,,,0,,,,0.0,,,,0,,,,,,,-11.4,,-2.9,-3.7,-2.5,
2018-01-03 17:40:00,122.0,263.0,,0.0,,3.9,1.2,,12.4,,0,,0,,,288.0,,,,,,,0,,,,0.0,,,,0,,,,,,,-10.1,,-3.1,-3.6,-3.7,
2018-01-03 18:40:00,261.0,272.0,,0.0,,2.7,2.7,,5.7,,0,,0,,,288.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-7.3,,-4.1,-3.6,-4.5,
2018-01-03 19:40:00,248.0,294.0,,0.0,,1.9,0.7,,4.0,,0,,0,,,294.0,,,,,,,1,,,,1.1,,,,0,,,,,,,-6.2,,-4.9,-3.5,-5.1,
2018-01-03 20:40:00,45.0,266.0,,0.0,,1.3,0.8,,4.5,,0,,0,,,288.0,,,,,,,1,,,,0.3,,,,0,,,,,,,-7.3,,-4.9,-3.5,-5.1,
2018-01-03 21:40:00,247.0,234.0,,0.0,,1.8,1.6,,3.5,,0,,0,,,287.0,,,,,,,1,,,,0.1,,,,0,,,,,,,-7.7,,-4.8,-3.5,-4.7,
2018-01-03 22:40:00,253.0,247.0,,0.0,,3.1,3.2,,5.1,,0,,0,,,290.0,,,,,,,1,,,,0.3,,,,0,,,,,,,-6.6,,-5.0,-3.5,-5.1,
2018-01-03 23:40:00,242.0,243.0,,0.0,,2.6,2.6,,3.6,,0,,0,,,293.0,,,,,,,1,,,,1.1,,,,0,,,,,,,-6.6,,-5.2,-3.5,-5.3,
2018-01-04 00:40:00,237.0,249.0,,0.0,0.0,2.4,2.0,,3.4,,0,,0,,,293.0,,,,,,,1,,,,1.2,,,,0,,,,,,,-7.0,-5.4,-5.3,-3.5,-5.3,1.5
2018-01-04 01:40:00,239.0,242.0,,0.0,,2.7,2.7,,4.1,,0,,0,,,293.0,,,,,,,2,,,,1.5,,,,0,,,,,,,-6.6,,-5.3,-3.5,-5.3,
2018-01-04 02:40:00,243.0,243.0,,0.0,,2.5,2.5,,3.8,,0,,0,,,293.0,,,,,,,2,,,,1.1,,,,0,,,,,,,-6.8,,-5.3,-3.5,-5.3,
2018-01-04 03:40:00,232.0,231.0,,0.0,,3.3,4.3,,5.6,,0,,0,,,295.0,,,,,,,1,,,,1.3,,,,0,,,,,,,-6.3,,-5.0,-3.4,-4.9,
2018-01-04 04:40:00,229.0,231.0,,0.0,,3.8,3.8,,5.6,,0,,0,,,293.0,,11.0,,,,,1,,,,0.5,,77.0,,0,,,,,,,-7.2,,-4.9,-3.4,-4.8,
2018-01-04 05:40:00,238.0,258.0,,0.0,,3.6,3.0,,4.9,,0,,0,,,294.0,,,,,,,1,,,,0.5,,,,0,,,,,,,-6.3,,-4.7,-3.4,-4.6,
2018-01-04 06:40:00,252.0,250.0,,0.0,,3.3,3.3,,5.1,,0,,0,,,296.0,,,,,,,1,,,,0.4,,,,0,,,,,,,-5.8,,-4.6,-3.4,-4.5,
2018-01-04 07:40:00,249.0,244.0,,5.0,,3.9,3.6,,5.4,,0,,0,,,299.0,,,,,,,10,,,,0.3,,,,0,,,,,,,-5.3,,-4.2,-3.4,-3.8,
2018-01-04 08:40:00,245.0,228.0,,26.0,,3.9,3.8,,5.6,,0,,0,,,304.0,,,,,,,35,,,,0.8,,,,0,,,,,,,-4.3,,-3.2,-3.3,-2.9,
2018-01-04 09:40:00,232.0,230.0,,37.0,,4.6,4.4,,6.8,,0,,0,,,311.0,,,,,,,49,,,,1.4,,,,0,,,,,,,-3.6,,-2.4,-3.3,-2.2,
2018-01-04 10:40:00,233.0,223.0,,57.0,,3.6,3.3,,5.3,,0,,0,,,317.0,,,,,,,76,,,,0.9,,,,0,,,,,,,-2.5,,-1.7,-3.3,-1.5,
2018-01-04 11:40:00,226.0,222.0,,65.0,,3.1,2.8,,4.6,,0,,0,,,319.0,,,,,,,86,,,,0.8,,,,0,,,,,,,-0.9,,-0.5,-3.3,0.1,
2018-01-04 12:40:00,245.0,243.0,,77.0,,2.4,2.7,,4.5,,0,,0,,,323.0,,,,,,,97,,,,1.3,,,,0,,,,,,,-0.6,,0.1,-3.2,0.1,
2018-01-04 13:40:00,225.0,254.0,,59.0,,2.1,0.7,,4.2,,0,,0,,,325.0,,,,,,,75,,,,1.7,,,,0,,,,,,,-0.2,,0.4,-3.1,0.2,
2018-01-04 14:40:00,230.0,243.0,,58.0,,1.8,1.7,,4.0,,0,,0,,,327.0,,,,,,,69,,,,1.0,,,,0,,,,,,,0.3,,0.8,-3.1,0.8,
2018-01-04 15:40:00,74.0,98.0,,11.0,,1.8,1.4,,5.1,,0,,0,,,324.0,,,,,,,13,,,,0.5,,,,0,,,,,,,0.3,,0.7,-3.0,1.0,
2018-01-04 16:40:00,117.0,98.0,,0.0,,1.7,2.1,,4.1,,0,,0,,,324.0,,,,,,,0,,,,0.4,,,,0,,,,,,,0.1,,0.9,-2.8,0.6,
2018-01-04 17:40:00,90.0,56.0,,0.0,,1.9,0.1,,5.6,,0,,0,,,320.0,,,,,,,0,,,,0.1,,,,0,,,,,,,0.1,,1.0,-2.6,1.1,
2018-01-04 18:40:00,207.0,111.0,,0.0,,1.5,1.0,,4.1,,0,,0,,,310.0,,,,,,,1,,,,0.0,,,,0,,,,,,,0.3,,0.9,-2.4,0.7,
2018-01-04 19:40:00,240.0,239.0,,0.0,,2.9,4.1,,6.8,,0,,0,,,301.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-0.4,,0.3,-2.2,-0.2,
2018-01-04 20:40:00,245.0,269.0,,0.0,,3.2,2.7,,5.8,,0,,0,,,306.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-0.4,,0.3,-1.9,0.5,
2018-01-04 21:40:00,256.0,247.0,,0.0,,3.2,3.6,,5.9,,0,,0,,,295.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-0.5,,0.6,-1.7,0.5,
2018-01-04 22:40:00,238.0,237.0,,0.0,,2.7,2.6,,5.6,,0,,0,,,287.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-0.3,,0.8,-1.5,1.0,
2018-01-04 23:40:00,243.0,256.0,,0.0,,2.6,2.5,,4.5,,0,,0,,,282.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-1.0,,0.3,-1.4,-0.1,
2018-01-05 00:40:00,242.0,238.0,,0.0,0.1,2.3,1.9,,4.9,,0,,0,,,257.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-2.2,-7.5,-0.6,-1.2,-1.6,2.6
2018-01-05 01:40:00,108.0,105.0,,0.0,,1.2,1.4,,3.2,,0,,0,,,239.0,,,,,,,0,,,,0.0,,,,0,,,,,,,-2.5,,-2.2,-1.1,-2.5,
2018-01-05 02:40:00,117.0,158.0,,0.0,,1.5,0.4,,4.3,,0,,0,,,243.0,,,,,,,0,,,,0.0,,,,0,,,,,,,-5.2,,-3.4,-1.0,-5.2,
2018-01-05 03:40:00,85.0,102.0,,0.0,,1.5,0.8,,4.3,,0,,0,,,242.0,,,,,,,0,,,,0.0,,,,0,,,,,,,-4.1,,-2.9,-0.9,-3.4,
2018-01-05 04:40:00,90.0,62.0,,0.0,,1.5,1.3,,3.7,,0,,0,,,235.0,,6.0,,,,,0,,,,0.0,,75.0,,0,,,,,,,-3.9,,-3.7,-0.8,-3.9,
2018-01-05 05:40:00,113.0,113.0,,0.0,,1.4,0.5,,3.2,,0,,0,,,236.0,,,,,,,0,,,,0.0,,,,0,,,,,,,-5.7,,-5.1,-0.8,-4.9,
2018-01-05 06:40:00,117.0,188.0,,0.0,,1.6,1.1,,3.8,,0,,0,,,237.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-6.2,,-5.4,-0.7,-5.3,
2018-01-05 07:40:00,101.0,69.0,,8.0,,1.4,1.8,,3.8,,0,,0,,,230.0,,,,,,,13,,,,0.0,,,,0,,,,,,,-6.5,,-6.1,-0.7,-6.2,
2018-01-05 08:40:00,90.0,109.0,,37.0,,1.8,0.6,,4.4,,0,,0,,,234.0,,,,,,,51,,,,0.0,,,,0,,,,,,,-7.8,,-6.1,-0.7,-7.5,
2018-01-05 09:40:00,79.0,36.0,,159.0,,0.9,0.4,,2.3,,0,,0,,,289.0,,,,,,,183,,,,0.0,,,,0,,,,,,,-5.6,,-4.8,-0.6,-4.1,
2018-01-05 10:40:00,248.0,284.0,,229.0,,1.3,1.0,,3.5,,0,,0,,,276.0,,,,,,,391,,,,0.0,,,,27,,,,,,,-2.6,,-1.6,-0.6,-1.3,
2018-01-05 11:40:00,243.0,226.0,,121.0,,3.2,4.8,,8.4,,0,,0,,,252.0,,,,,,,389,,,,0.0,,,,60,,,,,,,-2.4,,1.0,-0.5,2.2,
2018-01-05 12:40:00,227.0,254.0,,198.0,,4.1,2.8,,9.1,,0,,0,,,280.0,,,,,,,264,,,,0.0,,,,9,,,,,,,-2.1,,2.3,-0.5,1.8,
2018-01-05 13:40:00,252.0,231.0,,196.0,,2.8,2.9,,5.6,,0,,0,,,290.0,,,,,,,298,,,,0.0,,,,25,,,,,,,-1.4,,2.1,-0.4,2.0,
2018-01-05 14:40:00,247.0,240.0,,98.0,,2.7,4.0,,7.0,,0,,0,,,271.0,,,,,,,132,,,,0.0,,,,9,,,,,,,-1.2,,1.1,-0.4,1.0,
2018-01-05 15:40:00,233.0,242.0,,52.0,,5.1,5.0,,8.2,,0,,0,,,292.0,,,,,,,60,,,,0.0,,,,0,,,,,,,-1.4,,-0.4,-0.3,-1.0,
2018-01-05 16:40:00,234.0,227.0,,0.0,,4.4,3.5,,7.0,,0,,0,,,290.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-1.2,,-0.7,-0.3,-0.2,
2018-01-05 17:40:00,229.0,245.0,,0.0,,3.3,4.0,,6.7,,0,,0,,,314.0,,,,,,,2,,,,0.0,,,,0,,,,,,,-1.0,,-0.1,-0.3,0.4,
2018-01-05 18:40:00,240.0,226.0,,0.0,,5.2,4.8,,9.2,,0,,0,,,310.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-0.9,,0.4,-0.3,0.2,
2018-01-05 19:40:00,226.0,237.0,,0.0,,5.2,4.8,,8.8,,0,,0,,,268.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-1.1,,0.1,-0.3,-0.1,
2018-01-05 20:40:00,227.0,229.0,,0.0,,5.5,6.6,,10.0,,0,,0,,,265.0,,,,,,,1,,,,0.0,,,,0,,,,,,,-0.9,,-0.2,-0.3,-0.6,
2018-01-05 21:40:00,220.0,221.0,,0.0,,6.5,6.3,,10.1,,0,,0,,,289.0,,,,,,,1,,,,0.1,,,,0,,,,,,,-1.1,,-0.2,-0.3,-0.3,
