,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,275,259.0,,,0.3,1.4,1.2,,6.1,,0,,0,,,,,,,,,,2,,,,0.0,,,34.0,0,,,,,,,-2.6,-1.9,4.1,3.5,4.8,5.0
2018-01-01 01:40:00,307,276.0,,,,0.8,0.8,,2.7,,0,,0,,,,,,,,,,3,,,,0.0,,,34.0,0,,,,,,,-2.3,,4.4,2.3,4.3,
2018-01-01 02:40:00,286,285.0,,,,0.9,0.7,,2.8,,0,,0,,,,,,,,,,2,,,,0.0,,,34.0,0,,,,,,,-2.1,,4.4,2.4,3.7,
2018-01-01 03:40:00,288,334.0,,,,1.1,0.7,,5.9,,0,,0,,,,,,,,,,2,,,,0.2,,,34.0,0,,,,,,,-0.6,,3.3,2.2,2.6,
2018-01-01 04:40:00,333,307.0,,,,1.1,1.1,,2.8,,0,,0,,,,,0.0,,,,,2,,,,0.1,,37.0,34.0,0,,,,,,,-1.2,,2.6,1.2,3.1,
2018-01-01 05:40:00,67,90.0,,,,2.0,2.6,,6.7,,0,,0,,,,,,,,,,3,,,,0.0,,,34.0,0,,,,,,,-0.6,,1.6,0.6,0.9,
2018-01-01 06:40:00,70,65.0,,,,1.7,1.7,,4.4,,0,,0,,,,,,,,,,3,,,,0.0,,,34.0,0,,,,,,,-0.4,,0.4,-0.1,0.2,
2018-01-01 07:40:00,60,36.0,,,,2.5,1.2,,7.0,,0,,0,,,,,,,,,,11,,,,0.0,,,34.0,0,,,,,,,-1.2,,0.1,-0.2,0.1,
2018-01-01 08:40:00,55,71.0,,,,1.4,0.9,,4.7,,0,,0,,,,,,,,,,53,,,,0.0,,,34.0,0,,,,,,,-2.1,,0.2,0.3,0.4,
2018-01-01 09:40:00,135,90.0,,,,0.8,0.3,,3.7,,0,,0,,,,,,,,,,110,,,,0.0,,,34.0,1,,,,,,,-2.1,,0.5,0.1,0.5,
2018-01-01 10:40:00,153,135.0,,,,0.6,0.8,,1.7,,0,,0,,,,,,,,,,330,,,,0.0,,,34.0,47,,,,,,,-1.9,,1.2,4.5,1.5,
2018-01-01 11:40:00,90,78.0,,,,1.3,2.3,,4.1,,0,,0,,,,,,,,,,394,,,,0.0,,,33.0,60,,,,,,,-2.9,,1.6,4.0,2.1,
2018-01-01 12:40:00,76,67.0,,,,2.2,2.6,,5.4,,0,,0,,,,,,,,,,357,,,,0.0,,,33.0,60,,,,,,,-3.5,,2.1,3.8,2.3,
2018-01-01 13:40:00,83,155.0,,,,1.2,0.5,,3.8,,0,,0,,,,,,,,,,299,,,,0.0,,,33.0,60,,,,,,,-2.9,,2.2,3.3,2.1,
2018-01-01 14:40:00,219,247.0,,,,0.7,0.8,,3.0,,0,,0,,,,,,,,,,121,,,,0.0,,,33.0,35,,,,,,,-5.1,,1.3,-0.2,0.9,
2018-01-01 15:40:00,288,321.0,,,,0.8,0.6,,2.1,,0,,0,,,,,,,,,,21,,,,0.0,,,33.0,0,,,,,,,-4.5,,0.4,-2.3,0.2,
2018-01-01 16:40:00,360,258.0,,,,0.6,0.6,,1.7,,0,,0,,,,,,,,,,3,,,,0.0,,,33.0,0,,,,,,,-5.4,,-0.5,-2.5,-0.4,
2018-01-01 17:40:00,297,283.0,,,,0.6,0.2,,1.8,,0,,0,,,,,,,,,,2,,,,0.0,,,33.0,0,,,,,,,-5.5,,-0.5,-2.2,-0.4,
2018-01-01 18:40:00,307,265.0,,,,0.7,0.4,,2.3,,0,,0,,,,,,,,,,2,,,,0.0,,,33.0,0,,,,,,,-4.8,,-0.1,-1.4,-0.2,
2018-01-01 19:40:00,259,248.0,,,,0.8,0.7,,3.9,,0,,0,,,,,,,,,,2,,,,0.0,,,33.0,0,,,,,,,-4.8,,0.2,-0.3,0.7,
2018-01-01 20:40:00,279,248.0,,,,1.2,1.3,,4.8,,0,,0,,,,,,,,,,2,,,,0.0,,,33.0,0,,,,,,,-3.2,,2.0,1.1,2.1,
2018-01-01 21:40:00,284,64.0,,,,0.8,0.1,,4.4,,0,,0,,,,,,,,,,3,,,,0.0,,,33.0,0,,,,,,,-4.0,,0.6,-0.4,-0.8,
2018-01-01 22:40:00,67,26.0,,,,1.2,0.2,,5.5,,0,,0,,,,,,,,,,3,,,,0.4,,,34.0,0,,,,,,,-2.8,,-1.2,-1.9,-1.6,
2018-01-01 23:40:00,284,311.0,,,,1.0,0.9,,4.1,,0,,0,,,,,,,,,,2,,,,0.2,,,34.0,0,,,,,,,-2.6,,-1.3,-1.7,0.0,
2018-01-02 00:40:00,333,223.0,,,0.1,1.5,1.2,,4.9,,0,,0,,,,,,,,,,3,,,,0.0,,,34.0,0,,,,,,,-2.4,-2.9,-0.5,-1.9,-1.7,0.9
2018-01-02 01:40:00,45,330.0,,,,1.0,0.1,,3.8,,0,,0,,,,,,,,,,2,,,,0.0,,,34.0,0,,,,,,,-2.2,,-1.4,-1.8,-1.4,
2018-01-02 02:40:00,76,204.0,,,,1.1,0.5,,4.1,,0,,0,,,,,,,,,,2,,,,0.0,,,34.0,0,,,,,,,-1.9,,-1.5,-2.1,-1.6,
2018-01-02 03:40:00,243,252.0,,,,0.6,0.5,,1.8,,0,,0,,,,,,,,,,2,,,,0.2,,,35.0,0,,,,,,,-2.1,,-1.4,-1.8,-1.3,
2018-01-02 04:40:00,72,35.0,,,,0.9,0.6,,2.3,,0,,0,,,,,3.0,,,,,2,,,,0.2,,38.0,35.0,0,,,,,,,-2.0,,-1.4,-1.8,-1.5,
2018-01-02 05:40:00,68,66.0,,,,1.2,1.0,,3.7,,0,,0,,,,,,,,,,2,,,,0.3,,,36.0,0,,,,,,,-2.2,,-1.5,-1.7,-1.5,
2018-01-02 06:40:00,60,70.0,,,,1.3,0.2,,3.1,,0,,0,,,,,,,,,,2,,,,0.5,,,37.0,0,,,,,,,-2.0,,-1.5,-1.9,-1.6,
2018-01-02 07:40:00,67,257.0,,,,1.1,0.4,,3.5,,0,,0,,,,,,,,,,10,,,,0.2,,,37.0,0,,,,,,,-2.2,,-1.6,-1.7,-1.5,
2018-01-02 08:40:00,315,79.0,,,,0.9,0.5,,3.1,,0,,0,,,,,,,,,,45,,,,0.0,,,37.0,0,,,,,,,-2.2,,-1.2,-1.2,-1.3,
2018-01-02 09:40:00,27,288.0,,,,1.0,0.5,,3.9,,0,,0,,,,,,,,,,97,,,,0.1,,,37.0,0,,,,,,,-3.5,,-0.9,-0.5,-0.7,
2018-01-02 10:40:00,27,298.0,,,,1.0,0.9,,4.5,,0,,0,,,,,,,,,,115,,,,0.0,,,37.0,0,,,,,,,-3.4,,-0.9,-0.6,-0.8,
2018-01-02 11:40:00,225,229.0,,,,0.7,0.2,,2.5,,0,,0,,,,,,,,,,200,,,,0.0,,,37.0,0,,,,,,,-3.8,,-0.7,1.1,-0.3,
2018-01-02 12:40:00,207,152.0,,,,0.5,0.1,,1.5,,0,,0,,,,,,,,,,169,,,,0.0,,,37.0,1,,,,,,,-4.7,,-0.5,-0.3,0.0,
2018-01-02 13:40:00,67,68.0,,,,0.8,1.8,,3.3,,0,,0,,,,,,,,,,229,,,,0.0,,,36.0,32,,,,,,,-2.6,,-0.2,0.1,-0.5,
2018-01-02 14:40:00,180,233.0,,,,0.6,0.3,,2.1,,0,,0,,,,,,,,,,69,,,,0.0,,,37.0,0,,,,,,,-3.3,,-1.0,-3.7,-1.1,
2018-01-02 15:40:00,0,212.0,,,,0.3,0.2,,1.0,,0,,0,,,,,,,,,,12,,,,0.0,,,36.0,0,,,,,,,-3.1,,-1.4,-3.3,-1.8,
2018-01-02 16:40:00,315,315.0,,,,0.3,0.2,,0.8,,0,,0,,,,,,,,,,2,,,,0.0,,,36.0,0,,,,,,,-3.6,,-1.8,-4.2,-1.8,
2018-01-02 17:40:00,315,296.0,,,,0.4,0.5,,1.1,,0,,0,,,,,,,,,,2,,,,0.0,,,36.0,0,,,,,,,-3.5,,-2.0,-3.2,-1.7,
2018-01-02 18:40:00,326,335.0,,,,0.4,0.2,,1.2,,0,,0,,,,,,,,,,2,,,,0.0,,,36.0,0,,,,,,,-3.8,,-1.7,-2.8,-1.5,
2018-01-02 19:40:00,243,233.0,,,,0.2,0.3,,0.7,,0,,0,,,,,,,,,,3,,,,0.2,,,36.0,0,,,,,,,-3.5,,-2.1,-2.9,-2.1,
2018-01-02 20:40:00,270,74.0,,,,0.4,0.2,,1.3,,0,,0,,,,,,,,,,2,,,,0.3,,,36.0,0,,,,,,,-3.1,,-2.2,-2.8,-2.5,
2018-01-02 21:40:00,108,85.0,,,,0.4,0.3,,1.4,,0,,0,,,,,,,,,,2,,,,1.0,,,37.0,0,,,,,,,-3.0,,-2.7,-2.7,-2.8,
2018-01-02 22:40:00,180,212.0,,,,0.4,0.3,,1.1,,0,,0,,,,,,,,,,2,,,,2.4,,,40.0,0,,,,,,,-2.9,,-2.8,-2.8,-2.8,
2018-01-02 23:40:00,180,92.0,,,,0.2,0.1,,0.9,,0,,0,,,,,,,,,,2,,,,1.8,,,44.0,0,,,,,,,-3.0,,-2.8,-2.9,-2.8,
2018-01-03 00:40:00,45,14.0,,,0.0,0.3,0.1,,0.9,,0,,0,,,,,,,,,,2,,,,1.2,,,45.0,0,,,,,,,-3.2,-3.1,-2.9,-2.9,-2.9,6.0
2018-01-03 01:40:00,153,154.0,,,,0.3,0.2,,1.3,,0,,0,,,,,,,,,,2,,,,0.7,,,46.0,0,,,,,,,-3.1,,-2.8,-2.9,-2.6,
2018-01-03 02:40:00,45,13.0,,,,0.5,0.2,,1.7,,0,,0,,,,,,,,,,2,,,,0.2,,,46.0,0,,,,,,,-3.2,,-2.8,-3.2,-3.0,
2018-01-03 03:40:00,0,198.0,,,,0.5,0.2,,1.8,,0,,0,,,,,,,,,,2,,,,0.0,,,46.0,0,,,,,,,-3.0,,-2.8,-2.9,-2.4,
2018-01-03 04:40:00,315,280.0,,,,0.5,0.4,,1.4,,0,,0,,,,,12.0,,,,,2,,,,0.0,,48.0,45.0,0,,,,,,,-3.0,,-2.3,-2.3,-2.0,
2018-01-03 05:40:00,297,296.0,,,,0.5,0.2,,1.7,,0,,0,,,,,,,,,,2,,,,0.1,,,45.0,0,,,,,,,-2.1,,-1.7,-1.5,-1.7,
2018-01-03 06:40:00,315,359.0,,,,0.6,0.2,,1.7,,0,,0,,,,,,,,,,1,,,,0.2,,,44.0,0,,,,,,,-0.8,,-0.7,-0.1,-0.3,
2018-01-03 07:40:00,329,329.0,,,,1.2,1.1,,3.8,,0,,0,,,,,,,,,,5,,,,0.2,,,44.0,0,,,,,,,1.8,,1.3,0.3,3.2,
