,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,138.0,135.0,,0,0.2,1.5,1.4,,3.3,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.8,-6.2,-0.8,-0.6,-0.7,1.6
2018-01-01 01:40:00,153.0,0.0,,0,,0.4,0.0,,2.5,,0,,0,,,,,,,,,,0,,,,0.1,,,,0,,,,,,,-1.0,,-0.6,-0.8,-0.4,
2018-01-01 02:40:00,191.0,155.0,,0,,0.7,0.7,,2.0,,0,,0,,,,,,,,,,0,,,,0.1,,,,0,,,,,,,-1.0,,-0.5,-0.8,-0.5,
2018-01-01 03:40:00,315.0,267.0,,0,,1.0,0.7,,2.1,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-1.5,,-0.6,-1.4,-0.7,
2018-01-01 04:40:00,270.0,78.0,,0,,0.4,0.1,,1.4,,0,,0,,,,,4.0,,,,,0,,,,0.1,,84.0,,0,,,,,,,-1.4,,-0.7,-1.1,-0.6,
2018-01-01 05:40:00,302.0,270.0,,0,,2.1,1.6,,7.9,,0,,0,,,,,,,,,,0,,,,0.8,,,,0,,,,,,,-2.9,,-0.5,-1.3,-0.3,
2018-01-01 06:40:00,306.0,308.0,,0,,2.7,0.7,,7.8,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-4.3,,-0.5,-1.4,-0.8,
2018-01-01 07:40:00,315.0,325.0,,16,,4.1,5.1,,11.3,,0,,0,,,,,,,,,,18,,,,0.0,,,,0,,,,,,,-4.7,,-0.7,-1.6,-0.9,
2018-01-01 08:40:00,317.0,324.0,,65,,5.7,5.5,,12.3,,0,,0,,,,,,,,,,67,,,,0.0,,,76.0,0,,,,,,,-5.8,,-0.9,-1.3,-0.8,
2018-01-01 09:40:00,310.0,307.0,,116,,5.3,5.2,,12.1,,0,,0,,,,,,,,,,208,,,,0.0,,,77.0,21,,,,,,,-6.1,,-0.5,2.0,0.1,
2018-01-01 10:40:00,321.0,338.0,,160,,4.6,2.9,,12.8,,0,,0,,,,,,,,,,480,,,,0.0,,,77.0,60,,,,,,,-8.5,,1.3,3.9,1.3,
2018-01-01 11:40:00,319.0,329.0,,62,,3.5,1.9,,9.0,,0,,0,,,,,,,,,,396,,,,0.0,,,77.0,59,,,,,,,-9.2,,1.1,3.5,1.5,
2018-01-01 12:40:00,305.0,298.0,,56,,4.3,4.9,,11.2,,0,,0,,,,,,,,,,365,,,,0.0,,,77.0,60,,,,,,,-9.6,,1.0,-1.0,0.6,
2018-01-01 13:40:00,267.0,278.0,,41,,4.5,1.4,,10.2,,0,,0,,,,,,,,,,165,,,,0.0,,,75.0,29,,,,,,,-11.0,,-0.1,-1.9,-0.3,
2018-01-01 14:40:00,322.0,323.0,,37,,2.4,2.5,,8.1,,0,,0,,,,,,,,,,41,,,,0.0,,,76.0,0,,,,,,,-8.9,,-1.3,-3.6,-2.1,
2018-01-01 15:40:00,301.0,308.0,,13,,0.8,0.4,,4.0,,0,,0,,,,,,,,,,14,,,,0.0,,,75.0,0,,,,,,,-10.6,,-3.5,-7.2,-3.9,
2018-01-01 16:40:00,301.0,119.0,,0,,0.8,0.1,,2.6,,0,,0,,,,,,,,,,0,,,,0.0,,,76.0,0,,,,,,,-10.6,,-4.5,-7.5,-4.6,
2018-01-01 17:40:00,307.0,186.0,,0,,0.9,0.1,,4.7,,0,,0,,,,,,,,,,0,,,,0.0,,,77.0,0,,,,,,,-10.0,,-5.2,-8.3,-5.0,
2018-01-01 18:40:00,256.0,167.0,,0,,0.9,0.6,,2.8,,0,,0,,,,,,,,,,0,,,,0.0,,,77.0,0,,,,,,,-9.7,,-5.5,-7.3,-5.5,
2018-01-01 19:40:00,270.0,278.0,,0,,0.4,0.4,,1.3,,0,,0,,,,,,,,,,0,,,,0.0,,,78.0,0,,,,,,,-9.3,,-5.8,-8.4,-6.2,
2018-01-01 20:40:00,315.0,332.0,,0,,1.0,0.4,,4.2,,0,,0,,,,,,,,,,0,,,,0.0,,,78.0,0,,,,,,,-9.4,,-5.0,-6.7,-4.4,
2018-01-01 21:40:00,284.0,277.0,,0,,0.6,0.5,,2.6,,0,,0,,,,,,,,,,0,,,,0.0,,,78.0,0,,,,,,,-9.0,,-4.6,-6.0,-4.3,
2018-01-01 22:40:00,270.0,286.0,,0,,0.2,0.2,,0.7,,0,,0,,,,,,,,,,0,,,,0.0,,,77.0,0,,,,,,,-7.8,,-4.1,-5.1,-4.0,
2018-01-01 23:40:00,302.0,288.0,,0,,3.1,2.7,,8.8,,0,,0,,,,,,,,,,0,,,,0.1,,,77.0,0,,,,,,,-5.3,,-1.8,-2.3,-1.4,
2018-01-02 00:40:00,307.0,306.0,,0,0.3,4.0,3.5,,10.0,,0,,0,,,,,,,,,,0,,,,0.0,,,77.0,0,,,,,,,-11.2,-4.5,-1.3,-2.3,-1.2,-0.2
2018-01-02 01:40:00,321.0,306.0,,0,,3.7,2.3,,11.3,,0,,0,,,,,,,,,,0,,,,0.0,,,77.0,0,,,,,,,-10.2,,-1.0,-2.7,-1.6,
2018-01-02 02:40:00,316.0,321.0,,0,,3.4,3.4,,11.3,,0,,0,,,,,,,,,,0,,,,0.0,,,78.0,0,,,,,,,-7.8,,-2.1,-2.9,-2.7,
2018-01-02 03:40:00,324.0,319.0,,0,,3.4,3.8,,12.5,,0,,0,,,,,,,,,,0,,,,0.0,,,78.0,0,,,,,,,-9.8,,-2.1,-2.9,-2.2,
2018-01-02 04:40:00,315.0,321.0,,0,,3.8,3.1,,9.9,,0,,0,,,,,0.0,,,,,0,,,,0.0,,81.0,78.0,0,,,,,,,-11.0,,-2.3,-2.6,-2.0,
2018-01-02 05:40:00,320.0,319.0,,0,,2.8,2.6,,10.5,,0,,0,,,,,,,,,,0,,,,0.0,,,76.0,0,,,,,,,-8.3,,-2.8,-3.4,-2.9,
2018-01-02 06:40:00,281.0,245.0,,0,,1.9,1.0,,5.6,,0,,0,,,,,,,,,,0,,,,0.2,,,77.0,0,,,,,,,-6.7,,-3.6,-4.1,-3.9,
2018-01-02 07:40:00,180.0,350.0,,10,,1.0,0.5,,2.9,,0,,0,,,,,,,,,,12,,,,0.2,,,74.0,0,,,,,,,-6.0,,-3.9,-4.1,-3.8,
2018-01-02 08:40:00,90.0,134.0,,68,,1.4,1.4,,5.7,,0,,0,,,,,,,,,,75,,,,0.0,,,76.0,0,,,,,,,-6.2,,-3.6,-3.0,-3.5,
2018-01-02 09:40:00,315.0,326.0,,169,,1.0,1.8,,5.4,,0,,0,,,,,,,,,,241,,,,0.0,,,77.0,17,,,,,,,-9.5,,-2.6,0.6,-1.6,
