,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,333.0,30.0,,,0.2,0.6,0.3,,1.8,,0,,0,,,214,,,,,,,0,,-4,,0.0,,,57.0,0,,,1.2,1.8,0.9,0.9,-5.7,-7.1,-4.0,-7.8,-5.1,-0.8
2018-01-01 01:40:00,342.0,344.0,,,,0.5,0.8,,1.7,,0,,0,,,219,,,,,,,0,,-4,,0.0,,,57.0,0,,,1.2,1.8,0.9,,-4.5,,-3.9,-8.2,-3.5,
2018-01-01 02:40:00,0.0,40.0,,,,0.4,0.4,,1.3,,0,,0,,,283,,,,,,,0,,-4,,0.0,,,57.0,0,,,1.2,1.8,0.9,,-4.5,,-4.4,-6.5,-3.6,
2018-01-01 03:40:00,360.0,12.0,,,,0.4,0.5,,1.0,,0,,0,,,293,,,,,,,0,,-3,,0.0,,,57.0,0,,,1.2,1.8,0.9,,-3.7,,-3.0,-5.0,-2.6,
2018-01-01 04:40:00,11.0,14.0,,,,3.3,4.7,,9.4,,0,,0,,,296,,4.0,,,,,0,,-4,,0.0,,65.0,58.0,0,,,1.2,1.8,0.9,,-2.7,,-1.5,-3.6,-1.3,
2018-01-01 05:40:00,55.0,56.0,,,,7.1,6.0,,13.8,,0,,0,,,303,,,,,,,0,,-5,,0.8,,,59.0,0,,,1.2,1.8,0.9,,-4.0,,-1.7,-3.1,-1.9,
2018-01-01 06:40:00,67.0,56.0,,,,3.7,2.9,,6.8,,0,,0,,,301,,,,,,,0,,-4,,0.2,,,59.0,0,,,1.2,1.8,0.9,,-3.9,,-2.1,-3.2,-2.4,
2018-01-01 07:40:00,27.0,176.0,,,,1.0,0.3,,3.1,,0,,0,,,288,,,,,,,6,,5,,0.3,,,60.0,0,,,1.2,1.8,0.9,,-4.0,,-2.6,-3.2,-2.8,
2018-01-01 08:40:00,315.0,71.0,,,,0.5,0.3,,1.3,,0,,0,,,261,,,,,,,57,,48,,0.0,,,60.0,0,,,1.2,1.8,0.9,,-4.2,,-2.8,-3.4,-2.7,
2018-01-01 09:40:00,351.0,334.0,,,,0.6,0.8,,1.3,,0,,0,,,274,,,,,,,124,,103,,0.0,,,59.0,0,,,1.2,1.8,0.9,,-3.9,,-2.3,-2.4,-2.0,
2018-01-01 10:40:00,22.0,14.0,,,,1.1,1.4,,2.1,,0,,0,,,246,,,,,,,152,,122,,0.0,,,59.0,0,,,1.2,1.8,0.9,,-4.5,,-2.0,-2.3,-1.5,
2018-01-01 11:40:00,346.0,327.0,,,,0.6,0.3,,1.7,,0,,0,,,229,,,,,,,216,,174,,0.0,,,59.0,14,,,1.2,1.8,0.9,,-5.3,,-1.5,-1.6,-1.1,
2018-01-01 12:40:00,131.0,139.0,,,,1.3,2.1,,3.8,,0,,0,,,205,,,,,,,359,,294,,0.0,,,59.0,60,,,1.2,1.8,0.9,,-6.2,,-1.2,-0.5,-1.7,
2018-01-01 13:40:00,140.0,149.0,,,,3.1,2.8,,6.1,,0,,0,,,199,,,,,,,263,,225,,0.0,,,58.0,60,,,1.2,1.8,0.9,,-8.4,,-1.7,-0.8,-1.4,
2018-01-01 14:40:00,155.0,169.0,,,,1.8,1.5,,5.0,,0,,0,,,196,,,,,,,112,,104,,0.0,,,58.0,51,,,1.2,1.8,0.9,,-9.7,,-2.7,-4.2,-3.4,
2018-01-01 15:40:00,175.0,210.0,,,,1.4,0.6,,4.1,,0,,0,,,196,,,,,,,8,,6,,0.0,,,58.0,0,,,1.2,1.8,0.9,,-10.0,,-4.5,-7.6,-4.3,
2018-01-01 16:40:00,176.0,211.0,,,,1.5,1.7,,2.9,,0,,0,,,200,,,,,,,0,,-5,,0.0,,,58.0,0,,,1.2,1.8,0.9,,-10.2,,-5.7,-9.1,-5.9,
2018-01-01 17:40:00,207.0,246.0,,,,1.4,1.6,,2.8,,0,,0,,,228,,,,,,,0,,-4,,0.0,,,58.0,0,,,1.2,1.8,0.9,,-8.5,,-5.7,-8.9,-5.7,
2018-01-01 18:40:00,207.0,352.0,,,,1.3,0.2,,2.9,,0,,0,,,226,,,,,,,0,,-4,,0.0,,,58.0,0,,,1.2,1.8,0.9,,-9.9,,-6.2,-9.2,-6.5,
2018-01-01 19:40:00,315.0,246.0,,,,0.5,0.7,,1.4,,0,,0,,,252,,,,,,,0,,-4,,0.0,,,58.0,0,,,1.2,1.8,0.9,,-9.3,,-6.3,-8.9,-5.9,
2018-01-01 20:40:00,90.0,27.0,,,,0.9,0.6,,2.2,,0,,0,,,267,,,,,,,0,,-4,,0.0,,,58.0,0,,,1.2,1.8,0.9,,-8.3,,-5.9,-7.8,-5.8,
2018-01-01 21:40:00,225.0,58.0,,,,0.5,0.2,,1.7,,0,,0,,,260,,,,,,,0,,-4,,0.0,,,57.0,0,,,1.2,1.8,0.9,,-7.9,,-5.5,-7.7,-6.0,
2018-01-01 22:40:00,11.0,355.0,,,,0.6,0.4,,1.4,,0,,0,,,286,,,,,,,0,,-4,,0.0,,,57.0,0,,,1.2,1.8,0.9,,-6.9,,-4.8,-6.5,-4.2,
2018-01-01 23:40:00,29.0,28.0,,,,2.6,4.1,,5.6,,0,,0,,,296,,,,,,,0,,-3,,3.9,,,66.0,0,,,1.2,1.8,0.9,,-4.5,,-4.1,-5.8,-3.8,
2018-01-02 00:40:00,23.0,34.0,,,0.1,5.2,5.4,,11.3,,0,,0,,,290,,,,,,,0,,-4,,1.0,,,69.0,0,,,1.2,1.8,0.9,0.9,-6.4,-7.5,-2.7,-5.4,-2.3,-2.1
2018-01-02 01:40:00,43.0,60.0,,,,5.4,3.7,,10.8,,0,,0,,,262,,,,,,,0,,-4,,0.0,,,68.0,0,,,1.2,1.7,0.9,,-6.4,,-2.9,-5.1,-3.4,
2018-01-02 02:40:00,43.0,63.0,,,,3.8,5.6,,12.0,,0,,0,,,284,,,,,,,0,,-4,,0.1,,,68.0,0,,,1.2,1.8,0.9,,-6.3,,-3.3,-4.9,-2.9,
2018-01-02 03:40:00,47.0,41.0,,,,5.1,4.4,,10.8,,0,,0,,,287,,,,,,,0,,-4,,0.2,,,68.0,0,,,1.2,1.7,0.9,,-5.7,,-3.3,-4.7,-3.6,
2018-01-02 04:40:00,47.0,61.0,,,,5.6,5.5,,11.9,,0,,0,,,287,,14.0,,,,,0,,-4,,0.3,,70.0,68.0,0,,,1.2,1.7,0.9,,-6.3,,-3.5,-4.6,-3.3,
2018-01-02 05:40:00,46.0,54.0,,,,5.9,3.0,,17.1,,0,,0,,,287,,,,,,,0,,-5,,0.5,,,68.0,0,,,1.2,1.7,0.9,,-6.2,,-3.7,-4.4,-3.6,
2018-01-02 06:40:00,48.0,49.0,,,,6.1,5.2,,15.3,,0,,0,,,284,,,,,,,0,,-4,,0.0,,,68.0,0,,,1.2,1.7,0.9,,-6.5,,-3.4,-4.3,-3.2,
2018-01-02 07:40:00,44.0,38.0,,,,6.1,7.5,,14.3,,0,,0,,,287,,,,,,,6,,4,,0.1,,,69.0,0,,,1.2,1.7,0.9,,-7.0,,-3.1,-4.1,-3.0,
2018-01-02 08:40:00,49.0,61.0,,,,5.4,4.0,,11.9,,0,,0,,,274,,,,,,,65,,53,,0.1,,,69.0,0,,,1.2,1.7,0.9,,-6.6,,-2.9,-3.6,-3.1,
2018-01-02 09:40:00,43.0,37.0,,,,7.2,9.2,,14.0,,0,,0,,,287,,,,,,,104,,88,,0.3,,,69.0,0,,,1.2,1.7,0.9,,-7.7,,-3.2,-3.0,-3.3,
2018-01-02 10:40:00,47.0,45.0,,,,5.0,3.5,,11.9,,0,,0,,,281,,,,,,,178,,148,,0.1,,,69.0,0,,,1.2,1.7,0.9,,-7.3,,-3.2,-2.3,-3.2,
2018-01-02 11:40:00,45.0,56.0,,,,5.3,5.6,,11.7,,0,,0,,,283,,,,,,,132,,110,,0.2,,,69.0,0,,,1.2,1.7,0.9,,-6.9,,-3.4,-2.3,-3.6,
2018-01-02 12:40:00,42.0,40.0,,,,5.9,4.1,,10.5,,0,,0,,,267,,,,,,,179,,146,,0.0,,,69.0,0,,,1.2,1.7,0.9,,-8.4,,-3.1,-2.5,-3.1,
2018-01-02 13:40:00,60.0,55.0,,,,3.3,2.5,,8.5,,0,,0,,,266,,,,,,,147,,120,,0.0,,,68.0,5,,,1.2,1.7,0.9,,-9.0,,-3.0,-2.6,-3.3,
2018-01-02 14:40:00,360.0,1.0,,,,2.3,2.4,,4.3,,0,,0,,,222,,,,,,,82,,69,,0.0,,,68.0,5,,,1.2,1.7,0.9,,-9.0,,-3.8,-3.6,-4.2,
2018-01-02 15:40:00,345.0,148.0,,,,1.5,0.3,,3.5,,0,,0,,,241,,,,,,,9,,7,,0.0,,,68.0,0,,,1.2,1.7,0.9,,-7.5,,-4.3,-5.1,-4.8,
2018-01-02 16:40:00,180.0,204.0,,,,0.8,1.0,,2.0,,0,,0,,,227,,,,,,,0,,-4,,0.0,,,68.0,0,,,1.2,1.7,0.9,,-7.7,,-5.4,-6.0,-5.6,
2018-01-02 17:40:00,191.0,194.0,,,,1.1,0.7,,2.5,,0,,0,,,209,,,,,,,0,,-4,,0.0,,,67.0,0,,,1.2,1.7,0.9,,-9.8,,-6.3,-7.8,-6.4,
2018-01-02 18:40:00,207.0,205.0,,,,1.3,0.8,,2.5,,0,,0,,,245,,,,,,,0,,-4,,0.0,,,67.0,0,,,1.2,1.7,0.9,,-11.0,,-6.5,-7.8,-6.3,
2018-01-02 19:40:00,212.0,230.0,,,,1.7,2.1,,4.0,,0,,0,,,267,,,,,,,0,,-4,,0.0,,,67.0,0,,,1.2,1.7,0.9,,-9.1,,-6.4,-7.6,-6.3,
