,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,213,200.0,,3,0.3,1.8,1.1,,4.4,,0,,0,,,,,,,1013.2,,,4,,,,0.0,,,,0,,,1.9,2.5,1.5,2.6,0.1,0.9,2.8,0.8,2.7,7.5
2018-01-01 01:40:00,189,163.0,,4,,1.4,1.4,,3.3,,0,,0,,,,,,,1013.4,,,4,,,,0.0,,,,0,,,1.9,2.5,1.5,,0.2,,3.2,2.2,3.3,
2018-01-01 02:40:00,180,50.0,,4,,1.7,2.2,,6.7,,0,,0,,,,,,,1013.1,,,4,,,,0.0,,,,0,,,1.9,2.5,1.6,,0.4,,3.3,2.2,4.0,
2018-01-01 03:40:00,28,18.0,,3,,3.9,6.0,,11.5,,0,,0,,,,,,,1013.4,,,4,,,,0.0,,,,0,,,1.9,2.5,1.7,,0.8,,4.7,3.7,5.9,
2018-01-01 04:40:00,32,21.0,,4,,7.4,4.9,,18.8,,0,,0,,,,,0.0,,1015.1,,,5,,,,0.4,,2.0,,0,,,2.0,2.5,1.8,,1.5,,5.0,2.5,4.6,
2018-01-01 05:40:00,30,49.0,,2,,4.6,0.5,,13.4,,0,,0,,,,,,,1015.3,,,4,,,,0.0,,,,0,,,2.0,2.5,1.9,,0.1,,5.1,2.9,5.1,
2018-01-01 06:40:00,214,232.0,,4,,1.0,1.3,,2.8,,0,,0,,,,,,,1016.3,,,5,,,,0.0,,,,0,,,2.1,2.5,1.9,,0.6,,3.9,2.0,4.0,
2018-01-01 07:40:00,277,298.0,,22,,1.2,0.5,,3.4,,0,,0,,,,,,,1016.5,,,23,,,,0.0,,,,0,,,2.1,2.6,1.9,,0.9,,3.8,2.3,3.8,
2018-01-01 08:40:00,315,233.0,,61,,1.1,1.1,,3.1,,0,,0,,,,,,,1016.9,,,61,,,,0.0,,,,0,,,2.1,2.6,2.0,,1.4,,3.6,2.9,3.5,
2018-01-01 09:40:00,360,359.0,,90,,0.6,1.0,,1.8,,0,,0,,,,,,,1016.9,,,90,,,,0.0,,,,0,,,2.2,2.6,2.1,,1.7,,3.9,4.1,4.3,
2018-01-01 10:40:00,17,48.0,,183,,1.3,2.1,,4.6,,0,,0,,,,,,,1014.9,,,285,,,,0.0,,,,31,,,2.3,2.6,2.7,,-0.3,,5.8,6.4,6.4,
2018-01-01 11:40:00,6,343.0,,82,,2.0,1.9,,5.0,,0,,0,,,,,,,1013.6,,,367,,,,0.0,,,,60,,,2.6,2.7,3.4,,0.4,,7.2,10.2,7.4,
2018-01-01 12:40:00,225,200.0,,69,,1.8,1.8,,4.5,,0,,0,,,,,,,1012.7,,,342,,,,0.0,,,,60,,,3.0,2.7,4.1,,1.0,,6.9,9.4,6.6,
2018-01-01 13:40:00,182,162.0,,59,,2.8,4.8,,6.7,,0,,0,,,,,,,1011.0,,,252,,,,0.0,,,,60,,,3.4,2.8,4.5,,-0.5,,6.8,9.1,7.0,
2018-01-01 14:40:00,178,184.0,,51,,3.7,3.7,,6.6,,0,,0,,,,,,,1010.1,,,118,,,,0.0,,,,50,,,3.6,2.9,4.4,,-0.9,,5.7,4.1,4.8,
2018-01-01 15:40:00,187,191.0,,15,,3.6,3.3,,8.1,,0,,0,,,,,,,1009.5,,,16,,,,0.0,,,,0,,,3.6,3.0,3.9,,-0.5,,4.3,2.5,3.6,
2018-01-01 16:40:00,190,187.0,,3,,3.1,3.4,,9.4,,0,,0,,,,,,,1008.8,,,4,,,,0.0,,,,0,,,3.5,3.1,3.5,,-2.3,,3.8,2.6,4.2,
2018-01-01 17:40:00,176,181.0,,3,,5.0,3.3,,10.8,,0,,0,,,,,,,1008.1,,,4,,,,0.0,,,,0,,,3.3,3.2,3.1,,-3.2,,3.7,2.5,3.5,
2018-01-01 18:40:00,213,205.0,,4,,3.3,2.2,,7.6,,0,,0,,,,,,,1007.8,,,4,,,,0.0,,,,0,,,3.2,3.2,2.9,,-1.5,,3.2,1.7,2.9,
2018-01-01 19:40:00,225,164.0,,4,,1.2,1.4,,4.8,,0,,0,,,,,,,1009.0,,,4,,,,0.0,,,,0,,,3.1,3.2,2.7,,-1.7,,3.1,0.8,3.1,
2018-01-01 20:40:00,243,232.0,,3,,0.9,1.4,,3.7,,0,,0,,,,,,,1010.2,,,4,,,,0.0,,,,0,,,3.0,3.2,2.6,,-2.2,,2.3,0.8,2.0,
2018-01-01 21:40:00,188,179.0,,3,,1.7,1.8,,5.4,,0,,0,,,,,,,1010.4,,,4,,,,0.0,,,,0,,,2.9,3.2,2.5,,-1.6,,2.8,1.9,2.7,
2018-01-01 22:40:00,198,25.0,,3,,1.0,0.8,,2.4,,0,,0,,,,,,,1012.4,,,4,,,,0.0,,,,0,,,2.8,3.2,2.5,,-0.9,,2.5,1.2,2.3,
2018-01-01 23:40:00,24,42.0,,3,,1.4,1.0,,2.5,,0,,0,,,,,,,1014.1,,,4,,,,1.3,,,,0,,,2.8,3.2,2.5,,0.2,,1.4,-0.1,0.9,
2018-01-02 00:40:00,186,174.0,,3,0.1,1.3,1.8,,3.5,,0,,0,,,,,,,1014.8,,,3,,,,1.2,,,,0,,,2.7,3.1,2.3,2.7,0.4,0.6,0.9,0.1,1.0,4.8
2018-01-02 01:40:00,171,171.0,,3,,1.5,1.4,,3.3,,0,,0,,,,,,,1015.0,,,3,,,,0.0,,,,0,,,2.6,3.1,2.2,,0.3,,1.1,0.3,1.0,
2018-01-02 02:40:00,34,46.0,,3,,1.1,1.4,,2.7,,0,,0,,,,,,,1015.8,,,3,,,,0.4,,,,0,,,2.5,3.1,2.1,,0.6,,1.2,0.5,1.6,
2018-01-02 03:40:00,360,237.0,,3,,1.3,1.3,,3.2,,0,,0,,,,,,,1016.1,,,4,,,,0.1,,,,0,,,2.5,3.0,2.1,,0.7,,1.5,0.6,1.2,
2018-01-02 04:40:00,315,236.0,,3,,1.2,1.4,,2.7,,0,,0,,,,,0.0,,1016.8,,,4,,,,0.0,,0.0,,0,,,2.5,3.0,2.1,,0.9,,1.6,0.7,1.2,
2018-01-02 05:40:00,202,250.0,,3,,1.5,0.6,,3.7,,0,,0,,,,,,,1017.3,,,4,,,,0.0,,,,0,,,2.5,3.0,2.1,,0.7,,1.5,0.8,1.3,
2018-01-02 06:40:00,270,30.0,,3,,0.8,0.2,,3.1,,0,,0,,,,,,,1017.2,,,4,,,,0.0,,,,0,,,2.5,3.0,2.1,,1.1,,1.6,0.6,1.6,
2018-01-02 07:40:00,180,187.0,,9,,1.5,1.5,,4.3,,0,,0,,,,,,,1018.3,,,10,,,,0.2,,,,0,,,2.5,3.0,2.1,,0.8,,1.7,1.0,1.8,
2018-01-02 08:40:00,197,177.0,,28,,1.3,1.2,,3.7,,0,,0,,,,,,,1019.0,,,29,,,,0.2,,,,0,,,2.5,3.0,2.2,,0.7,,1.8,1.2,1.8,
2018-01-02 09:40:00,223,204.0,,67,,2.1,1.8,,6.1,,0,,0,,,,,,,1020.9,,,67,,,,0.3,,,,0,,,2.5,3.0,2.3,,1.0,,1.7,1.8,2.0,
2018-01-02 10:40:00,176,236.0,,150,,1.6,0.8,,3.8,,0,,0,,,,,,,1021.0,,,151,,,,0.0,,,,0,,,2.5,3.0,2.6,,1.1,,2.6,3.0,2.5,
2018-01-02 11:40:00,202,242.0,,149,,0.8,1.2,,2.1,,0,,0,,,,,,,1020.4,,,187,,,,0.0,,,,9,,,2.7,3.0,3.0,,1.2,,3.3,4.8,3.8,
2018-01-02 12:40:00,194,196.0,,125,,1.4,1.9,,3.6,,0,,0,,,,,,,1020.2,,,178,,,,0.0,,,,12,,,3.0,3.0,3.5,,1.3,,4.0,4.1,4.0,
2018-01-02 13:40:00,180,146.0,,133,,1.5,1.3,,3.4,,0,,0,,,,,,,1019.9,,,191,,,,0.0,,,,32,,,3.2,3.1,3.7,,0.1,,4.7,6.6,4.7,
2018-01-02 14:40:00,176,185.0,,101,,1.4,0.8,,3.1,,0,,0,,,,,,,1020.5,,,125,,,,0.0,,,,0,,,3.4,3.1,3.9,,0.3,,4.6,4.5,4.6,
2018-01-02 15:40:00,225,240.0,,28,,0.9,2.5,,3.7,,0,,0,,,,,,,1021.3,,,29,,,,0.0,,,,0,,,3.5,3.2,3.8,,0.8,,3.5,1.1,2.6,
2018-01-02 16:40:00,202,214.0,,3,,1.9,2.4,,5.7,,0,,0,,,,,,,1021.2,,,4,,,,0.0,,,,0,,,3.5,3.3,3.4,,0.5,,2.2,1.2,2.0,
2018-01-02 17:40:00,199,208.0,,3,,2.3,1.2,,4.9,,0,,0,,,,,,,1021.6,,,4,,,,0.0,,,,0,,,3.4,3.3,3.1,,0.0,,1.7,0.5,1.5,
2018-01-02 18:40:00,212,210.0,,3,,1.6,1.2,,3.8,,0,,0,,,,,,,1022.3,,,4,,,,0.0,,,,0,,,3.3,3.4,2.9,,-0.1,,1.6,0.8,1.3,
2018-01-02 19:40:00,202,185.0,,3,,1.9,3.1,,6.1,,0,,0,,,,,,,1021.6,,,4,,,,0.0,,,,0,,,3.2,3.4,2.8,,-1.7,,1.7,1.4,2.4,
2018-01-02 20:40:00,176,174.0,,3,,3.0,3.3,,7.4,,0,,0,,,,,,,1021.1,,,4,,,,0.0,,,,0,,,3.1,3.4,2.7,,-1.9,,2.4,1.7,2.2,
2018-01-02 21:40:00,189,191.0,,3,,3.2,4.4,,7.9,,0,,0,,,,,,,1020.6,,,4,,,,0.0,,,,0,,,3.0,3.3,2.6,,-1.1,,2.3,1.5,2.0,
2018-01-02 22:40:00,188,188.0,,3,,4.5,2.9,,8.6,,0,,0,,,,,,,1021.1,,,4,,,,0.5,,,,0,,,2.9,3.3,2.5,,-0.1,,1.2,-0.1,0.6,
2018-01-02 23:40:00,184,178.0,,3,,3.1,2.8,,6.1,,0,,0,,,,,,,1020.4,,,3,,,,1.6,,,,0,,,2.8,3.3,2.4,,-0.2,,0.7,-0.1,0.7,
2018-01-03 00:40:00,178,178.0,,3,0.0,3.8,3.7,,7.6,,0,,0,,,,,,,1019.3,,,3,,,,1.8,,,,0,,,2.8,3.3,2.3,2.4,-0.1,0.8,0.9,-0.1,0.9,6.3
2018-01-03 01:40:00,182,200.0,,3,,3.4,2.2,,7.6,,0,,0,,,,,,,1018.4,,,3,,,,0.4,,,,0,,,2.7,3.3,2.1,,-0.2,,1.1,0.0,1.1,
2018-01-03 02:40:00,186,199.0,,3,,4.0,2.3,,8.8,,0,,0,,,,,,,1016.9,,,3,,,,0.0,,,,0,,,2.6,3.2,1.9,,-0.7,,1.4,0.1,1.3,
2018-01-03 03:40:00,207,219.0,,3,,3.4,2.8,,8.3,,0,,0,,,,,,,1015.1,,,4,,,,0.0,,,,0,,,2.5,3.2,1.9,,-0.7,,1.3,0.1,1.0,
2018-01-03 04:40:00,185,184.0,,3,,5.2,7.0,,12.4,,0,,0,,,,,5.0,,1013.3,,,4,,,,0.0,,5.0,,0,,,2.5,3.2,1.9,,-1.2,,1.9,0.3,1.9,
2018-01-03 05:40:00,190,189.0,,3,,6.6,7.2,,13.4,,0,,0,,,,,,,1011.0,,,4,,,,0.0,,,,0,,,2.5,3.1,1.9,,-1.2,,2.2,0.5,2.3,
2018-01-03 06:40:00,194,197.0,,3,,6.9,6.5,,12.3,,0,,0,,,,,,,1009.1,,,4,,,,0.0,,,,0,,,2.4,3.1,1.9,,-1.0,,2.3,0.8,2.5,
2018-01-03 07:40:00,200,213.0,,8,,6.3,6.9,,16.6,,0,,0,,,,,,,1007.7,,,9,,,,0.0,,,,0,,,2.4,3.1,1.9,,-0.6,,2.5,2.0,2.8,
2018-01-03 08:40:00,203,204.0,,32,,6.4,5.4,,14.2,,0,,0,,,,,,,1004.2,,,33,,,,0.0,,,,0,,,2.4,3.1,2.0,,0.2,,3.2,2.6,3.7,
2018-01-03 09:40:00,208,220.0,,51,,5.2,4.6,,12.5,,0,,0,,,,,,,1002.8,,,51,,,,0.0,,,,0,,,2.4,3.1,2.1,,1.0,,4.3,3.4,3.9,
2018-01-03 10:40:00,212,199.0,,36,,4.8,4.7,,12.6,,0,,0,,,,,,,1002.1,,,36,,,,0.2,,,,0,,,2.5,3.0,2.3,,2.1,,4.1,3.3,4.4,
2018-01-03 11:40:00,243,286.0,,23,,2.5,2.1,,8.3,,0,,0,,,,,,,1004.4,,,23,,,,1.2,,,,0,,,2.6,3.0,2.5,,3.8,,4.8,4.0,4.6,
2018-01-03 12:40:00,36,26.0,,14,,10.6,10.3,,24.6,,0,,0,,,,,,,1009.4,,,15,,,,4.9,,,,0,,,2.7,3.0,2.8,,1.9,,4.7,2.8,3.8,
2018-01-03 13:40:00,32,75.0,,11,,4.9,1.7,,15.7,,0,,0,,,,,,,1011.1,,,12,,,,1.5,,,,0,,,2.8,3.0,2.8,,1.8,,3.7,2.6,3.6,
2018-01-03 14:40:00,231,269.0,,7,,2.0,1.5,,5.7,,0,,0,,,,,,,1011.7,,,8,,,,0.9,,,,0,,,2.9,3.1,2.8,,2.1,,3.1,2.3,3.0,
2018-01-03 15:40:00,212,194.0,,5,,1.8,1.1,,4.2,,0,,0,,,,,,,1012.8,,,6,,,,0.0,,,,0,,,2.9,3.1,2.8,,1.7,,3.1,2.0,2.8,
2018-01-03 16:40:00,228,242.0,,3,,1.6,2.5,,5.7,,0,,0,,,,,,,1012.5,,,4,,,,0.1,,,,0,,,2.9,3.1,2.7,,1.7,,2.8,1.8,2.7,
2018-01-03 17:40:00,211,203.0,,3,,1.9,1.3,,6.6,,0,,0,,,,,,,1012.1,,,4,,,,0.0,,,,0,,,2.9,3.1,2.7,,1.5,,2.8,2.0,2.7,
2018-01-03 18:40:00,207,209.0,,3,,1.2,1.6,,4.8,,0,,0,,,,,,,1012.3,,,4,,,,0.2,,,,0,,,2.9,3.2,2.7,,1.6,,2.7,1.8,2.5,
2018-01-03 19:40:00,198,175.0,,3,,2.0,1.0,,4.9,,0,,0,,,,,,,1013.6,,,4,,,,0.7,,,,0,,,2.8,3.2,2.7,,1.3,,2.4,1.5,2.4,
2018-01-03 20:40:00,220,263.0,,3,,1.0,1.7,,2.9,,0,,0,,,,,,,1013.5,,,4,,,,0.8,,,,0,,,2.8,3.2,2.6,,1.5,,2.1,1.4,2.2,
2018-01-03 21:40:00,201,193.0,,3,,1.7,2.0,,4.0,,0,,0,,,,,,,1013.2,,,4,,,,0.1,,,,0,,,2.8,3.2,2.6,,1.3,,2.3,1.5,2.2,
2018-01-03 22:40:00,197,178.0,,3,,2.5,1.6,,6.3,,0,,0,,,,,,,1013.9,,,4,,,,1.0,,,,0,,,2.8,3.2,2.6,,1.2,,2.1,1.4,2.2,
2018-01-03 23:40:00,219,314.0,,3,,0.9,0.4,,2.3,,0,,0,,,,,,,1012.8,,,4,,,,0.7,,,,0,,,2.8,3.2,2.5,,1.2,,1.9,1.1,1.8,
2018-01-04 00:40:00,180,211.0,,3,0.0,1.6,0.9,,3.9,,0,,0,,,,,,,1013.2,,,4,,,,0.6,,,,0,,,2.8,3.2,2.5,1.6,0.8,0.4,1.7,0.9,1.5,2.9
2018-01-04 01:40:00,194,258.0,,3,,0.9,0.2,,2.5,,0,,0,,,,,,,1013.2,,,4,,,,1.7,,,,0,,,2.7,3.2,2.4,,0.5,,1.2,-0.1,0.8,
2018-01-04 02:40:00,225,215.0,,3,,0.2,0.3,,0.7,,0,,0,,,,,,,1012.7,,,3,,,,1.3,,,,0,,,2.7,3.1,2.2,,0.0,,0.5,-0.1,0.4,
2018-01-04 03:40:00,180,199.0,,3,,0.8,0.8,,1.8,,0,,0,,,,,,,1012.7,,,3,,,,1.1,,,,0,,,2.6,3.1,2.1,,0.2,,0.6,-0.1,0.7,
2018-01-04 04:40:00,191,189.0,,3,,1.6,2.6,,4.2,,0,,0,,,,,0.0,,1012.4,,,3,,,,0.6,,3.0,,0,,,2.5,3.1,2.0,,0.2,,0.9,0.0,1.0,
2018-01-04 05:40:00,178,154.0,,3,,2.8,2.0,,6.0,,0,,0,,,,,,,1012.1,,,3,,,,0.5,,,,0,,,2.5,3.1,2.0,,0.7,,1.2,0.3,1.4,
2018-01-04 06:40:00,175,176.0,,3,,2.4,2.6,,4.9,,0,,0,,,,,,,1011.9,,,3,,,,1.4,,,,0,,,2.4,3.0,1.9,,0.7,,1.4,0.4,1.4,
2018-01-04 07:40:00,184,181.0,,5,,2.8,2.5,,5.6,,0,,0,,,,,,,1011.8,,,5,,,,0.7,,,,0,,,2.3,3.0,1.8,,0.8,,1.4,0.6,1.5,
2018-01-04 08:40:00,191,186.0,,9,,2.6,2.7,,4.7,,0,,0,,,,,,,1011.8,,,10,,,,1.6,,,,0,,,2.3,3.0,1.8,,0.6,,1.4,0.2,1.2,
2018-01-04 09:40:00,184,191.0,,11,,3.1,3.3,,5.8,,0,,0,,,,,,,1011.6,,,12,,,,3.8,,,,0,,,2.2,2.9,1.6,,0.4,,1.2,0.0,1.1,
2018-01-04 10:40:00,197,192.0,,12,,2.8,3.1,,5.8,,0,,0,,,,,,,1010.9,,,13,,,,3.6,,,,0,,,2.1,2.9,1.5,,0.3,,1.0,0.0,0.9,
2018-01-04 11:40:00,187,184.0,,14,,3.6,2.3,,7.6,,0,,0,,,,,,,1010.4,,,15,,,,4.0,,,,0,,,2.0,2.8,1.4,,0.6,,1.3,0.3,1.5,
2018-01-04 12:40:00,205,207.0,,16,,1.9,2.2,,4.5,,0,,0,,,,,,,1010.1,,,16,,,,4.3,,,,0,,,1.9,2.8,1.3,,0.6,,1.1,0.4,1.3,
2018-01-04 13:40:00,207,216.0,,13,,2.1,2.3,,4.3,,0,,0,,,,,,,1010.2,,,13,,,,5.3,,,,0,,,1.8,2.7,1.2,,0.9,,1.6,0.7,1.7,
2018-01-04 14:40:00,183,172.0,,10,,1.9,1.0,,4.8,,0,,0,,,,,,,1009.8,,,10,,,,3.2,,,,0,,,1.8,2.7,1.2,,1.1,,1.8,0.9,1.8,
2018-01-04 15:40:00,194,183.0,,4,,0.6,0.7,,1.6,,0,,0,,,,,,,1010.3,,,5,,,,3.1,,,,0,,,1.8,2.6,1.2,,1.2,,1.6,0.8,1.7,
2018-01-04 16:40:00,200,160.0,,3,,1.4,1.0,,3.2,,0,,0,,,,,,,1009.3,,,4,,,,2.1,,,,0,,,1.7,2.6,1.2,,1.3,,1.9,0.9,2.1,
2018-01-04 17:40:00,270,172.0,,3,,0.8,0.4,,2.4,,0,,0,,,,,,,1008.9,,,3,,,,1.6,,,,0,,,1.7,2.5,1.2,,1.5,,1.9,1.1,2.1,
