,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,157,143.0,,2,0.1,2.7,1.9,,6.6,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-1.4,-2.8,5.4,,5.2,6.1
2018-01-01 01:40:00,120,110.0,,2,,1.7,2.2,,4.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.7,,4.6,,3.9,
2018-01-01 02:40:00,68,354.0,,2,,0.9,0.3,,2.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.5,,3.6,,2.3,
2018-01-01 03:40:00,135,86.0,,2,,0.8,1.4,,2.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.1,,3.0,,3.2,
2018-01-01 04:40:00,90,315.0,,2,,1.2,1.2,,3.6,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.5,,2.8,,2.9,
2018-01-01 05:40:00,354,140.0,,2,,1.5,1.0,,5.8,,0,,0,,,,,,,,,,0,,,,1.2,,,,0,,,,,,,0.5,,2.4,,2.1,
2018-01-01 06:40:00,117,122.0,,2,,0.4,0.6,,1.8,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,0.4,,2.0,,1.7,
2018-01-01 07:40:00,360,101.0,,19,,0.6,0.6,,2.5,,0,,0,,,,,,,,,,14,,,,0.0,,,,0,,,,,,,0.0,,1.8,,1.5,
2018-01-01 08:40:00,153,0.0,,46,,0.2,0.0,,1.0,,0,,0,,,,,,,,,,45,,,,0.0,,,,0,,,,,,,-0.1,,1.8,,2.0,
2018-01-01 09:40:00,180,187.0,,99,,0.7,0.7,,1.8,,0,,0,,,,,,,,,,102,,,,0.0,,,,0,,,,,,,0.1,,2.0,,2.0,
2018-01-01 10:40:00,315,0.0,,123,,0.2,0.0,,1.0,,0,,0,,,,,,,,,,129,,,,0.0,,,,0,,,,,,,0.3,,2.1,,2.2,
2018-01-01 11:40:00,53,15.0,,149,,0.6,0.6,,1.5,,0,,0,,,,,,,,,,319,,,,0.0,,,,36,,,,,,,-0.4,,2.8,,3.2,
2018-01-01 12:40:00,45,128.0,,81,,0.1,0.1,,1.4,,0,,0,,,,,,,,,,343,,,,0.0,,,,60,,,,,,,-0.5,,3.0,,3.0,
2018-01-01 13:40:00,180,168.0,,59,,1.3,2.0,,2.6,,0,,0,,,,,,,,,,202,,,,0.0,,,,45,,,,,,,-1.0,,2.9,,2.5,
2018-01-01 14:40:00,162,116.0,,34,,0.7,1.3,,2.3,,0,,0,,,,,,,,,,35,,,,0.0,,,,0,,,,,,,-1.3,,1.0,,0.9,
2018-01-01 15:40:00,108,93.0,,15,,0.7,0.2,,2.1,,0,,0,,,,,,,,,,11,,,,0.0,,,,0,,,,,,,-2.4,,0.2,,-0.6,
2018-01-01 16:40:00,72,85.0,,2,,0.6,0.5,,1.6,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.0,,-0.5,,-0.4,
2018-01-01 17:40:00,135,165.0,,2,,0.9,1.2,,2.0,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.3,,-1.6,,-1.2,
2018-01-01 18:40:00,90,321.0,,2,,0.9,0.2,,2.8,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-4.6,,-1.7,,-2.1,
2018-01-01 19:40:00,90,71.0,,2,,1.1,0.2,,3.4,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-4.4,,-1.6,,-1.8,
2018-01-01 20:40:00,135,217.0,,2,,1.5,1.7,,3.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-4.0,,-1.9,,-1.6,
2018-01-01 21:40:00,90,113.0,,2,,1.4,1.1,,3.1,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-4.3,,-1.6,,-1.4,
2018-01-01 22:40:00,180,118.0,,2,,0.9,0.8,,2.6,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.9,,-1.2,,-1.0,
2018-01-01 23:40:00,180,275.0,,2,,0.6,0.3,,2.3,,0,,0,,,,,,,,,,0,,,,1.0,,,,0,,,,,,,-2.1,,-1.2,,-1.2,
2018-01-02 00:40:00,27,230.0,,2,0.1,1.1,0.9,,2.6,,0,,0,,,,,,,,,,0,,,,0.2,,,,0,,,,,,,-2.3,-3.9,-1.1,,-0.9,1.3
2018-01-02 01:40:00,146,101.0,,2,,0.6,0.5,,1.6,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-2.6,,-1.3,,-1.0,
2018-01-02 02:40:00,72,164.0,,2,,0.9,0.5,,2.2,,0,,0,,,,,,,,,,0,,,,0.3,,,,0,,,,,,,-2.3,,-0.7,,-0.8,
2018-01-02 03:40:00,180,287.0,,2,,0.9,0.8,,2.3,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-2.1,,-0.9,,-0.9,
2018-01-02 04:40:00,135,132.0,,2,,0.8,1.3,,2.1,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-2.1,,-0.7,,-0.4,
2018-01-02 05:40:00,45,162.0,,2,,0.7,0.1,,1.7,,0,,0,,,,,,,,,,0,,,,0.1,,,,0,,,,,,,-1.8,,-0.6,,-0.5,
2018-01-02 06:40:00,63,67.0,,2,,0.3,0.4,,1.3,,0,,0,,,,,,,,,,0,,,,0.1,,,,0,,,,,,,-1.6,,-0.5,,-0.2,
2018-01-02 07:40:00,225,0.0,,11,,0.2,0.0,,1.5,,0,,0,,,,,,,,,,8,,,,0.5,,,,0,,,,,,,-1.4,,-0.4,,-0.3,
2018-01-02 08:40:00,0,0.0,,43,,0.2,0.0,,1.0,,0,,0,,,,,,,,,,42,,,,0.2,,,,0,,,,,,,-1.2,,-0.1,,0.0,
2018-01-02 09:40:00,315,355.0,,81,,0.2,0.5,,1.8,,0,,0,,,,,,,,,,86,,,,0.6,,,,0,,,,,,,-1.1,,0.2,,0.4,
2018-01-02 10:40:00,162,217.0,,142,,1.2,1.1,,2.1,,0,,0,,,,,,,,,,174,,,,0.0,,,,5,,,,,,,-1.7,,0.4,,0.2,
2018-01-02 11:40:00,207,159.0,,111,,0.8,0.5,,3.4,,0,,0,,,,,,,,,,260,,,,0.0,,,,37,,,,,,,-2.8,,0.9,,0.8,
2018-01-02 12:40:00,153,128.0,,98,,0.6,0.3,,2.0,,0,,0,,,,,,,,,,302,,,,0.0,,,,53,,,,,,,-3.1,,1.0,,0.5,
2018-01-02 13:40:00,135,167.0,,88,,1.1,0.5,,3.0,,0,,0,,,,,,,,,,123,,,,0.0,,,,21,,,,,,,-2.8,,0.6,,0.2,
2018-01-02 14:40:00,124,100.0,,74,,0.9,1.4,,2.5,,0,,0,,,,,,,,,,73,,,,0.0,,,,0,,,,,,,-3.4,,-0.3,,-0.8,
2018-01-02 15:40:00,108,55.0,,16,,0.6,0.5,,1.6,,0,,0,,,,,,,,,,12,,,,0.0,,,,0,,,,,,,-3.2,,-1.4,,-1.3,
2018-01-02 16:40:00,270,345.0,,2,,0.5,0.8,,1.7,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.4,,-1.9,,-1.8,
2018-01-02 17:40:00,108,95.0,,2,,0.6,0.6,,1.8,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.4,,-2.2,,-1.8,
2018-01-02 18:40:00,90,32.0,,2,,0.7,0.5,,2.3,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-4.2,,-2.7,,-2.8,
2018-01-02 19:40:00,90,330.0,,2,,0.6,0.7,,1.9,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.6,,-2.2,,-2.3,
2018-01-02 20:40:00,117,181.0,,2,,1.1,0.4,,2.7,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.5,,-2.0,,-2.0,
2018-01-02 21:40:00,45,56.0,,2,,0.9,0.1,,2.3,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.6,,-1.7,,-1.8,
2018-01-02 22:40:00,108,0.0,,2,,0.5,0.0,,1.5,,0,,0,,,,,,,,,,0,,,,0.1,,,,0,,,,,,,-3.2,,-1.7,,-1.7,
2018-01-02 23:40:00,0,0.0,,2,,0.0,0.0,,0.0,,0,,0,,,,,,,,,,0,,,,2.2,,,,0,,,,,,,-3.0,,-1.8,,-1.8,
2018-01-03 00:40:00,135,147.0,,2,0.0,0.3,0.4,,1.2,,0,,0,,,,,,,,,,0,,,,0.5,,,,0,,,,,,,-3.0,-3.4,-1.8,,-1.7,6.6
2018-01-03 01:40:00,0,45.0,,2,,0.2,0.1,,1.8,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.1,,-1.9,,-2.1,
2018-01-03 02:40:00,90,138.0,,2,,0.6,0.6,,2.0,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.6,,-2.1,,-2.0,
2018-01-03 03:40:00,90,144.0,,2,,0.8,0.2,,2.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.8,,-2.3,,-2.1,
2018-01-03 04:40:00,135,208.0,,2,,0.8,0.5,,2.6,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.7,,-2.4,,-2.6,
2018-01-03 05:40:00,63,32.0,,2,,0.8,0.4,,2.4,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-4.2,,-2.9,,-2.9,
2018-01-03 06:40:00,153,136.0,,2,,0.5,0.3,,1.9,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-4.5,,-3.0,,-2.9,
2018-01-03 07:40:00,225,340.0,,11,,0.8,0.3,,2.3,,0,,0,,,,,,,,,,9,,,,0.0,,,,0,,,,,,,-3.6,,-2.4,,-1.8,
2018-01-03 08:40:00,162,167.0,,36,,4.8,8.6,,17.3,,0,,0,,,,,,,,,,40,,,,0.0,,,,0,,,,,,,-0.5,,2.4,,6.6,
2018-01-03 09:40:00,170,178.0,,87,,10.6,11.4,,19.5,,0,,0,,,,,,,,,,91,,,,0.0,,,,0,,,,,,,-0.8,,6.3,,6.2,
2018-01-03 10:40:00,174,175.0,,47,,9.6,9.2,,16.5,,0,,0,,,,,,,,,,47,,,,0.1,,,,0,,,,,,,-0.3,,5.7,,4.9,
2018-01-03 11:40:00,174,193.0,,41,,10.7,8.6,,16.5,,0,,0,,,,,,,,,,41,,,,0.0,,,,0,,,,,,,0.1,,5.0,,4.7,
2018-01-03 12:40:00,56,27.0,,26,,5.4,9.1,,17.0,,0,,0,,,,,,,,,,23,,,,1.9,,,,0,,,,,,,1.1,,4.3,,3.5,
2018-01-03 13:40:00,22,349.0,,10,,5.7,2.0,,14.6,,0,,0,,,,,,,,,,3,,,,3.6,,,,0,,,,,,,-0.1,,2.5,,1.6,
2018-01-03 14:40:00,342,350.0,,6,,3.2,3.5,,11.4,,0,,0,,,,,,,,,,0,,,,1.0,,,,0,,,,,,,-0.5,,1.5,,1.4,
2018-01-03 15:40:00,321,331.0,,4,,2.5,1.3,,7.0,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.6,,1.5,,1.3,
2018-01-03 16:40:00,315,343.0,,2,,1.0,0.2,,3.9,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.7,,1.3,,1.1,
2018-01-03 17:40:00,153,135.0,,2,,0.6,0.8,,1.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.3,,1.0,,1.1,
2018-01-03 18:40:00,360,0.0,,2,,0.3,0.0,,1.7,,0,,0,,,,,,,,,,0,,,,0.7,,,,0,,,,,,,-0.5,,0.8,,0.6,
2018-01-03 19:40:00,45,29.0,,2,,0.3,0.4,,0.9,,0,,0,,,,,,,,,,0,,,,0.7,,,,0,,,,,,,-0.5,,0.6,,0.5,
