,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,72,82.0,,,0.1,0.5,1.2,,2.0,,0,,0,,,,,,,,,,9,,,,0.0,,,,0,,,,,,,0.1,-2.5,0.1,,0.2,4.2
2018-01-01 01:40:00,45,55.0,,,,0.7,0.4,,2.3,,0,,0,,,,,,,,,,8,,,,0.0,,,,0,,,,,,,0.1,,0.2,,0.2,
2018-01-01 02:40:00,63,25.0,,,,0.6,0.1,,1.5,,0,,0,,,,,,,,,,8,,,,0.1,,,,0,,,,,,,0.2,,0.3,,0.3,
2018-01-01 03:40:00,90,110.0,,,,0.5,0.3,,1.5,,0,,0,,,,,,,,,,8,,,,0.0,,,,0,,,,,,,0.2,,0.3,,0.3,
2018-01-01 04:40:00,45,321.0,,,,0.6,0.5,,1.4,,0,,0,,,,,,,,,,7,,,,0.5,,,,0,,,,,,,0.1,,0.3,,0.2,
2018-01-01 05:40:00,0,180.0,,,,0.6,0.2,,3.4,,0,,0,,,,,,,,,,6,,,,0.9,,,,0,,,,,,,0.2,,0.3,,0.3,
2018-01-01 06:40:00,252,229.0,,,,0.8,0.6,,2.5,,0,,0,,,,,,,,,,7,,,,0.3,,,,0,,,,,,,0.1,,0.2,,0.2,
2018-01-01 07:40:00,70,65.0,,,,2.1,3.5,,6.8,,0,,0,,,,,,,,,,15,,,,0.1,,,,0,,,,,,,0.9,,0.6,,1.1,
2018-01-01 08:40:00,72,84.0,,,,4.6,5.3,,8.5,,0,,0,,,,,,,,,,54,,,,0.0,,,,0,,,,,,,-0.7,,2.0,,3.0,
2018-01-01 09:40:00,76,67.0,,,,3.4,2.2,,7.2,,0,,0,,,,,,,,,,101,,,,0.0,,,,0,,,,,,,-1.0,,3.2,,3.3,
2018-01-01 10:40:00,85,74.0,,,,2.6,1.9,,6.2,,0,,0,,,,,,,,,,196,,,,0.0,,,,0,,,,,,,-1.2,,3.4,,3.9,
2018-01-01 11:40:00,45,1.0,,,,1.5,1.2,,6.3,,0,,0,,,,,,,,,,161,,,,0.0,,,,0,,,,,,,-4.0,,3.8,,3.9,
2018-01-01 12:40:00,59,71.0,,,,2.1,1.9,,5.7,,0,,0,,,,,,,,,,49,,,,0.0,,,,0,,,,,,,-3.7,,3.2,,2.3,
2018-01-01 13:40:00,74,81.0,,,,3.2,3.8,,6.1,,0,,0,,,,,,,,,,43,,,,0.0,,,,0,,,,,,,-4.7,,1.9,,2.2,
2018-01-01 14:40:00,81,95.0,,,,4.8,6.3,,10.7,,0,,0,,,,,,,,,,43,,,,0.0,,,,0,,,,,,,-8.3,,3.5,,4.1,
2018-01-01 15:40:00,63,199.0,,,,1.8,0.1,,8.7,,0,,0,,,,,,,,,,22,,,,0.0,,,,0,,,,,,,-1.9,,-0.2,,-1.8,
2018-01-01 16:40:00,45,52.0,,,,1.4,1.8,,5.5,,0,,0,,,,,,,,,,8,,,,0.0,,,,0,,,,,,,-5.3,,-1.5,,0.4,
2018-01-01 17:40:00,42,353.0,,,,2.1,0.2,,8.7,,0,,0,,,,,,,,,,8,,,,0.0,,,,0,,,,,,,-6.0,,0.3,,-1.2,
2018-01-01 18:40:00,70,69.0,,,,1.3,2.2,,5.4,,0,,0,,,,,,,,,,8,,,,0.0,,,,0,,,,,,,-7.1,,-2.1,,-1.7,
2018-01-01 19:40:00,49,47.0,,,,1.4,1.2,,4.5,,0,,0,,,,,,,,,,9,,,,0.0,,,,0,,,,,,,-7.7,,-1.5,,-0.5,
2018-01-01 20:40:00,53,64.0,,,,1.7,2.8,,5.5,,0,,0,,,,,,,,,,9,,,,0.0,,,,0,,,,,,,-7.4,,-0.4,,0.2,
2018-01-01 21:40:00,50,30.0,,,,1.7,0.6,,6.0,,0,,0,,,,,,,,,,8,,,,0.0,,,,0,,,,,,,-5.7,,0.1,,-0.4,
2018-01-01 22:40:00,40,357.0,,,,1.1,0.3,,4.6,,0,,0,,,,,,,,,,8,,,,0.0,,,,0,,,,,,,-5.6,,0.0,,-0.8,
2018-01-01 23:40:00,63,74.0,,,,2.4,4.6,,8.2,,0,,0,,,,,,,,,,8,,,,0.0,,,,0,,,,,,,-5.3,,0.3,,2.3,
2018-01-02 00:40:00,77,78.0,,,0.1,7.2,6.8,,13.8,,0,,0,,,,,,,,,,7,,,,0.0,,,,0,,,,,,,-2.9,-1.2,2.0,,1.5,3.4
2018-01-02 01:40:00,74,79.0,,,,5.6,2.7,,13.0,,0,,0,,,,,,,,,,7,,,,0.0,,,,0,,,,,,,-6.5,,2.2,,3.2,
2018-01-02 02:40:00,73,70.0,,,,3.3,3.0,,12.7,,0,,0,,,,,,,,,,7,,,,0.0,,,,0,,,,,,,-6.0,,1.1,,0.9,
2018-01-02 03:40:00,82,88.0,,,,3.7,5.4,,10.5,,0,,0,,,,,,,,,,8,,,,0.0,,,,0,,,,,,,-6.7,,1.4,,2.3,
2018-01-02 04:40:00,82,75.0,,,,3.2,3.6,,8.3,,0,,0,,,,,,,,,,8,,,,0.0,,,,0,,,,,,,-7.7,,1.9,,2.5,
2018-01-02 05:40:00,75,71.0,,,,3.6,3.0,,10.2,,0,,0,,,,,,,,,,8,,,,0.0,,,,0,,,,,,,-7.8,,2.5,,2.2,
2018-01-02 06:40:00,84,61.0,,,,2.2,1.4,,8.5,,0,,0,,,,,,,,,,8,,,,0.0,,,,0,,,,,,,-5.9,,1.4,,1.1,
2018-01-02 07:40:00,68,84.0,,,,1.8,1.5,,4.0,,0,,0,,,,,,,,,,18,,,,0.0,,,,0,,,,,,,-4.3,,0.9,,0.8,
2018-01-02 08:40:00,74,77.0,,,,2.2,2.9,,5.3,,0,,0,,,,,,,,,,69,,,,0.0,,,,0,,,,,,,-4.6,,1.0,,1.5,
2018-01-02 09:40:00,77,70.0,,,,2.3,2.3,,5.0,,0,,0,,,,,,,,,,77,,,,0.0,,,,0,,,,,,,-4.1,,1.4,,1.2,
2018-01-02 10:40:00,73,61.0,,,,2.2,3.7,,6.7,,0,,0,,,,,,,,,,145,,,,0.0,,,,0,,,,,,,-3.4,,1.2,,1.6,
2018-01-02 11:40:00,74,68.0,,,,2.8,2.4,,7.2,,0,,0,,,,,,,,,,185,,,,0.0,,,,0,,,,,,,-6.9,,2.3,,2.9,
2018-01-02 12:40:00,58,338.0,,,,1.6,0.9,,6.8,,0,,0,,,,,,,,,,178,,,,0.0,,,,0,,,,,,,-8.1,,2.8,,2.8,
2018-01-02 13:40:00,81,33.0,,,,3.2,1.1,,9.5,,0,,0,,,,,,,,,,130,,,,0.0,,,,0,,,,,,,-9.0,,2.8,,2.6,
2018-01-02 14:40:00,79,69.0,,,,3.8,5.9,,12.0,,0,,0,,,,,,,,,,74,,,,0.0,,,,0,,,,,,,-9.3,,2.3,,2.0,
2018-01-02 15:40:00,74,80.0,,,,5.5,5.7,,13.3,,0,,0,,,,,,,,,,19,,,,0.0,,,,0,,,,,,,-10.0,,1.6,,1.4,
2018-01-02 16:40:00,75,76.0,,,,4.6,4.4,,10.4,,0,,0,,,,,,,,,,7,,,,0.0,,,,0,,,,,,,-10.1,,0.6,,-0.2,
2018-01-02 17:40:00,67,72.0,,,,4.1,5.1,,8.8,,0,,0,,,,,,,,,,7,,,,0.0,,,,0,,,,,,,-11.6,,0.3,,0.6,
