,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,104.0,86.0,,,,1.3,0.9,,4.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.2,-4.1,-3.8,,-4.1,4.0
2018-01-01 01:40:00,135.0,118.0,,,,1.1,0.4,,3.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.1,,-3.4,,-3.0,
2018-01-01 02:40:00,326.0,282.0,,,,1.6,2.6,,4.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.0,,-2.0,,-1.9,
2018-01-01 03:40:00,81.0,86.0,,,,2.5,2.3,,5.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,-0.5,,0.1,
2018-01-01 04:40:00,333.0,15.0,,,,2.2,0.8,,6.4,,0,,0,,,,,,,,,,,,,,0.4,,,,,,,,,,,2.9,,2.6,,3.0,
2018-01-01 05:40:00,82.0,61.0,,,,3.1,2.3,,5.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.2,,2.1,,2.3,
2018-01-01 06:40:00,56.0,339.0,,,,2.0,2.0,,5.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.9,,2.2,,2.0,
2018-01-01 07:40:00,14.0,291.0,,,,1.8,1.7,,3.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.2,,1.6,,1.3,
2018-01-01 08:40:00,297.0,314.0,,,,1.5,1.0,,3.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,1.7,,2.1,
2018-01-01 09:40:00,101.0,182.0,,,,1.3,0.5,,4.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.8,,1.9,,1.9,
2018-01-01 10:40:00,76.0,244.0,,,,1.5,0.5,,4.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.4,,2.6,,2.5,
2018-01-01 11:40:00,34.0,357.0,,,,0.9,0.3,,2.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.2,,1.9,,1.3,
2018-01-01 12:40:00,103.0,104.0,,,,1.2,1.8,,2.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.1,,0.7,,0.0,
2018-01-01 13:40:00,90.0,67.0,,,,1.3,0.4,,3.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.1,,0.5,,0.2,
2018-01-01 14:40:00,90.0,75.0,,,,1.1,0.9,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.5,,-0.4,,-0.4,
2018-01-01 15:40:00,90.0,178.0,,,,0.9,0.5,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.9,,-1.2,,-1.8,
2018-01-01 16:40:00,104.0,131.0,,,,1.1,1.0,,2.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.7,,-1.8,,-2.6,
2018-01-01 17:40:00,72.0,13.0,,,,1.0,0.4,,3.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.1,,-1.9,,-2.0,
2018-01-01 18:40:00,31.0,285.0,,,,2.1,2.5,,4.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.7,,-1.4,,-1.3,
2018-01-01 19:40:00,360.0,74.0,,,,1.3,0.3,,3.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.0,,-1.3,,-1.3,
2018-01-01 20:40:00,66.0,11.0,,,,2.0,0.2,,5.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.8,,-0.5,,0.9,
2018-01-01 21:40:00,315.0,283.0,,,,1.3,1.0,,3.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.4,,-0.3,,-0.2,
2018-01-01 22:40:00,45.0,151.0,,,,1.0,1.0,,2.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.1,,-0.4,,-0.4,
2018-01-01 23:40:00,79.0,26.0,,,,2.0,1.4,,4.1,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,0.0,,0.1,,0.1,
2018-01-02 00:40:00,300.0,276.0,,,,1.7,1.3,,5.1,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,-0.3,-0.5,-0.2,,-0.2,4.7
2018-01-02 01:40:00,337.0,321.0,,,,2.4,1.8,,5.9,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.0,,0.1,,0.4,
2018-01-02 02:40:00,351.0,69.0,,,,2.1,1.5,,6.2,,0,,0,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.4,,0.6,,0.5,
2018-01-02 03:40:00,68.0,298.0,,,,1.8,1.4,,5.6,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.5,,0.7,,0.6,
2018-01-02 04:40:00,37.0,46.0,,,,1.9,1.3,,4.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.6,,0.8,,0.7,
2018-01-02 05:40:00,74.0,43.0,,,,1.6,0.8,,4.2,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,0.5,,0.7,,0.6,
2018-01-02 06:40:00,74.0,70.0,,,,2.3,1.2,,6.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.6,,1.3,,1.5,
2018-01-02 07:40:00,321.0,94.0,,,,2.3,0.4,,8.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.2,,1.5,,2.2,
2018-01-02 08:40:00,18.0,328.0,,,,2.0,2.8,,6.4,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.7,,1.8,,2.5,
2018-01-02 09:40:00,285.0,310.0,,,,6.0,4.2,,15.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.9,,3.4,,3.5,
2018-01-02 10:40:00,289.0,292.0,,,,5.1,5.5,,9.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.1,,3.7,,3.8,
2018-01-02 11:40:00,281.0,272.0,,,,3.9,3.1,,8.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.0,,4.0,,4.2,
2018-01-02 12:40:00,360.0,108.0,,,,1.7,1.0,,5.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.6,,3.8,,3.6,
2018-01-02 13:40:00,283.0,307.0,,,,2.5,1.7,,5.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.3,,4.5,,4.4,
2018-01-02 14:40:00,72.0,41.0,,,,1.0,0.9,,4.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.5,,3.3,,2.6,
2018-01-02 15:40:00,60.0,71.0,,,,1.3,1.5,,3.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.2,,2.4,,2.0,
2018-01-02 16:40:00,18.0,29.0,,,,0.8,0.7,,1.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.1,,1.6,,1.1,
2018-01-02 17:40:00,98.0,77.0,,,,0.9,1.2,,2.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.8,,0.4,,0.3,
2018-01-02 18:40:00,90.0,284.0,,,,1.0,0.7,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.3,,0.1,,0.0,
2018-01-02 19:40:00,360.0,344.0,,,,1.0,0.2,,2.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.1,,0.1,,-0.1,
2018-01-02 20:40:00,90.0,58.0,,,,0.7,0.6,,2.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.1,,-0.1,,-0.1,
2018-01-02 21:40:00,360.0,175.0,,,,1.0,0.3,,2.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.1,,0.0,,-0.2,
2018-01-02 22:40:00,108.0,95.0,,,,0.9,1.6,,3.0,,0,,0,,,,,,,,,,,,,,0.4,,,,,,,,,,,-0.6,,-0.1,,-0.3,
2018-01-02 23:40:00,108.0,273.0,,,,1.3,0.8,,3.4,,0,,0,,,,,,,,,,,,,,1.8,,,,,,,,,,,-0.6,,-0.3,,-0.5,
2018-01-03 00:40:00,256.0,273.0,,,,0.9,0.7,,2.6,,0,,0,,,,,,,,,,,,,,1.9,,,,,,,,,,,-0.6,-0.6,-0.5,,-0.5,6.8
2018-01-03 01:40:00,301.0,288.0,,,,1.3,2.8,,4.3,,0,,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,-0.5,,-0.4,,-0.4,
2018-01-03 02:40:00,321.0,324.0,,,,1.3,0.9,,4.1,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,-0.3,,-0.2,,-0.2,
2018-01-03 03:40:00,270.0,265.0,,,,0.9,0.6,,2.1,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,-0.7,,-0.4,,-0.6,
2018-01-03 04:40:00,292.0,73.0,,,,1.7,1.4,,3.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.2,,-0.3,,-0.1,
2018-01-03 05:40:00,315.0,22.0,,,,1.2,0.4,,3.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.1,,0.1,,0.0,
2018-01-03 06:40:00,360.0,41.0,,,,1.1,0.9,,2.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.1,,-0.1,,0.0,
2018-01-03 07:40:00,45.0,281.0,,,,1.8,0.2,,4.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.3,,0.1,,0.4,
