,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,204.0,206.0,,,,17.3,17.9,,27.5,,0,,0,,0.0,,,,,,,,0.0,,,,0.5,,,,0.0,,,,,,,0.0,0.0,0.0,,,0.0
2018-01-01 01:40:00,195.0,200.0,,,,14.7,12.0,,24.2,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 02:40:00,196.0,190.0,,,,9.0,8.1,,22.8,,0,,0,,0.0,,,,,,,,0.0,,,,0.3,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 03:40:00,211.0,209.0,,,,7.0,8.1,,13.3,,0,,0,,0.0,,,,,,,,0.0,,,,0.1,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 04:40:00,227.0,297.0,,,,3.9,1.8,,11.5,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,0.0,,,
2018-01-01 05:40:00,321.0,313.0,,,,6.4,7.6,,13.3,,0,,0,,0.0,,,,,,,,0.0,,,,0.5,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 06:40:00,319.0,324.0,,,,4.9,3.7,,12.6,,0,,0,,0.0,,,,,,,,0.0,,,,0.1,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 07:40:00,323.0,354.0,,,,4.0,4.3,,9.1,,0,,0,,0.0,,,,,,,,13.0,,,,0.0,,,,0.0,,,,,,,,,0.0,,,
2018-01-01 08:40:00,346.0,343.0,,,,4.0,4.6,,7.5,,0,,0,,0.0,,,,,,,,72.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 09:40:00,347.0,351.0,,,,5.8,6.2,,9.6,,0,,0,,0.0,,,,,,,,160.0,,,,0.0,,,,0.0,,,,,,,,,0.0,,,
2018-01-01 10:40:00,358.0,359.0,,,,7.2,7.4,,10.8,,0,,0,,0.0,,,,,,,,207.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 11:40:00,354.0,329.0,,,,4.9,3.9,,9.3,,0,,0,,0.0,,,,,,,,307.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 12:40:00,336.0,303.0,,,,2.4,1.5,,6.0,,0,,0,,0.0,,,,,,,,387.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 13:40:00,215.0,204.0,,,,2.3,3.0,,4.8,,0,,0,,0.0,,,,,,,,302.0,,,,0.0,,,,0.0,,,,,,,,,0.0,,,
2018-01-01 14:40:00,257.0,264.0,,,,4.8,6.1,,8.8,,0,,0,,0.0,,,,,,,,136.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 15:40:00,234.0,188.0,,,,5.9,6.2,,10.9,,0,,0,,0.0,,,,,,,,17.0,,,,0.0,,,,0.0,,,,,,,,,0.0,,,
2018-01-01 16:40:00,205.0,211.0,,,,8.0,9.7,,14.4,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 17:40:00,217.0,238.0,,,,8.3,4.9,,16.5,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 18:40:00,198.0,200.0,,,,10.0,12.1,,15.4,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 19:40:00,204.0,200.0,,,,11.9,11.5,,18.0,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 20:40:00,217.0,258.0,,,,7.8,5.2,,15.7,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 21:40:00,275.0,309.0,,,,2.5,3.4,,8.0,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-01 22:40:00,321.0,333.0,,,,4.0,2.9,,8.9,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,0.0,,,
2018-01-01 23:40:00,324.0,320.0,,,,5.7,8.1,,13.7,,0,,0,,0.0,,,,,,,,0.0,,,,0.6,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 00:40:00,317.0,317.0,,,,9.2,10.7,,18.1,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,,,0.0
2018-01-02 01:40:00,327.0,324.0,,,,9.2,6.2,,17.3,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 02:40:00,326.0,326.0,,,,8.6,12.1,,20.8,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 03:40:00,325.0,331.0,,,,9.7,7.9,,20.3,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 04:40:00,328.0,331.0,,,,12.6,13.0,,23.9,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 05:40:00,323.0,328.0,,,,11.5,9.9,,23.0,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 06:40:00,336.0,341.0,,,,7.1,6.0,,13.8,,0,,0,,0.0,,,,,,,,0.0,,,,0.1,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 07:40:00,327.0,330.0,,,,8.0,11.6,,26.1,,0,,0,,0.0,,,,,,,,16.0,,,,0.1,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 08:40:00,324.0,327.0,,,,9.2,7.1,,25.9,,0,,0,,0.0,,,,,,,,99.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 09:40:00,321.0,327.0,,,,4.7,7.0,,17.7,,0,,0,,0.0,,,,,,,,139.0,,,,0.4,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 10:40:00,320.0,321.0,,,,11.1,8.8,,21.8,,0,,0,,0.0,,,,,,,,337.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 11:40:00,322.0,323.0,,,,8.1,7.8,,16.1,,0,,0,,0.0,,,,,,,,244.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 12:40:00,325.0,317.0,,,,9.3,8.6,,18.1,,0,,0,,0.0,,,,,,,,244.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 13:40:00,312.0,325.0,,,,5.7,4.7,,14.1,,0,,0,,0.0,,,,,,,,177.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 14:40:00,343.0,334.0,,,,4.6,4.8,,12.0,,0,,0,,0.0,,,,,,,,154.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 15:40:00,323.0,329.0,,,,5.7,4.2,,12.2,,0,,0,,0.0,,,,,,,,29.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 16:40:00,343.0,318.0,,,,3.4,1.5,,10.6,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 17:40:00,297.0,305.0,,,,4.9,8.3,,12.1,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 18:40:00,314.0,315.0,,,,7.9,7.3,,11.6,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 19:40:00,312.0,149.0,,,,3.3,0.9,,9.8,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 20:40:00,217.0,205.0,,,,2.8,4.5,,6.3,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,0.0,,,
2018-01-02 21:40:00,256.0,256.0,,,,4.9,4.0,,9.3,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 22:40:00,260.0,266.0,,,,5.1,7.2,,10.8,,0,,0,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-02 23:40:00,262.0,268.0,,,,5.9,6.6,,11.6,,0,,0,,3003.5,,,,,,,,0.0,,,,0.1,,,,0.0,,,,,,,0.0,,0.0,,,
2018-01-03 00:40:00,262.0,272.0,,,,5.4,4.8,,10.8,,0,,0,,3000.3,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,-10.9,-3.0,,,-0.4
2018-01-03 01:40:00,267.0,265.0,,,,6.2,5.7,,13.4,,0,,0,,3001.2,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,-3.5,,,
2018-01-03 02:40:00,250.0,244.0,,,,6.5,5.5,,14.6,,0,,0,,2997.6,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,-3.1,,,
2018-01-03 03:40:00,258.0,256.0,,,,5.5,4.3,,14.8,,0,,0,,2992.6,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,-2.7,,,
2018-01-03 04:40:00,219.0,211.0,,,,5.3,4.6,,14.2,,0,,0,,2987.7,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,-2.4,,,
2018-01-03 05:40:00,205.0,193.0,,,,6.0,7.3,,11.1,,0,,0,,2974.5,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,-2.3,,,
