,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,225.0,0.0,,0,0.1,0.5,0.0,,1.5,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-1.8,-6.0,-1.7,-1.3,-1.7,1.6
2018-01-01 01:40:00,63.0,74.0,,0,,0.7,0.4,,1.9,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-2.2,,-2.1,-1.4,-2.1,
2018-01-01 02:40:00,204.0,182.0,,0,,1.3,0.9,,3.0,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-1.8,,-1.9,-1.3,-1.7,
2018-01-01 03:40:00,204.0,200.0,,0,,2.5,3.0,,6.0,,0,,0,,,,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.4,,-1.2,-1.3,-0.7,
2018-01-01 04:40:00,217.0,10.0,,1,,1.1,0.2,,3.4,,0,,0,,,,,2.0,,,,,2,,,,0.1,,39.0,,0,,,,,,,-1.9,,-1.0,-1.1,-1.7,
2018-01-01 05:40:00,135.0,261.0,,0,,0.4,0.1,,1.0,,0,,0,,,,,,,,,,1,,,,0.8,,,,0,,,,,,,-1.5,,-1.5,-1.1,-1.4,
2018-01-01 06:40:00,207.0,202.0,,1,,0.5,1.2,,2.2,,0,,0,,,,,,,,,,2,,,,2.7,,,,0,,,,,,,-1.1,,-1.2,-1.0,-1.0,
2018-01-01 07:40:00,198.0,228.0,,2,,0.4,0.3,,1.6,,0,,0,,,,,,,,,,3,,,,0.9,,,,0,,,,,,,-1.0,,-0.8,-0.9,-0.9,
2018-01-01 08:40:00,45.0,46.0,,35,,0.5,0.5,,1.4,,0,,0,,,,,,,,,,36,,,,0.0,,,,0,,,,,,,-1.0,,-0.9,-0.8,-0.9,
2018-01-01 09:40:00,225.0,239.0,,94,,0.5,0.7,,1.5,,0,,0,,,,,,,,,,94,,,,0.0,,,,0,,,,,,,-0.6,,-0.5,-0.7,-0.2,
2018-01-01 10:40:00,207.0,207.0,,158,,1.6,1.9,,2.8,,0,,0,,,,,,,,,,158,,,,0.0,,,,0,,,,,,,-1.4,,0.5,-0.5,1.0,
2018-01-01 11:40:00,189.0,178.0,,204,,1.3,0.8,,2.5,,0,,0,,,,,,,,,,205,,,,0.0,,,,0,,,,,,,-3.0,,1.4,-0.4,1.5,
2018-01-01 12:40:00,189.0,201.0,,185,,0.8,0.6,,1.6,,0,,0,,,,,,,,,,187,,,,0.0,,,,0,,,,,,,-2.1,,1.0,-0.3,1.1,
2018-01-01 13:40:00,191.0,201.0,,81,,2.2,2.8,,5.4,,0,,0,,,,,,,,,,85,,,,0.0,,,,0,,,,,,,-5.7,,0.7,-0.3,0.2,
2018-01-01 14:40:00,0.0,230.0,,17,,3.2,3.7,,0.0,,0,,0,,,,,,,,,,19,,,,0.0,,,,0,,,,,,,-8.5,,-0.7,-0.6,-0.6,
2018-01-01 15:40:00,0.0,230.0,,7,,4.1,4.3,,0.0,,0,,0,,,,,,,,,,9,,,,0.0,,,,0,,,,,,,-9.3,,-1.6,-1.0,-0.9,
2018-01-01 16:40:00,0.0,230.0,,0,,3.3,3.4,,0.0,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-8.5,,-2.6,-1.5,-2.6,
2018-01-01 17:40:00,0.0,230.0,,0,,3.1,3.6,,0.0,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-8.5,,-3.4,-1.9,-3.7,
2018-01-01 18:40:00,0.0,230.0,,0,,2.0,0.6,,0.0,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-8.1,,-3.1,-2.1,-3.8,
2018-01-01 19:40:00,0.0,230.0,,0,,0.8,1.8,,0.0,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-8.1,,-5.0,-2.2,-5.3,
2018-01-01 20:40:00,0.0,230.0,,0,,1.8,3.6,,0.0,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-8.1,,-5.1,-2.2,-4.3,
2018-01-01 21:40:00,0.0,230.0,,0,,1.3,0.6,,0.0,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-7.6,,-3.8,-2.3,-3.9,
2018-01-01 22:40:00,0.0,230.0,,0,,2.0,2.7,,0.0,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-7.3,,-3.8,-2.2,-3.2,
2018-01-01 23:40:00,0.0,230.0,,0,,3.1,6.2,,0.0,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-7.9,,-2.6,-2.2,-2.1,
