,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,119.0,125.0,,,,7.2,7.9,,12.2,,0,,0,,,,,,,,,,4.0,,,,0.1,,,,0.0,,,,,,,-4.3,-10.7,-4.1,,-4.0,-3.4
2018-01-01 01:40:00,122.0,154.0,,,,4.3,3.8,,13.1,,0,,0,,,,,,,,,,4.0,,,,0.0,,,,0.0,,,,,,,-4.7,,-4.0,,-4.0,
2018-01-01 02:40:00,156.0,171.0,,,,2.3,1.2,,6.0,,0,,0,,,,,,,,,,4.0,,,,0.0,,,,0.0,,,,,,,-4.1,,-4.1,,-4.0,
2018-01-01 03:40:00,117.0,105.0,,,,0.7,0.4,,2.2,,0,,0,,,,,,,,,,4.0,,,,0.2,,,,0.0,,,,,,,-5.1,,-4.2,,-4.3,
2018-01-01 04:40:00,353.0,315.0,,,,1.0,1.0,,2.0,,0,,0,,,,,,,,,,4.0,,,,0.3,,,,0.0,,,,,,,-5.0,,-4.0,,-4.4,
2018-01-01 05:40:00,343.0,336.0,,,,1.7,1.8,,3.0,,0,,0,,,,,,,,,,5.0,,,,0.7,,,,0.0,,,,,,,-5.0,,-3.7,,-4.1,
2018-01-01 06:40:00,328.0,319.0,,,,6.7,12.3,,16.3,,0,,0,,,,,,,,,,4.0,,,,0.4,,,,0.0,,,,,,,-6.0,,-4.3,,-5.1,
2018-01-01 07:40:00,326.0,326.0,,,,12.4,12.4,,15.4,,0,,0,,,,,,,,,,20.0,,,,0.0,,,,0.0,,,,,,,-7.0,,-5.2,,-5.4,
2018-01-01 08:40:00,331.0,331.0,,,,10.6,9.0,,14.4,,0,,0,,,,,,,,,,65.0,,,,0.0,,,,0.0,,,,,,,-9.6,,-5.0,,-4.9,
2018-01-01 09:40:00,322.0,306.0,,,,10.0,11.3,,15.0,,0,,0,,,,,,,,,,112.0,,,,0.0,,,,0.0,,,,,,,-12.4,,-5.1,,-5.0,
2018-01-01 10:40:00,307.0,341.0,,,,9.8,8.2,,15.2,,0,,0,,,,,,,,,,205.0,,,,0.0,,,,0.0,,,,,,,-14.1,,-4.6,,-4.8,
2018-01-01 11:40:00,346.0,343.0,,,,8.7,8.5,,12.6,,0,,0,,,,,,,,,,245.0,,,,0.0,,,,4.0,,,,,,,-12.8,,-4.8,,-5.0,
2018-01-01 12:40:00,330.0,334.0,,,,9.8,10.1,,13.7,,0,,0,,,,,,,,,,340.0,,,,0.0,,,,40.0,,,,,,,-13.9,,-4.9,,-4.6,
2018-01-01 13:40:00,344.0,348.0,,,,9.4,9.5,,12.4,,0,,0,,,,,,,,,,148.0,,,,0.0,,,,17.0,,,,,,,-15.5,,-5.5,,-6.0,
2018-01-01 14:40:00,318.0,279.0,,,,7.0,4.6,,12.0,,0,,0,,,,,,,,,,30.0,,,,0.0,,,,0.0,,,,,,,-15.5,,-7.0,,-7.2,
2018-01-01 15:40:00,321.0,343.0,,,,2.3,0.3,,5.2,,0,,0,,,,,,,,,,17.0,,,,0.0,,,,0.0,,,,,,,-16.4,,-7.6,,-8.1,
2018-01-01 16:40:00,18.0,116.0,,,,1.2,0.7,,3.6,,0,,0,,,,,,,,,,3.0,,,,0.0,,,,0.0,,,,,,,-18.7,,-9.0,,-10.7,
2018-01-01 17:40:00,131.0,147.0,,,,1.2,1.7,,2.8,,0,,0,,,,,,,,,,4.0,,,,0.0,,,,0.0,,,,,,,-19.4,,-7.4,,-7.4,
2018-01-01 18:40:00,115.0,116.0,,,,3.1,2.0,,6.7,,0,,0,,,,,,,,,,4.0,,,,0.0,,,,0.0,,,,,,,-19.3,,-6.8,,-6.3,
2018-01-01 19:40:00,129.0,157.0,,,,2.2,1.5,,5.0,,0,,0,,,,,,,,,,4.0,,,,0.0,,,,0.0,,,,,,,-18.1,,-7.3,,-6.9,
2018-01-01 20:40:00,127.0,149.0,,,,1.3,1.0,,2.9,,0,,0,,,,,,,,,,4.0,,,,0.0,,,,0.0,,,,,,,-16.0,,-6.7,,-5.8,
2018-01-01 21:40:00,119.0,113.0,,,,1.4,1.4,,4.8,,0,,0,,,,,,,,,,4.0,,,,0.0,,,,0.0,,,,,,,-15.7,,-6.3,,-6.3,
2018-01-01 22:40:00,352.0,348.0,,,,1.1,1.3,,2.4,,0,,0,,,,,,,,,,4.0,,,,0.0,,,,0.0,,,,,,,-13.5,,-6.1,,-5.9,
2018-01-01 23:40:00,333.0,325.0,,,,6.8,10.6,,14.0,,0,,0,,,,,,,,,,4.0,,,,0.0,,,,0.0,,,,,,,-11.6,,-6.3,,-6.6,
2018-01-02 00:40:00,326.0,332.0,,,,12.5,11.9,,17.2,,0,,0,,,,,,,,,,4.0,,,,0.0,,,,0.0,,,,,,,-12.0,-9.3,-6.4,,-6.6,-6.1
2018-01-02 01:40:00,332.0,340.0,,,,10.7,12.2,,15.7,,0,,0,,,,,,,,,,4.0,,,,0.0,,,,0.0,,,,,,,-10.4,,-6.8,,-6.8,
2018-01-02 02:40:00,341.0,342.0,,,,11.0,11.0,,15.5,,0,,0,,,,,,,,,,4.0,,,,0.0,,,,0.0,,,,,,,-11.7,,-7.0,,-6.8,
2018-01-02 03:40:00,329.0,322.0,,,,12.3,12.9,,15.9,,0,,0,,,,,,,,,,4.0,,,,0.0,,,,0.0,,,,,,,-13.0,,-7.3,,-7.5,
2018-01-02 04:40:00,320.0,325.0,,,,10.9,9.4,,17.5,,0,,0,,,,,,,,,,3.0,,,,0.0,,,,0.0,,,,,,,-12.8,,-7.8,,-8.5,
2018-01-02 05:40:00,321.0,312.0,,,,11.7,13.3,,18.3,,0,,0,,,,,,,,,,4.0,,,,0.0,,,,0.0,,,,,,,-13.9,,-7.9,,-7.7,
2018-01-02 06:40:00,323.0,345.0,,,,11.5,8.5,,18.1,,0,,0,,,,,,,,,,4.0,,,,0.0,,,,0.0,,,,,,,-12.8,,-8.2,,-8.5,
2018-01-02 07:40:00,346.0,345.0,,,,9.1,7.9,,14.4,,0,,0,,,,,,,,,,48.0,,,,0.0,,,,20.0,,,,,,,-13.1,,-8.0,,-7.8,
2018-01-02 08:40:00,336.0,339.0,,,,8.6,7.6,,13.6,,0,,0,,,,,,,,,,190.0,,,,0.0,,,,57.0,,,,,,,-13.0,,-7.9,,-7.8,
2018-01-02 09:40:00,333.0,316.0,,,,7.7,7.6,,12.3,,0,,0,,,,,,,,,,262.0,,,,0.0,,,,50.0,,,,,,,-11.9,,-7.5,,-7.6,
2018-01-02 10:40:00,337.0,321.0,,,,8.8,9.0,,13.3,,0,,0,,,,,,,,,,364.0,,,,0.0,,,,50.0,,,,,,,-11.6,,-7.5,,-7.0,
2018-01-02 11:40:00,325.0,329.0,,,,10.0,10.4,,14.0,,0,,0,,,,,,,,,,295.0,,,,0.0,,,,30.0,,,,,,,-11.5,,-7.4,,-7.7,
2018-01-02 12:40:00,327.0,330.0,,,,10.7,10.7,,16.8,,0,,0,,,,,,,,,,205.0,,,,0.0,,,,0.0,,,,,,,-12.5,,-7.8,,-7.9,
2018-01-02 13:40:00,324.0,321.0,,,,10.1,9.3,,14.4,,0,,0,,,,,,,,,,143.0,,,,0.0,,,,0.0,,,,,,,-13.7,,-8.0,,-8.3,
2018-01-02 14:40:00,317.0,320.0,,,,10.4,10.8,,15.3,,0,,0,,,,,,,,,,61.0,,,,0.0,,,,0.0,,,,,,,-15.2,,-8.5,,-8.8,
2018-01-02 15:40:00,336.0,347.0,,,,9.7,10.3,,13.7,,0,,0,,,,,,,,,,15.0,,,,0.0,,,,0.0,,,,,,,-15.2,,-9.1,,-8.8,
