,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,270,264.0,,0,0.1,1.1,1.4,,3.4,,0,,0,,,,,,,,,,2,,,,0.0,,,32.0,0,,,,,,,-4.2,-6.0,-3.2,-1.4,-3.0,1.2
2018-01-01 01:40:00,276,276.0,,1,,1.1,1.0,,2.8,,0,,0,,,,,,,,,,2,,,,0.0,,,32.0,0,,,,,,,-4.8,,-3.7,-1.6,-2.9,
2018-01-01 02:40:00,18,31.0,,0,,0.5,0.4,,1.9,,0,,0,,,,,,,,,,1,,,,0.0,,,32.0,0,,,,,,,-4.0,,-3.3,-1.5,-3.0,
2018-01-01 03:40:00,259,256.0,,0,,0.8,0.8,,2.5,,0,,0,,,,,,,,,,1,,,,0.0,,,32.0,0,,,,,,,-3.4,,-2.7,-1.5,-2.5,
2018-01-01 04:40:00,254,254.0,,0,,1.8,1.8,,3.4,,0,,0,,,,,2.0,,,,,1,,,,0.0,,28.0,32.0,0,,,,,,,-2.5,,-1.6,-1.5,-1.2,
2018-01-01 05:40:00,247,247.0,,1,,0.8,0.6,,2.8,,0,,0,,,,,,,,,,2,,,,0.3,,,34.0,0,,,,,,,-2.7,,-2.0,-1.3,-1.9,
2018-01-01 06:40:00,270,98.0,,0,,0.6,0.1,,1.6,,0,,0,,,,,,,,,,2,,,,0.1,,,34.0,0,,,,,,,-2.5,,-1.9,-1.2,-2.0,
2018-01-01 07:40:00,45,19.0,,5,,0.7,1.1,,2.6,,0,,0,,,,,,,,,,6,,,,0.1,,,34.0,0,,,,,,,-2.6,,-2.0,-1.1,-2.1,
2018-01-01 08:40:00,14,347.0,,43,,0.7,0.5,,2.7,,0,,0,,,,,,,,,,44,,,,0.0,,,34.0,0,,,,,,,-2.3,,-2.2,-1.0,-1.6,
2018-01-01 09:40:00,252,248.0,,73,,1.0,1.0,,2.1,,0,,0,,,,,,,,,,74,,,,0.0,,,34.0,0,,,,,,,-1.8,,-1.1,-0.9,-0.8,
2018-01-01 10:40:00,284,20.0,,140,,0.7,0.5,,2.2,,0,,0,,,,,,,,,,141,,,,0.0,,,33.0,0,,,,,,,-1.4,,-0.7,-0.7,-0.7,
2018-01-01 11:40:00,315,43.0,,184,,0.5,0.6,,1.5,,0,,0,,,,,,,,,,185,,,,0.0,,,33.0,0,,,,,,,-1.6,,-0.4,-0.4,-0.6,
2018-01-01 12:40:00,270,45.0,,172,,0.6,0.2,,1.8,,0,,0,,,,,,,,,,191,,,,0.0,,,33.0,4,,,,,,,-0.9,,0.1,-0.3,-0.5,
2018-01-01 13:40:00,63,77.0,,58,,0.6,0.2,,1.6,,0,,0,,,,,,,,,,246,,,,0.0,,,33.0,60,,,,,,,-1.3,,0.6,-0.1,0.1,
2018-01-01 14:40:00,270,259.0,,28,,0.7,0.3,,2.1,,0,,0,,,,,,,,,,59,,,,0.0,,,33.0,18,,,,,,,-3.6,,-1.0,-0.2,-1.7,
2018-01-01 15:40:00,283,271.0,,10,,1.2,0.7,,3.1,,0,,0,,,,,,,,,,12,,,,0.0,,,33.0,0,,,,,,,-4.6,,-2.8,-0.4,-3.2,
2018-01-01 16:40:00,266,276.0,,1,,1.6,2.0,,2.9,,0,,0,,,,,,,,,,2,,,,0.0,,,33.0,0,,,,,,,-7.8,,-3.9,-0.8,-3.8,
2018-01-01 17:40:00,257,251.0,,1,,1.9,2.3,,4.3,,0,,0,,,,,,,,,,2,,,,0.0,,,33.0,0,,,,,,,-6.4,,-4.8,-1.3,-4.8,
2018-01-01 18:40:00,254,35.0,,1,,1.9,0.3,,4.2,,0,,0,,,,,,,,,,2,,,,0.0,,,33.0,0,,,,,,,-7.4,,-4.6,-1.6,-5.7,
2018-01-01 19:40:00,252,269.0,,1,,2.3,2.3,,5.2,,0,,0,,,,,,,,,,2,,,,0.0,,,33.0,0,,,,,,,-9.3,,-4.6,-2.2,-4.5,
2018-01-01 20:40:00,242,217.0,,0,,1.8,1.1,,3.7,,0,,0,,,,,,,,,,1,,,,0.0,,,32.0,0,,,,,,,-7.5,,-4.9,-2.1,-5.2,
