,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,251,254.0,,,,9.5,8.6,,13.6,,0,,0,,2995.5,,,,,,,,0,,,,,,,,0.0,,,,,,,-7.1,-7.7,-4.2,,-4.5,-3.3
2018-01-01 01:40:00,257,262.0,,,,7.9,8.1,,11.5,,0,,0,,2994.3,,,,,,,,0,,,,,,,,0.0,,,,,,,-7.4,,-4.2,,-4.1,
2018-01-01 02:40:00,252,250.0,,,,7.6,5.9,,11.4,,0,,0,,2997.1,,,,,,,,0,,,,,,,,0.0,,,,,,,-7.5,,-4.0,,-3.8,
2018-01-01 03:40:00,262,251.0,,,,4.9,4.4,,7.5,,0,,0,,2989.8,,,,,,,,0,,,,,,,,0.0,,,,,,,-7.1,,-3.8,,-3.8,
2018-01-01 04:40:00,279,350.0,,,,1.9,2.0,,4.5,,0,,0,,2984.5,,,,,,,,0,,,,,,,,0.0,,,,,,,-6.1,,-4.7,,-4.8,
2018-01-01 05:40:00,333,331.0,,,,3.5,7.8,,13.8,,0,,0,,2983.2,,,,,,,,0,,,,,,,,0.0,,,,,,,-8.4,,-4.6,,-4.9,
2018-01-01 06:40:00,319,313.0,,,,7.0,4.0,,12.8,,0,,0,,2991.1,,,,,,,,0,,,,,,,,0.0,,,,,,,-10.9,,-5.5,,-5.5,
2018-01-01 07:40:00,267,258.0,,,,6.2,6.6,,14.1,,0,,0,,2994.6,,,,,,,,5,,,,,,,,0.0,,,,,,,-10.5,,-5.9,,-6.2,
2018-01-01 08:40:00,275,277.0,,,,4.6,5.4,,10.3,,0,,0,,2997.1,,,,,,,,58,,,,,,,,0.0,,,,,,,-13.1,,-6.1,,-6.0,
2018-01-01 09:40:00,272,252.0,,,,3.7,2.9,,9.1,,0,,0,,2998.7,,,,,,,,92,,,,,,,,0.0,,,,,,,-11.9,,-6.3,,-6.2,
