,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,175,183.0,,,,5.2,4.5,,10.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.1,-3.7,5.5,,5.6,5.9
2018-01-01 01:40:00,180,0.0,,,,2.1,0.0,,7.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.3,,3.9,,2.4,
2018-01-01 02:40:00,172,185.0,,,,0.8,1.1,,2.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.3,,2.1,,1.8,
2018-01-01 03:40:00,141,161.0,,,,1.0,0.6,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.6,,2.2,,1.9,
2018-01-01 04:40:00,15,8.0,,,,1.5,3.4,,7.6,,0,,0,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.4,,1.7,,0.7,
2018-01-01 05:40:00,7,28.0,,,,2.0,1.2,,7.5,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.0,,0.2,,0.0,
2018-01-01 06:40:00,8,266.0,,,,1.2,0.3,,4.0,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,-0.2,,-0.1,,-0.2,
2018-01-01 07:40:00,355,345.0,,,,1.4,1.1,,5.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.4,,-0.4,,-0.4,
2018-01-01 08:40:00,15,337.0,,,,1.5,1.0,,5.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.5,,-0.3,,-0.1,
2018-01-01 09:40:00,180,282.0,,,,0.7,0.4,,2.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.7,,0.0,,0.3,
2018-01-01 10:40:00,22,31.0,,,,0.9,0.6,,3.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.6,,0.3,,0.4,
2018-01-01 11:40:00,243,175.0,,,,0.6,0.5,,1.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.8,,0.8,,1.4,
2018-01-01 12:40:00,204,204.0,,,,1.3,1.9,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.5,,1.2,,0.8,
2018-01-01 13:40:00,211,220.0,,,,1.4,1.3,,3.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.8,,1.0,,0.6,
2018-01-01 14:40:00,216,192.0,,,,1.3,1.1,,3.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.8,,-0.1,,-0.7,
2018-01-01 15:40:00,194,221.0,,,,1.1,0.3,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.6,,-1.7,,-2.6,
2018-01-01 16:40:00,180,196.0,,,,1.2,1.0,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.6,,-2.6,,-3.2,
2018-01-01 17:40:00,166,216.0,,,,1.1,0.6,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.8,,-3.4,,-3.3,
2018-01-01 18:40:00,180,164.0,,,,0.9,0.9,,2.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.5,,-3.3,,-3.0,
2018-01-01 19:40:00,191,145.0,,,,1.0,1.0,,3.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.9,,-3.2,,-2.8,
2018-01-01 20:40:00,169,194.0,,,,1.4,1.0,,3.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.0,,-2.2,,-2.7,
2018-01-01 21:40:00,198,222.0,,,,1.5,0.6,,4.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.2,,-2.0,,-1.5,
2018-01-01 22:40:00,169,195.0,,,,1.2,1.6,,4.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.8,,-1.2,,-1.0,
2018-01-01 23:40:00,360,170.0,,,,0.9,0.6,,2.5,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,-2.4,,-1.6,,-2.2,
2018-01-02 00:40:00,45,24.0,,,,1.3,1.1,,3.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.7,-4.2,-2.3,,-2.5,0.2
2018-01-02 01:40:00,163,92.0,,,,1.5,1.0,,4.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.1,,-1.8,,-1.4,
2018-01-02 02:40:00,14,86.0,,,,1.3,0.8,,4.8,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,-1.9,,-1.7,,-1.7,
2018-01-02 03:40:00,27,53.0,,,,1.2,0.4,,4.3,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,-1.7,,-1.6,,-1.5,
2018-01-02 04:40:00,8,337.0,,,,1.7,0.5,,5.9,,0,,0,,,,,,,,,,,,,,0.8,,,,,,,,,,,-1.8,,-1.7,,-1.8,
2018-01-02 05:40:00,360,332.0,,,,1.2,1.0,,4.2,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,-1.9,,-1.8,,-1.9,
2018-01-02 06:40:00,7,10.0,,,,1.0,0.8,,3.4,,0,,0,,,,,,,,,,,,,,0.9,,,,,,,,,,,-1.9,,-1.8,,-1.9,
2018-01-02 07:40:00,16,19.0,,,,1.7,1.3,,5.6,,0,,0,,,,,,,,,,,,,,0.5,,,,,,,,,,,-1.8,,-1.9,,-1.8,
2018-01-02 08:40:00,40,191.0,,,,1.3,0.6,,4.4,,0,,0,,,,,,,,,,,,,,0.7,,,,,,,,,,,-2.4,,-1.7,,-1.5,
2018-01-02 09:40:00,360,16.0,,,,2.0,1.6,,6.2,,0,,0,,,,,,,,,,,,,,0.5,,,,,,,,,,,-2.1,,-1.6,,-1.4,
2018-01-02 10:40:00,8,56.0,,,,1.3,0.9,,4.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.4,,-1.0,,-1.0,
2018-01-02 11:40:00,360,293.0,,,,1.5,0.4,,5.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.3,,-0.9,,-0.9,
2018-01-02 12:40:00,207,347.0,,,,0.8,0.9,,4.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.5,,-0.3,,-0.1,
2018-01-02 13:40:00,14,44.0,,,,1.0,0.8,,3.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.3,,-0.6,,-0.4,
2018-01-02 14:40:00,270,159.0,,,,0.9,0.8,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.5,,-1.1,,-2.2,
2018-01-02 15:40:00,214,207.0,,,,0.7,0.6,,2.0,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,-5.3,,-3.1,,-3.3,
2018-01-02 16:40:00,191,205.0,,,,0.9,0.8,,2.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-6.0,,-3.1,,-4.1,
2018-01-02 17:40:00,135,179.0,,,,1.0,0.2,,2.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.9,,-3.5,,-3.3,
2018-01-02 18:40:00,207,219.0,,,,0.8,0.6,,2.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.2,,-3.3,,-3.5,
2018-01-02 19:40:00,171,189.0,,,,0.8,0.8,,1.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.9,,-3.1,,-3.1,
2018-01-02 20:40:00,166,63.0,,,,0.8,0.6,,2.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.5,,-2.9,,-2.6,
2018-01-02 21:40:00,338,107.0,,,,1.0,0.8,,3.2,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,-3.6,,-3.1,,-3.2,
2018-01-02 22:40:00,360,188.0,,,,0.6,0.6,,1.8,,0,,0,,,,,,,,,,,,,,1.9,,,,,,,,,,,-3.4,,-3.3,,-3.4,
2018-01-02 23:40:00,180,191.0,,,,0.8,1.0,,1.9,,0,,0,,,,,,,,,,,,,,2.3,,,,,,,,,,,-3.4,,-3.4,,-3.4,
2018-01-03 00:40:00,360,357.0,,,,0.8,0.2,,1.9,,0,,0,,,,,,,,,,,,,,0.6,,,,,,,,,,,-3.3,-3.4,-3.3,,-3.2,9.4
2018-01-03 01:40:00,202,192.0,,,,0.9,1.1,,2.8,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,-3.4,,-3.1,,-3.0,
2018-01-03 02:40:00,360,245.0,,,,1.3,0.6,,4.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.2,,-2.8,,-3.0,
2018-01-03 03:40:00,135,0.0,,,,1.2,0.0,,5.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.4,,-2.8,,-2.6,
2018-01-03 04:40:00,198,198.0,,,,1.2,1.1,,3.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.1,,-2.5,,-2.5,
2018-01-03 05:40:00,180,179.0,,,,1.0,1.4,,3.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.1,,-2.6,,-2.6,
2018-01-03 06:40:00,166,181.0,,,,1.2,0.4,,2.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.4,,-2.3,,-1.9,
2018-01-03 07:40:00,153,184.0,,,,1.1,0.3,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.3,,-1.1,,-0.2,
2018-01-03 08:40:00,180,203.0,,,,1.5,1.1,,8.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.3,,1.0,,1.9,
2018-01-03 09:40:00,168,165.0,,,,3.4,4.9,,11.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.4,,7.1,,9.4,
2018-01-03 10:40:00,178,166.0,,,,5.3,5.0,,11.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.3,,7.9,,7.3,
2018-01-03 11:40:00,180,352.0,,,,1.9,2.7,,8.2,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,2.4,,4.1,,2.7,
2018-01-03 12:40:00,11,3.0,,,,2.7,1.7,,9.4,,0,,0,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,2.8,,1.4,
2018-01-03 13:40:00,14,15.0,,,,2.8,3.6,,7.9,,0,,0,,,,,,,,,,,,,,2.6,,,,,,,,,,,0.4,,0.7,,0.4,
2018-01-03 14:40:00,29,41.0,,,,1.6,1.4,,6.0,,0,,0,,,,,,,,,,,,,,1.9,,,,,,,,,,,-0.3,,0.2,,-0.1,
2018-01-03 15:40:00,23,29.0,,,,2.5,2.1,,7.9,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,-2.8,,0.4,,0.6,
2018-01-03 16:40:00,10,2.0,,,,2.1,0.8,,9.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.7,,-0.2,,-0.4,
2018-01-03 17:40:00,18,142.0,,,,1.4,1.3,,5.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.8,,-0.7,,-0.8,
2018-01-03 18:40:00,117,209.0,,,,1.1,0.4,,3.0,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,-1.3,,-0.9,,-1.0,
2018-01-03 19:40:00,90,64.0,,,,0.8,0.8,,3.1,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,-1.1,,-1.1,,-1.0,
2018-01-03 20:40:00,162,16.0,,,,1.3,0.5,,5.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.4,,-1.0,,-0.9,
