,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,117,178.0,,,,1.2,0.5,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.2,-5.6,-1.4,,-1.3,0.6
2018-01-01 01:40:00,45,340.0,,,,1.0,0.4,,3.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.1,,-1.6,,-1.7,
2018-01-01 02:40:00,72,127.0,,,,1.0,0.4,,3.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.6,,-1.1,,-0.6,
2018-01-01 03:40:00,76,122.0,,,,1.0,0.9,,2.9,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,-0.7,,-0.2,,0.2,
2018-01-01 04:40:00,34,357.0,,,,1.0,0.8,,2.6,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,-0.5,,0.3,,0.1,
2018-01-01 05:40:00,307,324.0,,,,1.4,1.3,,4.6,,0,,0,,,,,,,,,,,,,,1.1,,,,,,,,,,,-0.9,,-0.5,,-0.8,
2018-01-01 06:40:00,135,168.0,,,,1.1,1.7,,4.3,,0,,0,,,,,,,,,,,,,,1.6,,,,,,,,,,,-0.9,,-0.8,,-0.8,
2018-01-01 07:40:00,135,40.0,,,,1.0,0.9,,2.5,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,-1.4,,-0.8,,-1.0,
2018-01-01 08:40:00,59,88.0,,,,1.3,1.3,,2.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.4,,-1.3,,-1.2,
2018-01-01 09:40:00,180,306.0,,,,0.7,0.3,,2.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.3,,-1.0,,-1.2,
2018-01-01 10:40:00,53,13.0,,,,1.0,1.2,,2.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.5,,-1.2,,-0.9,
2018-01-01 11:40:00,34,344.0,,,,0.6,0.2,,2.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.1,,-0.9,,-0.9,
2018-01-01 12:40:00,360,335.0,,,,0.7,0.4,,2.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.3,,-1.4,,-2.2,
2018-01-01 13:40:00,360,352.0,,,,0.5,0.3,,1.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.1,,-2.5,,-3.0,
2018-01-01 14:40:00,61,75.0,,,,1.6,1.8,,3.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.4,,-3.1,,-3.0,
2018-01-01 15:40:00,72,55.0,,,,1.1,0.8,,3.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.7,,-3.3,,-3.2,
2018-01-01 16:40:00,77,124.0,,,,1.4,1.1,,3.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-6.2,,-4.1,,-4.6,
2018-01-01 17:40:00,68,62.0,,,,1.2,0.7,,3.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-6.1,,-4.6,,-4.6,
2018-01-01 18:40:00,76,149.0,,,,1.7,1.7,,3.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-6.7,,-4.6,,-5.1,
2018-01-01 19:40:00,74,52.0,,,,1.5,0.4,,4.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-6.6,,-5.2,,-4.9,
2018-01-01 20:40:00,45,74.0,,,,1.2,0.2,,3.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-6.5,,-4.8,,-4.7,
2018-01-01 21:40:00,90,50.0,,,,1.1,0.7,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-6.1,,-3.8,,-3.1,
2018-01-01 22:40:00,72,63.0,,,,0.8,0.4,,2.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.5,,-3.7,,-3.5,
2018-01-01 23:40:00,56,27.0,,,,1.1,0.9,,3.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.6,,-3.7,,-3.8,
